Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Evert Jean 't Hoen,22,130,503,441,57,96,22,1,18,55,10,5,50,129,.218,.306,.395,.701,174,5,7,3,2,2,0,1998,A,LAA
Rudy Arguelles#,26,28,107,86,12,17,1,1,0,4,4,1,12,15,.198,.330,.233,.563,20,1,5,4,0,0,0,1998,A,LAA
Oscar Betancourt,22,92,370,339,33,70,13,0,3,32,1,2,26,62,.206,.270,.271,.542,92,11,4,0,1,0,0,1998,A,LAA
Brad Brewer,22,28,81,69,12,13,0,0,1,8,0,0,11,18,.188,.309,.232,.541,16,0,1,0,0,0,0,1998,A,LAA
Casey Child,22,51,196,179,14,36,3,1,2,16,5,5,9,34,.201,.254,.263,.516,47,5,4,3,1,0,0,1998,A,LAA
Mike Colangelo,21,22,98,83,13,23,8,0,4,8,5,1,12,16,.277,.378,.518,.896,43,0,2,0,1,1,1,1998,A,LAA
Ariel Delgado*,21,133,556,509,54,119,25,4,5,67,24,13,40,105,.234,.290,.328,.618,167,14,2,1,4,1,0,1998,A,LAA
Angel Diaz,21,5,19,15,2,5,0,0,2,3,0,0,3,7,.333,.474,.733,1.207,11,0,1,0,0,0,0,1998,A,LAA
Jeb Dougherty,22,107,473,425,62,107,12,3,2,42,40,8,26,69,.252,.310,.308,.619,131,5,12,6,4,0,0,1998,A,LAA
Matt Garrick,22,61,244,212,27,52,13,0,4,25,5,1,29,55,.245,.339,.363,.702,77,2,1,2,0,0,0,1998,A,LAA
Patrick Johnson,23,47,174,148,16,34,4,0,2,20,2,3,21,26,.230,.341,.297,.638,44,5,4,1,0,0,0,1998,A,LAA
Marcus Knight#,19,97,401,364,38,87,19,1,8,51,5,6,24,59,.239,.305,.363,.668,132,4,11,1,1,0,0,1998,A,LAA
Mike Lawrence,22,75,278,248,31,62,12,0,2,25,1,2,25,57,.250,.317,.323,.639,80,5,1,0,4,0,0,1998,A,LAA
Adam Leggett#,22,125,542,443,83,121,26,3,11,50,24,14,80,83,.273,.391,.420,.811,186,9,8,8,3,3,0,1998,A,LAA
Casey Martin,22,97,381,336,40,83,18,1,10,46,3,2,36,97,.247,.325,.396,.721,133,4,5,0,4,6,0,1998,A,LAA
Keith Medosch,23,71,210,178,19,37,9,3,1,14,1,6,30,37,.208,.322,.309,.631,55,4,0,2,0,0,0,1998,A,LAA
Sheldon Philip-Guide,24,13,46,43,5,6,0,0,0,2,0,0,2,15,.140,.196,.140,.335,6,1,1,0,0,0,0,1998,A,LAA
Danny Serrano#,23,9,36,34,3,9,2,0,1,2,0,0,2,8,.265,.306,.412,.717,14,2,0,0,0,0,0,1998,A,LAA
Paxton Stewart*,24,9,34,30,4,6,2,0,0,2,4,1,4,4,.200,.294,.267,.561,8,1,0,0,0,0,0,1998,A,LAA
Juan Tolentino,22,133,557,495,82,129,27,6,11,57,49,25,51,135,.261,.336,.406,.742,201,6,6,3,2,1,0,1998,A,LAA
