Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,Notes,MLB,Year,Level,Org
Jesús Ametller*,23,101,374,358,52,112,29,0,1,38,4,6,2,29,.313,.318,.402,.720,144,8,3,6,5,0,,0,1998,Adv A,STL
Bryan Britt,23,86,304,284,23,50,6,0,9,33,1,1,13,98,.176,.215,.292,.507,83,6,2,1,4,1,,0,1998,Adv A,STL
Brent Butler,20,126,532,475,63,136,27,2,11,76,3,4,39,74,.286,.347,.421,.768,200,12,9,2,7,2,,1,1998,Adv A,STL
Ken Cameron*,25,42,168,138,22,45,12,0,3,23,8,7,24,23,.326,.434,.478,.912,66,1,3,2,1,0,,0,1998,Adv A,STL
Billy Deck*,21,118,419,355,34,85,13,3,4,45,5,6,40,87,.239,.333,.327,.660,116,8,13,5,6,3,,0,1998,Adv A,STL
Alex Eckelman,23,38,100,89,15,26,1,1,2,9,2,2,9,14,.292,.354,.393,.747,35,2,0,1,1,0,,0,1998,Adv A,STL
Tony Falciglia,25,4,7,7,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,,0,1998,Adv A,STL
Cordell Farley,25,134,584,546,92,159,28,11,11,59,50,17,27,145,.291,.333,.443,.776,242,4,7,4,0,1,,0,1998,Adv A,STL
Derek Feramisco,23,72,282,256,39,76,23,3,2,30,6,3,20,78,.297,.350,.434,.784,111,0,2,2,2,2,,0,1998,Adv A,STL
Todd Hogan,22,123,523,485,79,135,24,3,2,45,26,19,20,116,.278,.312,.353,.665,171,7,7,4,7,1,,0,1998,Adv A,STL
Adam Kennedy*,22,17,75,69,9,18,6,0,0,7,5,2,5,12,.261,.307,.348,.654,24,1,0,0,1,0,,1,1998,Adv A,STL
Jose Leon,21,124,504,436,77,127,31,3,21,74,5,3,53,137,.291,.376,.521,.897,227,6,9,2,4,4,,1,1998,Adv A,STL
Chris Martine,22,96,329,279,29,52,13,0,2,25,2,6,38,77,.186,.290,.254,.545,71,4,4,5,3,0,,0,1998,Adv A,STL
Pepe McNeal,22,57,179,163,17,34,7,1,4,17,0,1,9,54,.209,.263,.337,.600,55,3,3,4,0,0,,0,1998,Adv A,STL
Chris Richard*,24,8,31,30,5,8,2,0,0,1,1,0,1,5,.267,.290,.333,.624,10,2,0,0,0,0,,1,1998,Adv A,STL
Mickey Rivera,24,7,6,6,1,0,0,0,0,0,0,1,0,4,.000,.000,.000,.000,0,0,0,0,0,0,,0,1998,Adv A,STL
Luis Saturria,21,129,506,462,70,136,25,9,12,73,26,15,28,104,.294,.341,.465,.806,215,12,8,1,7,1,,1,1998,Adv A,STL
Paul Tanner,23,95,240,221,24,56,17,1,3,35,9,8,15,68,.253,.307,.380,.687,84,8,2,2,0,1,,0,1998,Adv A,STL
