Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Darren Blakely#,21,71,328,267,50,74,9,6,5,33,9,3,34,69,.277,.398,.412,.810,110,2,22,1,4,3,0
Casey Child,22,74,311,280,37,60,10,1,8,36,7,5,24,61,.214,.287,.343,.630,96,4,5,1,1,0,0
Mike Christensen,22,70,308,286,47,75,22,0,9,47,1,0,18,63,.262,.306,.434,.740,124,9,1,1,2,2,0
Mike Condon,24,33,117,94,19,22,7,0,1,11,0,1,16,15,.234,.374,.340,.714,32,4,5,2,0,0,0
Will Croud#,22,65,307,255,52,62,13,2,2,23,17,6,46,48,.243,.362,.333,.695,85,2,2,3,1,0,0
Angel Diaz,21,3,13,10,3,2,0,0,1,1,0,1,3,4,.200,.385,.500,.885,5,0,0,0,0,0,0
Michael Diaz*,21,32,102,86,20,19,2,1,0,11,4,2,16,16,.221,.343,.267,.611,23,0,0,0,0,0,0
Brian Fox*,21,24,73,61,9,15,3,1,3,14,0,0,12,11,.246,.370,.475,.845,29,0,0,0,0,0,0
Jason Hill,21,57,229,203,30,53,17,0,7,39,1,0,22,45,.261,.341,.448,.789,91,7,3,0,1,0,0
Jay Hood,21,41,162,132,20,26,6,0,3,19,1,1,23,22,.197,.333,.311,.644,41,2,5,0,2,0,0
Jason Huisman,22,73,329,292,47,95,20,2,5,59,5,0,27,52,.325,.398,.459,.857,134,7,9,0,1,2,0
Casey Kelley*,21,55,195,161,31,36,13,0,7,37,1,0,32,64,.224,.349,.435,.784,70,3,0,0,2,0,0
Bill Mott*,22,63,264,207,54,63,11,0,7,37,21,1,48,41,.304,.441,.459,.900,95,1,5,1,3,1,0
John O'Neil,22,20,45,41,4,9,2,0,0,3,0,0,1,7,.220,.289,.268,.557,11,0,3,0,0,0,0
Bill Oliver,23,43,145,121,23,35,7,0,8,27,0,1,14,46,.289,.386,.545,.932,66,3,7,0,3,0,0
Brian Oliver,21,17,66,54,6,14,3,1,0,5,0,1,8,6,.259,.365,.352,.717,19,4,1,3,0,0,0
Nick Schwieder,22,1,1,0,1,0,0,0,0,0,0,0,1,0,,1.000,,,0,0,0,0,0,0,0
Bryn Wade,22,14,53,47,6,11,4,0,1,3,1,0,3,16,.234,.275,.383,.657,18,1,0,2,1,0,0
