Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Cody Allison*,24,43,143,121,15,26,4,0,1,11,1,0,17,32,.215,.317,.273,.589,33,3,1,4,0,0,0,1999,Adv A,CLE
Edgar Cruz,20,35,145,133,13,20,11,0,2,14,0,0,9,46,.150,.215,.278,.493,37,1,2,1,0,0,0,1999,Adv A,CLE
Jeff DePippo,23,68,231,174,33,37,8,1,2,19,3,1,29,51,.213,.372,.305,.677,53,1,17,8,3,0,0,1999,Adv A,CLE
Mike Edwards,22,133,567,456,76,132,25,4,16,89,8,3,93,117,.289,.413,.467,.880,213,12,9,0,9,6,1,1999,Adv A,CLE
Jason Fitzgerald*,23,82,337,310,26,74,17,3,4,39,15,7,22,77,.239,.289,.352,.640,109,5,1,1,3,1,0,1999,Adv A,CLE
Luis Gonzalez,20,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,1,1999,Adv A,CLE
Jon Hamilton*,21,131,544,473,74,132,29,5,13,65,9,4,61,114,.279,.360,.444,.804,210,3,1,5,4,1,0,1999,Adv A,CLE
Mike Huelsmann#,24,58,215,177,35,54,6,4,2,22,14,3,29,19,.305,.406,.418,.824,74,0,1,8,0,0,0,1999,Adv A,CLE
Joe Kilburg*,23,42,173,137,34,41,8,1,3,17,3,3,29,19,.299,.435,.438,.873,60,1,4,3,0,1,0,1999,Adv A,CLE
Dustan Mohr,23,112,458,429,46,120,29,3,8,60,6,6,26,104,.280,.322,.417,.739,179,13,1,1,1,2,1,1999,Adv A,CLE
Billy Munoz*,24,106,429,378,46,96,25,1,9,55,3,2,48,108,.254,.339,.397,.736,150,9,1,1,1,2,0,1999,Adv A,CLE
Scott Pratt*,22,133,573,486,86,120,27,6,9,54,47,11,77,95,.247,.355,.383,.738,186,6,6,1,3,3,0,1999,Adv A,CLE
Osmany Santana*,22,43,155,145,16,35,8,0,3,20,7,0,8,26,.241,.286,.359,.644,52,2,1,1,0,0,0,1999,Adv A,CLE
Casey Smith,22,39,146,129,15,21,6,0,2,15,0,1,14,48,.163,.260,.256,.516,33,2,3,0,0,0,0,1999,Adv A,CLE
Zach Sorensen#,22,130,582,508,79,121,16,7,7,59,24,12,62,126,.238,.322,.339,.661,172,6,2,8,2,1,1,1999,Adv A,CLE
Frank Taveras*,23,31,114,107,11,25,7,1,1,11,0,0,6,27,.234,.281,.346,.626,37,4,1,0,0,0,0,1999,Adv A,CLE
Adam Taylor,25,6,18,16,2,3,0,0,1,2,0,1,2,7,.188,.278,.375,.653,6,0,0,0,0,0,0,1999,Adv A,CLE
Chad Whitaker*,22,76,304,280,34,67,14,0,9,36,2,3,21,62,.239,.293,.386,.678,108,14,1,0,2,1,0,1999,Adv A,CLE
Brian Whitlock,24,13,35,32,3,8,1,0,0,3,0,2,1,10,.250,.286,.281,.567,9,0,1,0,1,0,0,1999,Adv A,CLE
