Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Mike Lieberthal,27,145,574,510,84,153,33,1,31,96,0,0,44,86,.300,.363,.551,.914,281,15,11,1,8,7,1
Rico Brogna*,29,157,679,619,90,172,29,4,24,102,8,5,54,132,.278,.336,.454,.790,281,19,2,0,4,7,1
Marlon Anderson*,25,129,484,452,48,114,26,4,5,54,13,2,24,61,.252,.292,.361,.652,163,6,2,4,2,1,1
Alex Arias,31,118,390,347,43,105,20,1,4,48,2,2,36,31,.303,.373,.401,.773,139,12,4,1,2,6,1
Scott Rolen,24,112,497,421,74,113,28,1,26,77,12,2,67,114,.268,.368,.525,.893,221,8,3,0,6,2,1
Ron Gant,34,138,605,516,107,134,27,5,17,77,13,3,85,112,.260,.364,.430,.794,222,6,1,0,3,0,1
Doug Glanville,28,150,692,628,101,204,38,6,11,73,34,2,48,82,.325,.376,.457,.833,287,9,6,5,5,1,1
Bobby Abreu*,25,152,662,546,118,183,35,11,20,93,27,9,109,113,.335,.446,.549,.995,300,13,3,0,4,8,1
Kevin Jordan,29,120,380,347,36,99,17,3,4,51,0,0,24,34,.285,.339,.386,.726,134,12,6,0,3,1,1
Desi Relaford#,25,65,242,211,31,51,11,2,1,26,4,3,19,34,.242,.322,.327,.649,69,5,6,6,0,2,1
Kevin Sefcik,28,111,242,209,28,58,15,3,1,11,9,4,29,24,.278,.368,.392,.761,82,4,1,3,0,0,1
Rob Ducey*,34,104,227,188,29,49,10,2,8,33,2,1,38,57,.261,.383,.463,.846,87,1,0,0,1,1,1
David Doster,28,99,112,97,9,19,2,0,3,10,1,0,12,23,.196,.282,.309,.591,30,2,0,2,1,1,1
Gary Bennett,27,36,94,88,7,24,4,0,1,21,0,0,4,11,.273,.298,.352,.650,31,7,0,0,2,0,1
Domingo Cedeno#,30,32,72,66,5,10,4,0,1,5,0,1,5,22,.152,.211,.258,.469,17,2,0,1,0,0,1
Torey Lovullo#,33,17,41,38,3,8,0,0,2,5,0,0,3,11,.211,.268,.368,.637,14,1,0,0,0,0,1
Bobby Estalella,24,9,22,18,2,3,0,0,0,1,0,1,4,7,.167,.318,.167,.485,3,0,0,0,0,0,1
Wendell Magee,26,12,15,14,4,5,1,0,2,5,0,0,1,4,.357,.400,.857,1.257,12,1,0,0,0,0,1
Tom Prince,34,4,7,6,1,1,0,0,0,0,0,0,1,1,.167,.286,.167,.452,1,1,0,0,0,0,1
