Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
J.C. Boscan,20,93,352,302,31,62,12,0,9,35,1,1,42,74,.205,.311,.334,.646,101,6,5,2,1,1,1,2000,A,ATL
Scott Bronowicz*,24,11,35,32,3,8,0,1,0,2,0,0,2,7,.250,.294,.313,.607,10,1,0,1,0,0,0,2000,A,ATL
Erick Contreras#,20,18,51,39,9,10,2,0,0,2,1,1,11,9,.256,.431,.308,.739,12,1,1,0,0,0,0,2000,A,ATL
Nick Crocker*,22,58,242,221,24,51,12,0,8,38,7,4,14,61,.231,.282,.394,.676,87,1,3,1,3,0,0,2000,A,ATL
Keoni De Renne#,21,38,160,145,13,38,9,1,1,11,3,3,11,20,.262,.319,.359,.677,52,1,2,0,2,0,0,2000,A,ATL
Bry Ewan,21,29,93,81,9,14,1,0,2,14,0,0,10,32,.173,.272,.259,.531,21,2,1,1,0,0,0,2000,A,ATL
Curt Fiore,22,108,420,360,64,102,17,1,8,47,8,1,42,56,.283,.378,.403,.781,145,11,14,2,2,0,0,2000,A,ATL
Nick Green,21,91,373,339,47,83,19,4,11,43,10,4,22,75,.245,.296,.422,.718,143,4,5,1,6,0,1,2000,A,ATL
Damien Jones*,20,126,570,503,82,135,18,4,1,33,44,19,63,98,.268,.351,.326,.677,164,7,1,3,0,0,0,2000,A,ATL
Jaeme Leal,21,107,436,387,44,100,20,1,16,65,0,0,35,133,.258,.333,.439,.772,170,5,10,0,4,0,0,2000,A,ATL
Ryan Lehr,21,46,195,184,25,60,15,1,2,36,2,2,9,22,.326,.364,.451,.815,83,6,2,0,0,1,0,2000,A,ATL
Pat Manning,20,124,513,435,48,88,27,0,7,49,9,2,63,82,.202,.308,.313,.621,136,9,6,4,5,2,0,2000,A,ATL
Lou Martinez,23,33,129,114,16,25,3,0,0,4,4,1,11,10,.219,.299,.246,.545,28,2,2,2,0,0,0,2000,A,ATL
Asdrubal Oropeza,19,115,456,397,54,88,25,2,11,44,6,6,47,92,.222,.313,.378,.691,150,5,7,3,2,1,0,2000,A,ATL
Josh Pugh,22,37,149,125,20,35,2,1,3,19,1,0,19,30,.280,.385,.384,.769,48,3,3,1,1,1,0,2000,A,ATL
Justo Rivas,20,129,554,504,67,145,30,2,8,65,7,8,33,103,.288,.342,.403,.745,203,11,10,4,3,2,0,2000,A,ATL
Jeff Rodriguez,23,15,43,39,3,6,0,0,0,0,1,0,3,9,.154,.214,.154,.368,6,0,0,1,0,0,0,2000,A,ATL
Jerry Simmons,24,77,275,252,31,75,15,4,8,41,16,9,20,42,.298,.356,.484,.840,122,7,3,0,0,1,0,2000,A,ATL
Jose Villar,21,61,238,216,36,43,7,1,9,26,8,6,16,69,.199,.266,.366,.632,79,7,4,1,1,0,0,2000,A,ATL
