Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Ivan Rodriguez,28,91,389,363,66,126,27,4,27,83,5,5,19,48,.347,.375,.667,1.042,242,17,1,0,6,5,1
Rafael Palmeiro*,35,158,678,565,102,163,29,3,39,120,2,1,103,77,.288,.397,.558,.954,315,14,3,0,7,17,1
Luis Alicea#,34,139,619,540,85,159,25,8,6,63,1,3,59,75,.294,.365,.404,.769,218,13,5,7,7,1,1
Royce Clayton,30,148,573,513,70,124,21,5,14,54,11,7,42,92,.242,.301,.384,.685,197,21,3,12,3,1,1
Mike Lamb*,24,138,538,493,65,137,25,2,6,47,0,2,34,60,.278,.328,.373,.702,184,10,4,5,2,6,1
Rusty Greer*,31,105,453,394,65,117,34,3,8,65,4,1,51,61,.297,.377,.459,.837,181,14,3,0,5,1,1
Gabe Kapler,24,116,491,444,59,134,32,1,14,66,8,4,42,57,.302,.360,.473,.833,210,12,0,2,3,2,1
Ricky Ledee*,26,58,240,213,23,50,6,3,4,38,6,3,25,50,.235,.317,.347,.664,74,7,1,0,1,2,1
David Segui#,33,93,389,351,52,118,29,1,11,57,0,1,34,51,.336,.391,.519,.909,182,12,0,0,4,1,1
Chad Curtis,31,108,381,335,48,91,25,1,8,48,3,3,37,71,.272,.343,.424,.767,142,12,1,5,3,0,1
Frank Catalanotto*,26,103,326,282,55,82,13,2,10,42,6,2,33,36,.291,.375,.457,.832,129,5,6,3,2,0,1
Ruben Mateo,22,52,222,206,32,60,11,0,7,19,6,0,10,34,.291,.339,.447,.786,92,5,5,1,0,1,1
Bill Haselman,34,62,210,193,23,53,18,0,6,26,0,1,15,36,.275,.329,.461,.790,89,1,1,0,1,0,1
Scarborough Green#,26,79,139,124,21,29,1,1,0,9,10,6,10,26,.234,.291,.258,.549,32,3,0,5,0,0,1
Scott Sheldon,31,58,138,124,21,35,11,0,4,19,0,0,10,37,.282,.336,.468,.804,58,2,1,1,2,0,1
Dave Martinez*,35,38,134,119,14,32,4,1,2,12,2,1,14,20,.269,.351,.370,.720,44,8,1,0,0,2,1
Jason McDonald#,28,38,114,94,15,22,5,0,3,13,4,4,17,25,.234,.357,.383,.740,36,2,1,2,0,0,1
Tom Evans,25,23,67,54,10,15,4,0,0,5,0,3,10,13,.278,.394,.352,.746,19,1,1,1,1,0,1
Ruben Sierra#,34,20,64,60,5,14,0,0,1,7,1,0,4,9,.233,.281,.283,.565,17,1,0,0,0,0,1
Pedro Valdes*,27,30,60,54,4,15,5,0,1,5,0,0,6,7,.278,.350,.426,.776,23,0,0,0,0,0,1
B.J. Waszgis,29,24,51,45,6,10,1,0,0,4,0,0,4,10,.222,.294,.244,.539,11,1,1,0,1,0,1
Randy Knorr,31,15,37,34,5,10,2,0,2,2,0,0,0,3,.294,.294,.529,.824,18,0,0,3,0,0,1
Kelly Dransfeldt,25,16,27,26,2,3,2,0,0,2,0,0,1,14,.115,.148,.192,.340,5,0,0,0,0,0,1
Michael Young,23,2,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,1
