Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Chris Amador,17,53,249,212,48,64,10,3,0,31,40,13,30,46,.302,.403,.377,.781,80,6,6,1,0,0,0
Travis Bingler,23,19,1,1,0,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,0,0
Joe Borchard#,21,7,33,29,3,12,4,0,0,8,0,0,4,4,.414,.485,.552,1.037,16,0,0,0,0,0,1
Julio Castro,18,47,198,161,34,46,9,3,0,36,20,2,25,35,.286,.386,.379,.765,61,1,5,1,6,1,0
Jon Cavin*,20,48,196,156,36,45,9,3,0,26,7,3,38,25,.288,.434,.385,.818,60,1,2,0,0,3,0
Darren Ciraco,19,33,113,105,21,34,7,0,2,18,1,2,8,25,.324,.372,.448,.819,47,2,0,0,0,0,0
Julio Encarnacion,18,48,176,168,24,51,16,3,0,25,4,5,6,46,.304,.330,.435,.764,73,2,1,0,1,0,0
Bo Ivy,18,36,165,129,35,44,4,2,0,13,34,11,34,24,.341,.473,.403,.876,52,0,0,0,2,0,0
Gustavo Molina,18,31,134,115,15,28,10,0,1,22,3,1,13,13,.243,.323,.357,.680,41,0,2,1,3,0,1
Mike Morse,18,45,201,180,32,46,6,1,2,24,5,2,15,29,.256,.308,.333,.642,60,6,1,0,5,0,1
Amaury Pena,20,17,86,69,21,22,7,5,1,16,8,2,11,9,.319,.419,.609,1.027,42,1,3,0,3,0,0
Humberto Quintero,20,15,58,56,13,22,2,2,0,8,1,0,0,3,.393,.414,.500,.914,28,2,2,0,0,0,1
Alberto Rafael,18,39,139,117,18,28,9,0,1,20,0,6,16,33,.239,.343,.342,.685,40,2,3,2,1,0,0
Paulino Reynoso*,19,42,153,129,19,31,6,1,1,13,1,0,21,44,.240,.340,.326,.665,42,0,0,0,3,0,0
Wally Rosa,18,17,70,61,11,21,4,0,1,10,1,1,8,11,.344,.414,.459,.873,28,1,0,0,1,0,0
Cristobal Santana,18,18,84,72,16,29,12,1,0,23,1,0,10,6,.403,.470,.597,1.067,43,2,0,1,1,0,0
Michael Spidale,18,21,87,66,21,21,2,1,0,7,16,4,18,10,.318,.477,.379,.856,25,2,2,1,0,0,0
Roman Tapia,20,27,104,93,14,26,7,2,0,13,1,1,10,26,.280,.356,.398,.754,37,5,1,0,0,0,0
