Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Cesar Abreu,21,13,45,39,4,5,1,0,0,2,0,1,5,11,.128,.244,.154,.398,6,1,1,0,0,0,0,2000,Rookie,CIN
Juan Acevedo#,18,49,195,172,23,31,5,2,2,13,8,6,20,71,.180,.277,.267,.544,46,2,3,0,0,1,0,2000,Rookie,CIN
Augusto Bautista,18,21,70,65,8,13,4,0,0,2,0,0,3,21,.200,.257,.262,.519,17,0,2,0,0,0,0,2000,Rookie,CIN
William Bergolla,17,8,26,22,2,4,0,0,0,0,3,1,4,2,.182,.308,.182,.490,4,0,0,0,0,0,1,2000,Rookie,CIN
Frank Bludau,23,10,1,0,1,0,0,0,0,0,0,0,1,0,,1.000,,,0,0,0,0,0,0,0,2000,Rookie,CIN
Odis Dolton,20,35,126,114,9,23,5,1,0,8,4,4,8,44,.202,.272,.263,.535,30,1,3,1,0,0,0,2000,Rookie,CIN
Chaz Eiguren,23,1,5,2,3,1,0,0,0,0,0,0,3,0,.500,.800,.500,1.300,1,1,0,0,0,0,0,2000,Rookie,CIN
Damaso Espino,17,48,180,167,15,45,5,1,0,19,1,5,11,27,.269,.318,.311,.630,52,3,1,1,0,0,0,2000,Rookie,CIN
Juan Frias*,20,13,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,0,0,2000,Rookie,CIN
J.C. Huguet,22,33,129,104,11,25,5,0,0,17,3,0,21,16,.240,.365,.288,.654,30,4,0,3,1,1,0,2000,Rookie,CIN
Terry Jackson,19,9,36,34,3,11,4,0,0,3,1,1,2,13,.324,.361,.441,.802,15,1,0,0,0,0,0,2000,Rookie,CIN
Juan Llamas,20,24,93,87,10,26,1,1,1,11,1,1,4,15,.299,.344,.368,.712,32,1,2,0,0,0,0,2000,Rookie,CIN
Tiago Magalhaes,19,30,108,101,6,20,4,2,0,7,10,4,5,26,.198,.241,.277,.518,28,2,1,0,1,0,0,2000,Rookie,CIN
Thad Markray,20,10,5,5,0,1,0,0,0,1,0,0,0,1,.200,.200,.200,.400,1,0,0,0,0,0,0,2000,Rookie,CIN
Onix Mercado,20,45,177,157,10,36,11,0,0,20,0,3,14,39,.229,.301,.299,.600,47,1,3,1,2,3,0,2000,Rookie,CIN
Dany Morban*,18,53,216,182,23,42,7,8,1,22,11,2,30,59,.231,.349,.374,.722,68,2,3,1,0,3,0,2000,Rookie,CIN
Rafael Motooka,18,7,12,12,0,3,0,0,0,0,0,0,0,3,.250,.250,.250,.500,3,1,0,0,0,0,0,2000,Rookie,CIN
Gary Patchett,21,19,76,65,9,19,3,0,0,5,1,3,8,11,.292,.387,.338,.725,22,3,2,1,0,0,0,2000,Rookie,CIN
Sean Patterson,18,17,57,49,2,7,1,0,0,3,0,0,8,22,.143,.263,.163,.426,8,0,0,0,0,0,0,2000,Rookie,CIN
Jordy Ramirez#,20,40,160,128,21,22,2,1,1,6,4,3,25,37,.172,.305,.227,.532,29,1,0,6,1,0,0,2000,Rookie,CIN
Francisco Solano#,17,33,140,116,20,30,6,0,0,6,11,8,21,31,.259,.381,.310,.692,36,2,2,1,0,0,0,2000,Rookie,CIN
Luis Valera,18,33,124,114,8,22,3,0,1,11,1,1,8,21,.193,.258,.246,.504,28,3,2,0,0,0,0,2000,Rookie,CIN
