Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Nielsen Abreu,19,6,8,8,2,1,0,0,0,1,0,0,0,1,.125,.125,.125,.250,1,0,0,0,0,0,0
Carlos Acevedo,21,63,254,230,28,59,5,1,1,22,13,3,18,47,.257,.317,.300,.617,69,1,3,2,1,1,0
Rob Avila,21,44,158,139,14,33,7,0,3,21,2,0,10,23,.237,.306,.353,.658,49,2,5,1,3,0,0
Jason Barnette*,23,62,240,213,31,67,5,3,1,25,28,3,21,55,.315,.384,.380,.764,81,3,3,3,0,0,0
Julio Campos,22,3,12,12,1,3,0,0,0,0,1,0,0,5,.250,.250,.250,.500,3,1,0,0,0,0,0
Brandon Caraway#,22,53,231,206,24,45,6,1,0,19,16,5,19,40,.218,.283,.257,.540,53,2,1,1,4,0,0
Travis Chapman,22,49,197,174,23,55,10,2,1,28,0,1,12,24,.316,.379,.414,.793,72,1,7,2,2,0,1
Dario Delgado,20,63,254,216,37,52,8,2,7,40,0,0,29,44,.241,.335,.394,.728,85,6,4,0,5,0,0
Justin Duarte,23,24,83,73,9,15,2,0,2,12,0,0,9,17,.205,.301,.315,.616,23,1,1,0,0,0,0
Anthony Hensley#,22,68,302,235,48,65,9,3,2,28,43,9,60,52,.277,.430,.366,.796,86,2,4,2,1,1,0
Dean Muthig,22,36,128,120,13,27,2,1,5,15,2,0,6,33,.225,.258,.383,.641,46,3,0,0,2,0,0
Daniel O'Neill,23,29,106,91,10,18,2,0,2,7,0,0,15,24,.198,.311,.286,.597,26,2,0,0,0,0,0
Juan Richardson,21,10,42,39,0,6,2,0,0,2,0,0,3,15,.154,.214,.205,.419,8,2,0,0,0,0,0
Alex Rojas#,22,46,149,137,27,23,4,1,0,13,12,2,5,31,.168,.199,.212,.410,29,4,1,3,3,0,0
Kevin Sullivan,22,12,44,34,4,6,1,0,0,1,1,0,8,10,.176,.333,.206,.539,7,0,0,2,0,0,0
Dan Tosca*,19,42,171,150,15,39,13,2,0,16,1,0,15,34,.260,.329,.373,.703,56,2,2,1,3,0,0
Preston Underdown,22,17,64,56,6,11,2,0,0,4,2,0,6,13,.196,.297,.232,.529,13,1,2,0,0,0,0
Chase Utley*,21,40,175,153,21,47,13,1,2,22,5,3,18,23,.307,.383,.444,.827,68,3,2,0,2,1,1
Daron Wright*,22,7,23,20,0,3,0,0,0,1,2,0,2,6,.150,.261,.150,.411,3,0,1,0,0,0,0
Scott Youngbauer#,21,66,278,251,41,59,16,2,6,35,0,0,22,40,.235,.292,.386,.679,97,9,0,1,4,0,0
