Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Anthony Ambrosini,22,3,9,8,1,2,0,0,0,1,0,0,0,2,.250,.333,.250,.583,2,0,1,0,0,0,0
Dominick Ambrosini*,20,67,272,252,19,49,8,1,0,21,3,4,17,58,.194,.246,.234,.480,59,7,1,0,2,1,0
Jason Bay,22,87,373,318,67,115,20,4,13,61,15,2,48,62,.362,.449,.572,1.021,182,4,4,1,2,0,1
Brett Boyer,20,107,448,420,58,105,21,1,3,23,29,5,22,90,.250,.291,.326,.618,137,7,3,2,1,0,0
Nick Dempsey,22,34,126,115,16,35,6,0,1,18,0,0,8,29,.304,.365,.383,.748,44,6,3,0,0,0,0
Jose Docen#,21,87,337,301,28,74,12,0,0,32,11,14,25,54,.246,.304,.286,.590,86,6,2,5,4,0,0
Phil Downing*,22,37,147,123,18,31,4,6,4,20,2,0,22,35,.252,.363,.480,.843,59,2,0,1,1,1,0
Craig Kerner*,22,53,217,190,21,36,7,0,3,17,10,4,21,49,.189,.276,.274,.550,52,4,3,0,3,0,0
Eric Langill,22,47,154,134,14,27,8,0,1,9,1,2,16,31,.201,.301,.284,.584,38,5,3,1,0,0,0
David Lutz*,19,7,27,25,4,6,1,0,0,2,1,0,2,2,.240,.296,.280,.576,7,0,0,0,0,0,0
Ralph McCasland*,22,27,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0
Drew McMillan,20,94,348,320,25,63,12,0,6,30,1,0,12,67,.197,.259,.291,.549,93,8,15,0,1,0,0
Eric Miller,23,69,293,276,28,79,11,3,2,35,8,1,16,42,.286,.324,.370,.694,102,8,0,0,1,0,0
Norberto Rivas,19,7,27,27,2,4,0,0,1,2,0,1,0,9,.148,.148,.259,.407,7,0,0,0,0,0,0
Danny Rombley,21,35,145,136,14,26,5,1,1,9,9,1,7,35,.191,.236,.265,.501,36,2,1,1,0,0,0
Vince Rooi,19,120,493,422,53,107,22,0,9,60,5,4,61,94,.254,.349,.370,.719,156,12,4,0,6,1,0
Nick Schnabel,23,16,45,39,4,10,2,0,0,2,0,0,4,7,.256,.341,.308,.649,12,1,1,1,0,0,0
Grady Sizemore*,18,123,541,451,64,121,16,4,2,61,32,11,81,92,.268,.381,.335,.716,151,7,4,0,5,4,1
Wilson Valdez,23,59,232,214,31,54,8,1,0,11,6,7,9,22,.252,.286,.299,.585,64,5,2,5,2,0,1
Jacob Wallis,21,26,86,81,5,17,1,0,1,7,2,0,4,18,.210,.256,.259,.515,21,2,1,0,0,0,0
Brandon Watson*,19,117,525,489,74,160,16,9,2,38,33,20,29,65,.327,.364,.409,.773,200,6,1,3,3,0,1
Clyde Williams*,21,88,364,347,45,87,12,3,10,52,7,2,11,92,.251,.275,.389,.665,135,6,2,1,3,0,0
