Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Brandon Agamennone,25,45,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0
Brent Billingsley*,26,19,19,15,1,2,0,0,0,2,0,0,2,4,.133,.235,.133,.369,2,0,0,2,0,0,1
Donnie Bridges,22,3,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,1,0,0,0,0,0
Mo Bruce,26,45,147,136,19,31,6,0,3,15,14,2,8,36,.228,.274,.338,.612,46,2,1,1,1,0,0
Ron Calloway*,24,74,314,279,48,92,22,4,9,47,25,7,24,46,.330,.385,.534,.919,149,2,3,5,3,2,1
Jose Carreno,23,40,135,120,3,19,1,0,0,8,0,2,12,24,.158,.237,.167,.404,20,2,1,0,2,2,0
Matthew Cepicky*,23,122,488,459,59,121,23,8,19,77,5,12,21,97,.264,.296,.473,.769,217,6,2,2,4,2,1
Jake Chapman,27,53,4,3,1,0,0,0,0,0,0,0,1,1,.000,.250,.000,.250,0,1,0,0,0,0,0
Ron Chiavacci,23,25,20,19,1,2,0,0,0,0,0,0,1,7,.105,.150,.105,.255,2,0,0,0,0,0,0
John Cotton,30,5,18,17,5,5,0,0,3,8,0,0,1,5,.294,.333,.824,1.157,14,0,0,0,0,0,0
Chuck Crumpton,24,52,7,6,0,1,1,0,0,0,0,0,1,1,.167,.286,.333,.619,2,0,0,0,0,0,0
Tommy Darrell,24,24,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0
Allen Davis*,25,8,12,9,0,2,0,0,0,0,0,0,0,3,.222,.222,.222,.444,2,0,0,3,0,0,0
Javier Fuentes,26,22,58,50,7,14,3,1,0,6,0,0,7,4,.280,.379,.380,.759,19,1,1,0,0,0,0
Troy Gingrich*,24,13,37,34,0,0,0,0,0,0,0,0,3,10,.000,.081,.000,.081,0,0,0,0,0,0,0
Bryan Hebson,25,26,5,5,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,1
Scott Hodges*,22,85,332,305,30,84,11,2,5,32,3,2,25,56,.275,.328,.374,.702,114,4,0,0,2,5,0
Kenny James#,24,41,106,95,17,18,3,1,0,3,9,3,6,13,.189,.250,.242,.492,23,0,2,2,1,0,0
Albenis Machado#,22,99,404,341,57,89,13,3,3,33,10,7,44,56,.261,.352,.343,.695,117,5,4,15,0,2,0
Mark Mangum,22,26,21,18,2,5,0,0,0,0,0,0,0,1,.278,.278,.278,.556,5,0,0,3,0,0,0
Julio Manon*,28,10,8,6,0,0,0,0,0,1,0,0,0,5,.000,.000,.000,.000,0,0,0,1,1,0,1
Brian Matz*,26,37,9,6,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,3,0,0,0
Lou Melucci,23,6,16,15,1,3,0,0,0,2,1,0,0,7,.200,.188,.200,.388,3,0,0,0,1,0,0
Scott Mitchell,28,10,6,5,0,0,0,0,0,0,0,0,1,1,.000,.167,.000,.167,0,0,0,0,0,0,0
Tootie Myers,22,123,442,396,49,104,15,8,10,49,17,7,34,118,.263,.329,.417,.745,165,7,6,4,2,1,0
Talmadge Nunnari*,26,9,35,32,4,5,2,0,1,4,0,0,1,6,.156,.200,.313,.513,10,1,1,0,1,0,1
Val Pascucci,22,138,559,476,79,116,17,1,21,67,8,8,65,114,.244,.344,.416,.760,198,8,11,1,6,1,1
Brandon Phillips,20,67,283,265,35,79,19,0,7,36,13,6,12,42,.298,.337,.449,.786,119,9,4,1,1,0,1
Josh Reding,24,117,400,372,25,75,9,4,3,34,10,5,18,94,.202,.239,.272,.511,101,17,1,7,2,2,0
Wilkin Ruan,22,30,123,117,14,29,7,0,0,6,6,0,3,18,.248,.279,.308,.586,36,1,2,1,0,0,1
Scott Sandusky,25,114,433,387,36,96,20,1,2,23,7,2,35,76,.248,.321,.320,.641,124,9,7,3,1,5,0
Terrmel Sledge*,24,129,516,448,66,124,22,6,9,48,30,8,51,72,.277,.359,.413,.772,185,5,9,3,5,0,1
T.J. Tucker,22,13,10,8,1,2,0,0,0,1,0,0,0,0,.250,.250,.250,.500,2,0,0,2,0,0,1
Jeremy Ware,25,27,94,87,12,25,6,0,3,16,1,1,7,14,.287,.340,.460,.800,40,0,0,0,0,1,0
Justin Wayne,22,14,17,14,1,4,0,0,0,1,0,0,2,2,.286,.375,.286,.661,4,0,0,1,0,0,1
Scott Zech,27,34,103,85,14,22,3,0,0,8,2,5,13,14,.259,.360,.294,.654,25,5,1,3,1,0,0
