Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Peter Bergeron*,23,52,230,206,29,49,5,3,0,8,15,7,20,42,.238,.307,.291,.598,60,1,1,2,1,0,1,2001,AAA,WSN
Geronimo Berroa,36,16,66,56,8,16,3,0,2,2,0,0,9,8,.286,.394,.446,.840,25,3,1,0,0,2,1,2001,AAA,WSN
Matt Blank*,25,14,12,10,1,0,0,0,0,1,0,0,0,0,.000,.000,.000,.000,0,0,0,2,0,0,1,2001,AAA,WSN
Milton Bradley#,23,35,164,136,21,37,7,2,2,13,14,1,23,30,.272,.383,.397,.780,54,3,2,2,1,4,1,2001,AAA,WSN
Donnie Bridges,22,13,9,8,1,4,1,0,0,2,0,0,0,1,.500,.500,.625,1.125,5,0,0,1,0,0,0,2001,AAA,WSN
Mo Bruce,26,6,17,15,1,2,0,0,0,0,0,0,2,7,.133,.235,.133,.369,2,0,0,0,0,0,0,2001,AAA,WSN
Ron Calloway*,24,61,265,239,27,63,12,0,10,35,11,1,16,64,.264,.323,.439,.763,105,6,6,2,2,2,1,2001,AAA,WSN
Jamey Carroll,27,83,290,267,26,64,8,2,0,16,5,5,18,41,.240,.292,.285,.576,76,8,2,2,1,1,1,2001,AAA,WSN
John Cotton,30,24,100,93,11,26,8,1,5,15,2,1,6,25,.280,.330,.548,.878,51,1,1,0,0,2,0,2001,AAA,WSN
Darwin Cubillan,28,17,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,1,2001,AAA,WSN
Tomas de la Rosa,23,121,478,420,56,100,24,0,7,30,12,9,40,63,.238,.309,.345,.654,145,13,5,9,4,4,1,2001,AAA,WSN
Joey Eischen*,31,34,5,4,1,0,0,0,0,0,0,0,1,1,.000,.200,.000,.200,0,0,0,0,0,0,1,2001,AAA,WSN
Keith Evans,25,45,7,6,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,1,0,0,0,2001,AAA,WSN
Jimmy Gonzalez,28,58,226,215,18,38,8,1,6,19,0,0,8,49,.177,.212,.307,.519,66,4,2,0,1,0,0,2001,AAA,WSN
Todd Johannes,24,4,10,10,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,0,0,0,0,0,0,0,2001,AAA,WSN
Terry Jones#,30,17,73,68,6,20,2,0,0,5,2,3,3,13,.294,.319,.324,.643,22,4,0,1,1,0,1,2001,AAA,WSN
Felipe Lira,29,42,2,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,1,0,0,1,2001,AAA,WSN
