Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Nick Alvarez,24,118,472,420,63,120,15,2,21,71,14,7,29,80,.286,.353,.481,.834,202,11,17,2,4,1,0,2001,Adv A,LAD
Sandy Aracena,20,2,7,6,0,2,0,0,0,0,0,0,1,1,.333,.429,.333,.762,2,0,0,0,0,0,0,2001,Adv A,LAD
Willy Aybar#,18,2,8,7,0,2,0,0,0,0,0,0,1,2,.286,.375,.286,.661,2,0,0,0,0,0,1,2001,Adv A,LAD
Ricky Bell,22,6,25,24,3,6,0,0,0,0,0,1,0,3,.250,.280,.250,.530,6,0,1,0,0,0,0,2001,Adv A,LAD
Adrian Beltre,22,3,12,9,0,4,1,0,0,1,0,0,2,1,.444,.583,.556,1.139,5,0,1,0,0,0,1,2001,Adv A,LAD
Hunter Bledsoe,25,65,259,232,28,75,8,0,4,25,5,2,24,27,.323,.390,.409,.799,95,15,2,0,1,0,0,2001,Adv A,LAD
Chin-Feng Chen,23,62,270,235,38,63,15,3,5,41,2,0,28,56,.268,.359,.421,.781,99,3,6,0,1,2,1,2001,Adv A,LAD
Mike Collins,24,74,315,268,29,74,11,0,2,24,5,3,37,26,.276,.366,.340,.705,91,6,2,6,2,0,0,2001,Adv A,LAD
Bill Duplissea,23,39,128,107,8,20,4,2,0,6,1,0,11,37,.187,.304,.262,.566,28,2,7,3,0,0,0,2001,Adv A,LAD
Jesus Feliciano*,22,116,442,401,48,105,11,3,3,29,22,10,31,35,.262,.320,.327,.646,131,15,4,4,2,2,1,2001,Adv A,LAD
Ismael Gallo*,24,64,271,237,26,60,9,3,2,22,2,1,24,15,.253,.318,.342,.660,81,5,0,7,3,0,0,2001,Adv A,LAD
Dave Hansen*,32,3,10,9,1,0,0,0,0,0,0,0,1,2,.000,.100,.000,.100,0,0,0,0,0,0,1,2001,Adv A,LAD
John Hernandez,21,38,125,114,8,23,9,0,0,22,1,1,5,19,.202,.248,.281,.529,32,2,3,0,3,0,0,2001,Adv A,LAD
Milko Jaramillo#,21,50,163,153,15,28,2,2,1,5,1,0,4,25,.183,.209,.242,.451,37,5,1,5,0,0,0,2001,Adv A,LAD
Ryan Kellner,23,66,262,236,15,49,8,1,4,21,0,2,17,52,.208,.277,.301,.578,71,6,6,2,1,0,0,2001,Adv A,LAD
Brennan King,20,73,274,255,24,62,10,0,1,28,0,0,13,48,.243,.286,.294,.580,75,6,3,1,2,0,0,2001,Adv A,LAD
Ronte Langs,22,5,13,11,1,3,0,0,0,1,1,1,2,1,.273,.385,.273,.657,3,0,0,0,0,0,0,2001,Adv A,LAD
Nathan Lipowicz,23,33,112,101,8,24,4,0,0,9,0,0,7,22,.238,.297,.277,.575,28,2,2,1,1,0,0,2001,Adv A,LAD
Lamont Matthews*,23,107,450,349,61,107,26,3,10,57,1,3,95,106,.307,.458,.484,.942,169,5,4,0,2,4,0,2001,Adv A,LAD
Reggie Nelson,22,102,421,348,51,79,12,0,0,23,22,13,46,54,.227,.333,.261,.595,91,7,12,10,5,1,0,2001,Adv A,LAD
Manuel Nunez,22,16,50,44,5,6,1,0,1,5,0,1,3,21,.136,.191,.227,.419,10,0,0,3,0,0,0,2001,Adv A,LAD
Julio Pacheco*,19,39,154,148,16,38,11,1,0,10,2,3,4,35,.257,.281,.345,.626,51,2,1,1,0,0,0,2001,Adv A,LAD
Pete Paciorek*,25,46,159,143,13,28,5,1,4,17,0,0,13,33,.196,.261,.329,.590,47,5,0,2,1,1,0,2001,Adv A,LAD
Tony Schifano,26,62,222,199,23,56,12,0,4,23,6,1,15,39,.281,.341,.402,.743,80,8,4,2,2,1,0,2001,Adv A,LAD
Saul Soto,22,1,4,2,0,0,0,0,0,0,0,0,2,0,.000,.500,.000,.500,0,0,0,0,0,0,0,2001,Adv A,LAD
Nick Theodorou#,26,8,26,17,3,0,0,0,0,1,0,0,8,4,.000,.308,.000,.308,0,1,0,0,1,0,0,2001,Adv A,LAD
C.J. Thomas,21,66,281,253,28,66,18,0,1,20,9,6,23,58,.261,.321,.344,.665,87,6,1,1,3,2,0,2001,Adv A,LAD
Shane Victorino,20,2,9,6,2,1,0,0,0,0,0,0,3,1,.167,.444,.167,.611,1,0,0,0,0,0,1,2001,Adv A,LAD
Nate Wright,23,2,3,2,0,0,0,0,0,0,0,0,1,1,.000,.333,.000,.333,0,1,0,0,0,0,0,2001,Adv A,LAD
