Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Dennys Abreu,24,122,436,402,45,115,17,4,7,51,18,14,24,102,.286,.328,.400,.728,161,10,3,3,4,3,0
Matt Achilles,25,41,24,21,3,5,1,0,1,2,0,0,0,5,.238,.238,.429,.667,9,0,0,3,0,0,0
Mike Amrhein,27,63,260,232,26,70,13,2,5,30,4,3,20,24,.302,.373,.440,.813,102,7,7,0,1,1,0
Ryan Balfe#,26,23,90,85,5,17,3,0,1,7,0,0,4,15,.200,.244,.271,.515,23,5,1,0,0,1,0
Matt Bruback,23,28,37,37,2,5,0,0,0,1,0,0,0,15,.135,.135,.135,.270,5,0,0,0,0,0,0
Mark Budzinski*,28,114,486,427,68,127,19,6,4,36,21,7,51,85,.297,.377,.398,.775,170,4,5,1,2,3,1
Wilton Chavez,24,18,26,23,2,2,0,0,0,0,0,0,1,10,.087,.125,.087,.212,2,2,0,2,0,0,0
Ben Christensen,24,12,18,10,0,0,0,0,0,0,0,0,2,3,.000,.167,.000,.167,0,0,0,6,0,0,0
Chris Curry,24,12,39,35,4,6,2,0,0,2,0,0,1,10,.171,.216,.229,.445,8,0,1,2,0,0,0
Mike Dzurilla,24,6,18,16,3,4,1,0,0,2,0,0,1,3,.250,.294,.313,.607,5,1,0,1,0,0,0
Leo Estrella,27,10,4,4,1,0,0,0,0,0,0,1,0,0,.000,.000,.000,.000,0,0,0,0,0,0,1
Mark Freed*,23,30,34,30,2,8,1,0,1,4,0,0,1,10,.267,.290,.400,.690,12,0,0,3,0,0,0
Nate Frese,24,70,258,230,24,52,10,1,2,18,4,3,23,59,.226,.301,.304,.605,70,4,2,2,1,0,0
Dave Gibralter,27,55,181,166,22,39,8,0,2,18,1,1,12,28,.235,.293,.319,.612,53,4,2,0,1,2,0
Ryan Gripp,24,116,438,380,51,88,24,2,10,49,4,2,46,85,.232,.319,.384,.703,146,9,5,2,5,2,0
Rafael Gross,27,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0
Jon Hamilton*,24,66,257,238,35,66,13,5,4,32,4,3,19,47,.277,.331,.424,.755,101,2,0,0,0,2,0
Brendan Harris,21,13,55,53,8,17,4,1,2,11,1,1,2,5,.321,.345,.547,.893,29,1,0,0,0,0,1
Dave Hooten,27,65,3,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,1,0,0,0
Nic Jackson*,22,32,140,131,18,38,9,1,3,20,8,2,6,23,.290,.329,.443,.771,58,1,2,0,1,0,0
Gary Johnson,25,121,463,389,48,100,15,2,6,45,13,8,50,77,.257,.356,.352,.708,137,7,14,2,8,2,0
Ben Johnstone,24,6,5,4,1,3,1,0,0,2,3,0,1,0,.750,.800,1.000,1.800,4,0,0,0,0,0,0
Ferenc Jongejan*,23,62,5,5,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,0,0,0,0
David Kelton,22,129,555,498,68,130,28,6,20,79,12,6,52,129,.261,.332,.462,.793,230,10,2,0,3,2,1
Casey Kopitzke,24,76,272,244,16,54,6,0,0,20,2,3,13,34,.221,.270,.246,.516,60,6,5,5,5,2,0
Jon Leicester,23,5,8,8,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,0,0,0,1
Mickey Lopez#,28,17,71,62,11,17,2,0,0,7,5,2,5,9,.274,.324,.306,.630,19,0,1,0,3,0,1
Lukas McKnight*,22,2,8,7,1,1,0,0,0,0,0,1,1,1,.143,.250,.143,.393,1,0,0,0,0,0,0
Jackson Melian,22,71,264,234,25,72,17,0,4,26,10,6,17,62,.308,.375,.432,.807,101,4,10,0,3,2,0
Dave Noyce*,25,53,6,6,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,0,0,0,0
Rick Palma*,22,43,5,5,1,1,0,0,0,0,0,0,0,1,.200,.200,.200,.400,1,0,0,0,0,0,0
Jorge Piedra*,23,23,65,60,5,10,3,1,0,4,2,0,3,11,.167,.219,.250,.469,15,1,1,1,0,0,1
John Powers*,28,68,234,198,33,59,9,2,6,23,8,2,30,30,.298,.394,.455,.848,90,4,2,3,1,3,0
Mark Prior,21,6,12,12,1,2,0,0,1,1,0,0,0,5,.167,.167,.417,.583,5,1,0,0,0,0,1
Jose Reyes#,19,1,5,5,0,2,0,0,0,0,0,0,0,3,.400,.400,.400,.800,2,0,0,0,0,0,1
Ray Sadler,21,10,38,30,4,2,1,0,0,1,2,0,5,5,.067,.263,.100,.363,3,3,3,0,0,0,1
Tony Schrager,25,117,442,350,57,80,23,4,10,48,9,3,78,93,.229,.378,.403,.780,141,2,7,5,2,0,0
Steve Smyth*,24,11,16,11,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,1,0,5,0,0,1
John Webb,23,12,15,13,0,3,0,0,0,1,0,0,0,4,.231,.231,.231,.462,3,0,0,2,0,0,1
Chris Weekly*,25,18,41,36,4,7,3,0,0,4,0,2,5,12,.194,.293,.278,.570,10,0,0,0,0,0,0
Todd Wellemeyer,23,8,8,7,2,1,0,0,0,0,0,0,0,5,.143,.143,.143,.286,1,0,0,1,0,0,1
