Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Alex Ahumada,23,24,87,73,11,18,1,0,1,9,3,2,9,18,.247,.356,.301,.658,22,2,4,0,1,1,0,2002,Adv A,BOS
Stefan Bailie,22,43,182,159,16,41,8,2,2,26,1,0,16,33,.258,.330,.371,.701,59,7,3,0,4,0,0,2002,Adv A,BOS
Tony Blanco,20,65,256,244,22,54,13,2,6,32,2,0,6,70,.221,.250,.365,.615,89,3,4,0,2,0,1,2002,Adv A,BOS
Blake Blasi#,23,37,159,139,9,32,4,0,1,9,5,0,17,31,.230,.323,.281,.603,39,3,2,1,0,1,0,2002,Adv A,BOS
Addison Bowman,22,6,26,23,1,3,1,0,0,2,0,0,2,6,.130,.200,.174,.374,4,0,0,1,0,0,0,2002,Adv A,BOS
Dustin Brisson*,24,34,135,119,15,34,9,1,5,19,0,0,16,20,.286,.370,.504,.875,60,4,0,0,0,0,0,2002,Adv A,BOS
Greg Catalanotte#,25,30,102,92,9,16,3,0,2,4,1,0,9,34,.174,.255,.272,.527,25,3,1,0,0,1,0,2002,Adv A,BOS
Michael Coleman,26,1,3,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,1,1,0,0,0,0,1,2002,Adv A,BOS
Manny Crespo,23,51,178,158,12,38,7,0,3,18,0,0,17,30,.241,.311,.342,.653,54,5,0,1,2,0,0,2002,Adv A,BOS
Melvin Dorta,20,99,443,378,46,97,8,1,0,31,9,10,49,54,.257,.342,.283,.625,107,7,3,7,6,0,1,2002,Adv A,BOS
William Durazo#,23,7,20,19,0,1,0,0,0,0,0,0,1,3,.053,.100,.053,.153,1,1,0,0,0,0,0,2002,Adv A,BOS
Brian Esposito,23,31,107,99,8,16,5,0,2,7,0,0,5,20,.162,.208,.273,.480,27,1,1,1,1,0,1,2002,Adv A,BOS
Nick Garcia,22,7,16,14,1,2,0,0,0,0,1,0,2,0,.143,.250,.143,.393,2,0,0,0,0,0,0,2002,Adv A,BOS
John Hattig#,22,24,93,85,6,21,6,0,0,6,0,0,7,16,.247,.301,.318,.619,27,2,0,0,1,0,1,2002,Adv A,BOS
Freddie Money,23,120,444,397,56,93,6,1,0,34,22,9,35,74,.234,.306,.254,.561,101,12,8,0,4,0,0,2002,Adv A,BOS
Dan Mooney,25,20,71,67,3,13,3,0,0,7,0,0,0,16,.194,.225,.239,.464,16,1,3,0,1,0,0,2002,Adv A,BOS
Raul Nieves#,23,93,330,299,36,76,11,0,0,19,5,4,23,36,.254,.310,.291,.601,87,4,2,4,2,1,0,2002,Adv A,BOS
Kenny Perez#,20,121,506,447,53,112,12,4,2,28,16,5,51,58,.251,.329,.309,.638,138,15,3,2,3,0,0,2002,Adv A,BOS
Ryan Petersen,24,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0,2002,Adv A,BOS
Carlos Rodriguez,25,127,510,472,59,104,27,3,13,59,6,5,26,129,.220,.275,.373,.647,176,14,10,0,2,6,0,2002,Adv A,BOS
Pat Santoro,23,27,108,95,15,21,7,0,4,17,1,2,11,34,.221,.315,.421,.736,40,1,2,0,0,0,0,2002,Adv A,BOS
Kelly Shoppach,22,116,480,414,54,112,35,1,10,66,2,1,59,112,.271,.369,.432,.801,179,11,6,0,1,2,1,2002,Adv A,BOS
Will Smith,25,80,357,277,51,71,12,5,2,23,14,5,63,55,.256,.413,.357,.771,99,6,11,6,0,0,0,2002,Adv A,BOS
Brent Tarbett,21,3,12,11,1,1,1,0,0,0,0,0,1,3,.091,.167,.182,.348,2,1,0,0,0,0,0,2002,Adv A,BOS
Chris Warren,25,13,49,41,1,6,1,1,0,4,0,0,5,13,.146,.271,.220,.490,9,1,2,1,0,0,0,2002,Adv A,BOS
Corey Wright*,22,14,55,50,0,9,1,1,0,2,0,1,4,10,.180,.255,.240,.495,12,1,1,0,0,0,0,2002,Adv A,BOS
Kevin Youkilis,23,76,339,268,45,79,16,0,3,48,0,2,49,37,.295,.422,.388,.810,104,5,15,0,7,2,1,2002,Adv A,BOS
