Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Pedro Agustin,20,30,81,77,8,16,3,1,0,1,1,2,1,22,.208,.218,.273,.491,21,0,0,3,0,0,0,2002,Rookie,CHC
Matt Creighton,23,50,221,169,43,61,14,1,8,39,12,7,31,27,.361,.502,.598,1.100,101,1,19,0,2,2,0,2002,Rookie,CHC
Rick Devinney,18,3,6,4,0,2,1,0,0,1,0,0,1,0,.500,.500,.750,1.250,3,0,0,0,1,0,0,2002,Rookie,CHC
Brian Dopirak,18,21,85,79,10,20,4,0,0,6,0,0,6,23,.253,.306,.304,.610,24,0,0,0,0,0,0,2002,Rookie,CHC
Alfredo Francisco,17,48,199,188,23,50,6,1,1,24,1,3,9,58,.266,.296,.324,.621,61,2,0,0,2,0,0,2002,Rookie,CHC
Carlos Marmol,19,47,195,186,22,48,6,3,1,16,10,4,3,35,.258,.271,.339,.610,63,3,1,3,2,0,1,2002,Rookie,CHC
Paul O'Toole*,22,3,12,9,2,4,1,0,0,1,0,1,3,1,.444,.583,.556,1.139,5,0,0,0,0,1,0,2002,Rookie,CHC
Felix Pie*,17,55,248,218,42,70,16,13,4,37,17,8,21,47,.321,.385,.569,.953,124,1,4,1,4,1,1,2002,Rookie,CHC
Jose Reyes#,19,19,58,50,4,9,0,1,0,7,3,1,6,13,.180,.276,.220,.496,11,1,1,0,1,0,1,2002,Rookie,CHC
Alan Rick*,18,23,86,69,11,16,2,0,0,4,1,2,11,16,.232,.353,.261,.614,18,1,3,1,2,0,0,2002,Rookie,CHC
Issmael Salas,19,34,143,122,33,38,2,2,5,24,4,1,9,14,.311,.391,.484,.875,59,2,7,5,0,0,0,2002,Rookie,CHC
Geovany Soto,19,44,175,156,24,42,10,2,3,24,0,2,13,35,.269,.333,.417,.750,65,2,3,1,2,1,1,2002,Rookie,CHC
Jemel Spearman,21,54,242,208,46,65,7,5,1,21,29,1,28,22,.313,.397,.409,.805,85,4,3,0,3,0,0,2002,Rookie,CHC
Denny Summeral*,21,49,208,187,22,49,9,4,4,27,1,1,11,54,.262,.319,.417,.736,78,1,6,1,3,2,0,2002,Rookie,CHC
Jan Thornton-Murray#,21,10,41,39,7,8,3,1,0,7,0,1,2,6,.205,.244,.333,.577,13,0,0,0,0,0,0,2002,Rookie,CHC
Richard Valdez,20,15,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,2002,Rookie,CHC
Rafael Vazquez,20,36,147,138,13,39,9,1,0,20,0,4,2,16,.283,.306,.362,.668,50,4,4,0,3,0,0,2002,Rookie,CHC
Randy Wells,19,14,49,41,6,6,1,0,0,4,0,0,3,16,.146,.234,.171,.405,7,0,2,2,1,1,1,2002,Rookie,CHC
