Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
John Baker*,22,82,365,304,42,94,23,2,6,49,1,0,47,77,.309,.414,.457,.871,139,4,10,0,4,2,1
Jason Basil,24,105,401,343,37,83,13,1,3,36,4,1,50,64,.242,.343,.312,.655,107,8,4,2,2,1,0
Brant Colamarino*,22,133,576,498,68,129,26,0,19,80,1,0,59,101,.259,.350,.426,.775,212,2,13,1,5,4,0
Beau Craig#,24,25,93,76,9,16,2,0,2,11,0,0,16,21,.211,.348,.316,.664,24,3,0,1,0,0,0
Nelson Cruz,22,119,515,470,65,112,26,2,20,85,10,5,29,128,.238,.292,.430,.722,202,7,9,1,6,2,1
Andre Ethier*,21,40,183,162,23,44,10,0,0,11,2,2,19,25,.272,.355,.333,.689,54,4,2,0,0,2,1
Francis Gomez,21,128,547,483,65,128,18,3,5,53,21,9,29,74,.265,.323,.346,.669,167,13,15,15,5,0,0
Dustin Majewski*,21,4,19,18,2,3,1,0,0,2,0,0,1,9,.167,.211,.222,.433,4,0,0,0,0,0,0
Marcus McBeth,22,68,272,234,30,60,9,3,4,26,8,4,28,57,.256,.349,.372,.721,87,3,6,3,1,0,1
John McCurdy,22,130,575,515,64,141,33,1,4,52,22,5,34,86,.274,.331,.365,.696,188,14,13,7,6,0,0
Kirk Nordness,23,38,145,129,17,28,6,0,0,15,1,1,12,25,.217,.285,.264,.548,34,3,1,1,2,0,0
Nick Rogers,23,89,347,307,42,74,12,1,5,34,15,12,34,82,.241,.318,.336,.653,103,6,2,1,3,0,0
J.P. Schmidt*,23,44,158,137,21,21,5,0,0,11,8,0,17,32,.153,.250,.190,.440,26,4,1,2,1,0,0
Brian Stavisky*,22,98,407,331,54,88,20,2,6,35,4,1,62,74,.266,.396,.393,.788,130,5,9,5,0,0,0
John Suomi*,22,69,263,241,29,62,19,1,1,28,4,2,14,34,.257,.298,.357,.655,86,1,2,1,5,1,0
Chris Tritle,21,42,141,132,11,23,2,1,1,10,6,2,6,48,.174,.209,.227,.436,30,4,0,2,1,0,0
Lloyd Turner,23,4,12,12,2,4,0,0,0,1,0,0,0,0,.333,.333,.333,.667,4,0,0,0,0,0,0
Kory Wayment,22,115,375,316,55,78,6,0,5,30,16,7,47,92,.247,.350,.313,.663,99,3,4,6,2,1,0
