Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Jerome Alviso#,27,16,61,57,4,13,1,0,0,5,2,0,3,6,.228,.267,.246,.512,14,0,0,1,0,0,0,2003,AAA,LAA
Alfredo Amezaga#,25,75,344,317,55,110,20,5,3,45,14,8,20,39,.347,.391,.470,.861,149,3,4,1,2,2,1,2003,AAA,LAA
Jeff DaVanon#,29,16,72,60,11,18,4,1,2,14,4,1,9,9,.300,.400,.500,.900,30,1,1,2,0,0,1,2003,AAA,LAA
Trent Durrington,27,117,521,447,81,136,27,5,7,54,35,8,61,75,.304,.390,.434,.824,194,6,6,0,7,3,1,2003,AAA,LAA
Darin Erstad*,29,7,29,27,6,11,0,0,0,4,1,0,2,1,.407,.448,.407,.856,11,0,0,0,0,0,1,2003,AAA,LAA
Chone Figgins#,25,68,321,285,55,89,14,15,4,30,16,6,29,36,.312,.379,.509,.888,145,4,3,2,2,1,1,2003,AAA,LAA
Rudy Gomez,28,2,4,3,0,0,0,0,0,0,0,0,1,1,.000,.250,.000,.250,0,0,0,0,0,0,0,2003,AAA,LAA
Tom Gregorio,26,54,200,181,26,40,10,0,5,24,0,0,14,44,.221,.290,.359,.649,65,1,4,0,1,0,1,2003,AAA,LAA
Jeff Guiel*,29,94,376,325,48,78,16,2,13,48,3,1,48,80,.240,.339,.422,.760,137,2,1,1,1,1,0,2003,AAA,LAA
Adonis Harrison*,26,47,204,178,23,52,8,2,0,18,1,2,22,18,.292,.363,.360,.722,64,8,0,0,4,0,0,2003,AAA,LAA
Nathan Haynes*,23,28,132,120,16,26,3,3,1,7,6,0,9,20,.217,.280,.317,.597,38,2,2,0,1,1,1,2003,AAA,LAA
Jason Hill,26,11,39,34,5,7,0,1,2,5,1,0,4,3,.206,.282,.441,.723,15,2,0,0,1,0,0,2003,AAA,LAA
Gary Johnson*,27,121,518,447,65,114,23,7,12,74,4,2,61,112,.255,.346,.418,.764,187,5,4,0,6,2,1,2003,AAA,LAA
Keith Johnson,32,117,482,451,51,129,33,2,11,64,6,6,19,70,.286,.317,.441,.759,199,14,5,0,7,1,1,2003,AAA,LAA
Wil Nieves,25,102,395,361,48,102,16,2,4,38,1,2,25,53,.283,.327,.371,.698,134,8,1,3,5,3,1,2003,AAA,LAA
Adam Pavkovich,21,1,5,5,0,1,0,0,0,0,0,0,0,0,.200,.200,.200,.400,1,0,0,0,0,0,0,2003,AAA,LAA
Robb Quinlan,26,95,421,393,55,122,18,4,9,68,10,3,25,59,.310,.352,.445,.797,175,9,1,0,2,2,1,2003,AAA,LAA
Julio Ramirez,25,110,424,402,50,112,17,6,10,48,16,6,12,86,.279,.304,.425,.730,171,7,5,0,5,0,1,2003,AAA,LAA
Adam Riggs,30,103,447,394,59,116,35,0,14,82,8,2,37,67,.294,.354,.490,.844,193,13,5,1,10,0,1,2003,AAA,LAA
Oscar Salazar,25,7,30,26,5,8,2,1,1,4,0,0,3,4,.308,.367,.577,.944,15,1,0,0,1,0,1,2003,AAA,LAA
Barry Wesson,26,123,521,475,62,133,27,6,8,53,17,3,38,86,.280,.334,.413,.747,196,10,3,0,5,0,1,2003,AAA,LAA
