Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Bryan Anderson,24,60,237,200,20,49,17,0,2,26,3,0,17,41,.245,.301,.360,.661,72,8,3,8,9,0,0,2003,Adv A,CIN
Jeff Bannon,23,104,415,366,45,108,26,2,8,42,7,8,35,67,.295,.360,.443,.803,162,10,5,4,5,1,0,2003,Adv A,CIN
William Bergolla,20,128,572,523,77,142,25,3,2,31,52,18,29,59,.272,.309,.342,.651,179,13,1,15,4,1,1,2003,Adv A,CIN
Tony Blanco,21,69,278,241,33,64,17,2,10,49,0,0,26,62,.266,.338,.477,.815,115,5,4,0,7,2,1,2003,Adv A,CIN
Mike Calitri,25,55,196,171,22,38,10,1,6,26,3,1,21,48,.222,.308,.398,.705,68,7,1,1,2,0,0,2003,Adv A,CIN
Wandel Campana,25,5,15,12,2,1,0,0,1,1,0,0,1,2,.083,.154,.333,.487,4,0,0,2,0,0,0,2003,Adv A,CIN
Brad Correll,22,38,159,143,19,41,11,1,5,24,2,1,15,22,.287,.358,.483,.841,69,3,1,0,0,0,0,2003,Adv A,CIN
Justin Davis*,24,30,79,67,6,10,2,0,0,3,0,1,12,15,.149,.278,.179,.458,12,1,0,0,0,0,0,2003,Adv A,CIN
Chris Denorfia,22,128,541,470,60,111,10,5,4,39,20,7,54,106,.236,.317,.304,.621,143,10,3,11,3,0,1,2003,Adv A,CIN
Edwin Encarnacion,20,58,244,215,40,69,15,1,6,29,7,1,24,32,.321,.387,.484,.871,104,2,1,1,3,1,1,2003,Adv A,CIN
Jesse Gutierrez,25,108,437,400,52,111,26,0,16,76,1,2,22,52,.278,.325,.463,.787,185,12,9,0,6,3,0,2003,Adv A,CIN
B.J. Hawes,24,59,185,172,14,42,6,1,0,9,3,3,9,36,.244,.284,.291,.575,50,4,1,2,1,0,0,2003,Adv A,CIN
Habelito Hernandez,22,8,30,28,2,7,0,0,0,1,0,0,1,7,.250,.267,.250,.517,7,0,0,0,1,0,0,2003,Adv A,CIN
Heath Honeycutt,26,57,218,197,22,51,15,2,2,22,1,3,18,42,.259,.326,.386,.711,76,3,2,0,1,0,0,2003,Adv A,CIN
Candido Martinez,25,13,37,31,3,4,2,0,0,0,2,2,5,9,.129,.250,.194,.444,6,0,0,1,0,0,0,2003,Adv A,CIN
Rafael Motooka,21,14,41,35,3,6,0,0,0,4,0,0,4,12,.171,.244,.171,.415,6,1,0,0,2,0,0,2003,Adv A,CIN
Gary Patchett,24,47,130,113,11,27,1,0,1,6,0,2,10,24,.239,.323,.274,.597,31,6,4,3,0,1,0,2003,Adv A,CIN
Brian Peterson,24,49,160,142,16,38,6,1,0,8,4,0,12,30,.268,.327,.324,.651,46,2,1,4,1,1,0,2003,Adv A,CIN
Bryan Prince,24,47,168,145,14,36,3,0,4,15,0,0,20,30,.248,.343,.352,.695,51,3,1,2,0,2,0,2003,Adv A,CIN
Fernando Rios,24,36,148,125,13,34,5,1,1,21,4,4,21,17,.272,.372,.352,.724,44,2,0,0,2,0,0,2003,Adv A,CIN
Junior Ruiz*,23,41,163,139,22,39,10,1,1,17,12,1,19,17,.281,.375,.388,.763,54,4,2,3,0,1,0,2003,Adv A,CIN
Mark Schramek*,23,36,138,128,9,26,4,0,2,12,0,0,6,42,.203,.261,.281,.542,36,2,4,0,0,0,0,2003,Adv A,CIN
Eric Shanks,24,4,15,14,0,5,0,0,0,0,0,2,0,1,.357,.357,.357,.714,5,0,0,1,0,0,0,2003,Adv A,CIN
Orlando Sulbaran,21,2,3,3,0,1,0,0,0,0,0,0,0,2,.333,.333,.333,.667,1,0,0,0,0,0,0,2003,Adv A,CIN
Chris Williamson*,24,102,357,319,31,63,20,0,2,30,1,0,33,113,.197,.272,.279,.551,89,4,1,0,4,4,0,2003,Adv A,CIN
Travis Wong,21,21,83,76,7,13,2,0,2,12,0,0,4,21,.171,.217,.276,.493,21,1,1,0,2,0,0,2003,Adv A,CIN
