Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Avelino Asprilla,22,33,117,106,12,22,6,0,0,17,0,2,3,24,.208,.225,.264,.489,28,3,0,6,2,0,0
Jose Bautista,22,51,195,165,28,40,14,2,4,20,1,5,27,48,.242,.359,.424,.783,70,1,3,0,0,0,1
Cristian Berroa#,24,39,126,123,11,27,4,1,0,10,1,0,2,18,.220,.230,.268,.498,33,4,0,0,1,0,0
Sam Bozanich,24,40,139,117,15,27,6,0,2,12,2,0,16,32,.231,.336,.333,.669,39,3,3,2,1,1,0
Vic Buttler*,22,117,437,382,49,109,18,5,3,44,22,5,37,47,.285,.360,.382,.742,146,7,8,9,1,1,0
Brandon Chaves#,23,121,498,443,62,116,23,6,3,49,13,8,40,82,.262,.327,.361,.688,160,6,4,9,2,0,0
Michael Cockrell,21,7,26,24,3,11,3,0,0,3,0,0,2,1,.458,.500,.583,1.083,14,3,0,0,0,0,0
Jorge Cortes*,22,37,145,129,17,34,6,0,1,15,1,1,11,25,.264,.315,.333,.648,43,2,0,2,3,0,0
Yurendell de Caster,23,97,361,330,50,76,24,1,13,56,3,2,22,86,.230,.283,.427,.710,141,9,4,0,5,1,1
Ryan Doumit#,22,127,524,458,75,126,38,1,11,77,4,0,45,79,.275,.351,.434,.786,199,7,13,0,8,3,1
Jeremy Harts#,23,91,297,272,31,60,11,2,5,39,4,2,15,74,.221,.267,.331,.598,90,3,3,5,2,0,0
Jose Hernandez,22,3,4,4,0,2,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,2,0,0,0,0,0,0
Jeff Keppinger,23,92,373,342,55,111,21,2,3,51,3,2,23,28,.325,.365,.424,.789,145,10,1,3,4,0,1
Nate McLouth*,21,117,508,440,85,132,27,2,6,33,40,4,55,68,.300,.386,.411,.797,181,4,7,5,1,2,1
Matt Meath#,23,12,33,28,1,3,0,0,0,0,0,1,5,8,.107,.242,.107,.350,3,0,0,0,0,0,0
Ronny Paulino,22,23,91,81,8,19,3,0,1,12,1,0,8,8,.235,.308,.309,.616,25,6,1,0,1,0,1
Rudy Pena,24,12,31,30,0,4,2,0,0,2,0,0,1,7,.133,.161,.200,.361,6,1,0,0,0,0,0
Manny Ravelo,23,57,198,171,21,38,2,0,0,6,11,6,16,46,.222,.298,.234,.532,40,2,3,7,1,0,0
Chris Shelton,23,95,389,315,71,113,24,1,21,69,1,4,68,67,.359,.478,.641,1.119,202,6,5,0,1,8,1
Walter Young*,23,117,480,431,76,120,15,2,20,87,2,4,35,88,.278,.348,.462,.810,199,10,12,0,2,3,1
