Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Javy Lopez,32,129,495,457,89,150,29,3,43,109,0,1,33,90,.328,.378,.687,1.065,314,10,4,0,1,5,1
Robert Fick*,29,126,460,409,52,110,26,1,11,80,1,0,42,47,.269,.335,.418,.753,171,9,2,0,7,4,1
Marcus Giles,25,145,635,551,101,174,49,2,21,69,14,4,59,80,.316,.390,.526,.917,290,7,11,10,4,2,1
Rafael Furcal#,25,156,734,664,130,194,35,10,15,61,25,2,60,76,.292,.352,.443,.794,294,1,3,3,4,2,1
Vinny Castilla,35,147,578,542,65,150,28,3,22,76,1,2,26,86,.277,.310,.461,.771,250,22,3,1,6,3,1
Chipper Jones#,31,153,656,555,103,169,33,2,27,106,2,2,94,83,.305,.402,.517,.920,287,10,1,0,6,13,1
Andruw Jones,26,156,659,595,101,165,28,2,36,116,4,3,53,125,.277,.338,.513,.851,305,18,5,0,6,2,1
Gary Sheffield,34,155,678,576,126,190,37,2,39,132,18,4,86,55,.330,.419,.604,1.023,348,16,8,0,8,6,1
Mark DeRosa,28,103,288,266,40,70,14,0,6,22,1,0,16,49,.263,.316,.383,.699,102,6,5,0,1,0,1
Julio Franco,44,103,223,197,28,58,12,2,5,31,0,1,25,43,.294,.372,.452,.824,89,8,0,0,1,5,1
Darren Bragg*,33,104,181,162,21,39,5,1,0,9,2,1,13,38,.241,.305,.284,.589,46,1,2,4,0,1,1
Henry Blanco,31,55,166,151,11,30,8,0,1,13,0,0,10,21,.199,.252,.272,.523,41,3,1,3,1,2,1
Matt Franco*,33,112,148,134,11,33,5,0,3,15,0,1,11,26,.246,.299,.351,.650,47,4,0,1,2,0,1
Johnny Estrada#,27,16,39,36,2,11,0,0,0,2,0,0,0,3,.306,.359,.306,.665,11,1,3,0,0,0,1
Mike Hessman,25,19,26,21,2,6,2,0,2,3,0,0,5,6,.286,.423,.667,1.090,14,2,0,0,0,1,1
Ryan Langerhans*,23,16,15,15,2,4,0,0,0,0,0,0,0,6,.267,.267,.267,.533,4,1,0,0,0,0,1
Jesse Garcia,29,13,10,10,6,4,0,1,0,2,0,1,0,1,.400,.400,.600,1.000,6,0,0,0,0,0,1
