Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Tommy Arko,20,14,50,43,7,11,3,1,4,7,0,0,6,19,.256,.360,.651,1.011,28,0,1,0,0,0,0
Quincy Ascencion,20,9,32,30,2,3,2,0,0,3,0,0,1,6,.100,.125,.167,.292,5,0,0,0,1,0,0
Bryan Bass#,21,70,286,254,26,49,11,1,2,14,11,11,24,75,.193,.273,.268,.541,68,3,4,4,0,4,0
Alan Beck,22,18,53,48,3,4,1,0,1,3,1,1,3,12,.083,.135,.167,.301,8,2,0,1,1,0,0
Brian Bock,21,43,141,126,15,28,2,0,0,9,4,2,9,19,.222,.283,.238,.521,30,4,2,3,1,0,0
Chad Boudon,22,34,99,87,11,17,5,1,2,10,1,2,5,21,.195,.240,.345,.584,30,3,1,3,3,0,0
Napoleon Calzado,26,4,18,16,5,3,0,0,0,0,3,0,2,0,.188,.278,.188,.465,3,0,0,0,0,0,1
Josh Cenate*,22,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0
Morgan Clendenin*,21,17,52,45,6,12,6,2,1,8,2,2,6,20,.267,.346,.556,.902,25,1,0,0,1,0,0
Eddie Colbert#,21,10,20,18,1,5,1,0,0,0,1,0,1,7,.278,.316,.333,.649,6,0,0,1,0,0,0
Manny Del Rosario#,21,60,196,175,21,42,3,0,0,7,18,5,15,17,.240,.300,.257,.557,45,0,0,6,0,0,0
Jake Duncan*,21,43,133,118,13,19,3,2,1,7,3,2,8,29,.161,.220,.246,.466,29,1,1,6,0,0,0
Patrick Gonzalez,23,9,25,22,0,2,0,0,0,0,1,0,2,4,.091,.200,.091,.291,2,1,1,0,0,0,0
Eric Grimm#,22,56,198,165,22,45,11,0,1,18,2,2,32,40,.273,.394,.358,.752,59,1,1,0,0,3,0
Jerry Hairston,27,2,6,3,2,1,0,0,0,0,1,0,3,0,.333,.667,.333,1.000,1,0,0,0,0,0,1
Josh Hoffpauir*,25,3,13,12,2,4,1,0,0,1,1,0,1,1,.333,.385,.417,.801,5,0,0,0,0,0,0
Ryan Hubele,22,3,14,13,1,5,2,0,0,2,0,0,0,2,.385,.385,.538,.923,7,0,0,1,0,0,0
Luis Jimenez*,21,53,197,168,17,41,9,0,1,21,7,4,26,40,.244,.349,.315,.664,53,2,1,2,0,0,1
Tom Joyce*,21,38,123,99,12,22,2,2,2,10,5,2,22,29,.222,.361,.343,.704,34,1,0,1,1,2,0
Val Majewski*,22,4,17,16,2,6,2,2,0,3,1,0,1,2,.375,.412,.750,1.162,12,0,0,0,0,0,1
Nick Markakis*,19,59,240,205,22,58,14,3,1,28,13,5,30,33,.283,.372,.395,.768,81,6,1,1,3,1,1
Josh McCurdy,23,29,90,87,17,24,2,2,0,11,7,3,2,12,.276,.292,.345,.637,30,2,0,1,0,0,0
Izzy Molina,32,19,72,59,6,12,3,1,2,4,2,1,12,10,.203,.347,.390,.737,23,1,1,0,0,2,1
Kelly Ramos#,26,6,25,24,4,5,1,0,2,6,1,0,1,5,.208,.240,.500,.740,12,0,0,0,0,0,0
Jarod Rine*,21,67,256,230,36,58,8,5,2,14,20,7,15,44,.252,.313,.357,.670,82,3,6,4,1,2,0
Whit Robinson-Pierce,21,10,38,30,3,7,1,1,0,4,0,0,4,8,.233,.342,.333,.675,10,0,2,0,2,0,0
Eddie Rogers,24,3,15,14,2,5,2,0,1,6,0,0,0,2,.357,.333,.714,1.048,10,0,0,0,1,0,1
Mike Russell,21,58,212,185,19,30,7,2,4,22,1,1,19,49,.162,.252,.286,.539,53,0,4,2,2,0,0
Eric Sultemeier,21,4,19,16,3,1,0,0,0,1,0,0,0,3,.063,.167,.063,.229,1,0,2,1,0,0,0
Landon Wareham,21,1,3,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0
Eli Whiteside,23,2,10,10,0,7,3,0,0,4,1,0,0,1,.700,.700,1.000,1.700,10,0,0,0,0,0,1
Dennis Wyrick,22,57,179,154,14,36,6,2,0,15,6,2,17,26,.234,.324,.299,.623,46,2,4,3,1,0,0
