Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Sandy Almonte#,20,68,296,270,28,57,10,9,3,20,9,5,18,72,.211,.268,.348,.616,94,5,3,5,0,0,0
Scottie Anderson,22,13,48,35,4,5,0,0,0,2,0,3,13,10,.143,.375,.143,.518,5,1,0,0,0,0,0
Randy Blood*,22,68,298,265,28,68,12,2,3,35,2,2,23,69,.257,.319,.351,.670,93,0,3,3,4,1,0
Matt Brinson*,22,37,158,144,15,26,5,0,3,18,0,0,13,43,.181,.247,.278,.525,40,2,0,0,1,1,0
Andrew Bushey*,23,39,165,147,18,33,4,0,0,9,2,1,16,16,.224,.305,.252,.557,37,6,1,1,0,2,0
Christian Colonel,21,56,237,208,21,51,8,1,1,21,9,3,19,31,.245,.331,.308,.638,64,3,8,1,1,0,0
Jordan Czarniecki,22,51,209,184,19,45,9,0,1,16,4,4,14,38,.245,.304,.310,.614,57,3,3,5,3,0,0
Ryan Fox,22,58,225,194,26,34,8,1,8,26,1,1,22,82,.175,.281,.351,.632,68,1,7,1,1,0,0
Joe Gaetti,21,34,134,116,15,32,7,2,4,9,1,2,14,38,.276,.348,.474,.823,55,3,0,2,2,0,0
Trey George,20,60,243,219,23,50,16,0,4,23,3,0,20,50,.228,.298,.356,.654,78,2,2,1,1,1,0
Rick Guarno,20,37,155,137,16,32,8,2,1,9,3,0,11,29,.234,.293,.343,.636,47,2,1,5,1,0,0
Guy Lynam,22,3,11,10,3,4,0,0,0,0,1,0,1,2,.400,.455,.400,.855,4,0,0,0,0,0,0
Mitsuru Sakamoto*,22,16,68,56,7,11,2,0,0,5,0,0,7,11,.196,.286,.232,.518,13,0,0,5,0,0,0
Duke Sardinha,22,26,112,98,11,23,7,0,4,16,2,2,12,23,.235,.324,.429,.753,42,1,1,1,0,1,0
Brett Spivey*,22,14,56,47,7,13,3,2,1,12,0,1,7,12,.277,.370,.489,.860,23,1,0,2,0,0,0
Dan Street,22,33,141,123,12,40,10,1,0,16,0,1,12,22,.325,.387,.423,.810,52,3,1,4,1,0,0
Jonathan Swearingen,22,20,76,70,9,13,3,0,0,2,0,0,3,13,.186,.250,.229,.479,16,2,3,0,0,0,0
James Sweeney,20,59,236,203,27,38,8,0,3,15,5,1,26,70,.187,.298,.271,.569,55,6,6,1,0,0,0
