Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Josh Bridges,23,3,8,7,0,1,0,0,0,1,0,0,0,1,.143,.143,.143,.286,1,0,0,1,0,0,0,2003,Short-Season A,STL
Kevin Estrada#,22,64,266,236,42,69,9,2,1,24,21,6,25,33,.292,.358,.360,.719,85,5,1,1,3,0,0,2003,Short-Season A,STL
Melvin Falu#,22,57,236,213,25,53,9,5,5,28,6,0,12,22,.249,.295,.408,.703,87,3,4,2,5,0,0,2003,Short-Season A,STL
Sal Frisella,22,7,24,22,3,3,0,1,0,0,1,0,1,8,.136,.208,.227,.436,5,1,1,0,0,0,0,2003,Short-Season A,STL
Andy Ginther,22,15,37,34,4,8,4,0,0,3,0,0,2,10,.235,.278,.353,.631,12,1,0,1,0,0,0,2003,Short-Season A,STL
Casey Grimm*,22,68,266,224,29,64,9,4,1,33,1,1,25,36,.286,.385,.375,.760,84,5,13,1,3,3,0,2003,Short-Season A,STL
Joe Mather,20,65,223,196,23,45,12,1,2,22,4,4,18,38,.230,.314,.332,.645,65,4,6,3,0,0,1,2003,Short-Season A,STL
Daylon Monette#,21,52,196,176,19,41,9,1,1,32,4,2,16,49,.233,.296,.313,.608,55,6,1,0,3,0,0,2003,Short-Season A,STL
Kainoa Obrey,22,41,139,120,4,26,3,0,0,11,1,1,15,39,.217,.309,.242,.551,29,1,2,0,2,0,0,2003,Short-Season A,STL
Matt Pagnozzi,20,59,185,152,13,27,4,1,1,19,3,2,23,42,.178,.302,.237,.539,36,1,5,3,2,0,1,2003,Short-Season A,STL
Omar Pena,21,63,229,212,21,50,12,1,0,13,6,0,13,55,.236,.288,.302,.590,64,2,3,0,1,0,0,2003,Short-Season A,STL
Brendan Ryan,21,53,213,193,20,60,14,4,0,13,11,3,14,25,.311,.363,.425,.788,82,4,3,1,2,1,1,2003,Short-Season A,STL
Billy Schmitt,20,42,141,131,15,25,5,2,1,10,1,0,6,31,.191,.230,.282,.513,37,2,1,2,1,0,0,2003,Short-Season A,STL
Zach Smithlin#,22,44,78,67,5,11,0,0,0,2,3,2,9,17,.164,.263,.164,.427,11,2,0,2,0,0,0,2003,Short-Season A,STL
Tee Thomas,22,6,23,20,4,4,1,0,0,0,2,1,0,7,.200,.304,.250,.554,5,1,3,0,0,0,0,2003,Short-Season A,STL
Jeff Tolotti*,23,4,15,13,0,0,0,0,0,1,0,0,2,6,.000,.133,.000,.133,0,1,0,0,0,0,0,2003,Short-Season A,STL
Chris Tuttle*,22,47,179,153,25,34,3,1,0,6,4,5,21,26,.222,.320,.255,.575,39,3,2,1,2,0,0,2003,Short-Season A,STL
Luis Urueta#,22,4,15,15,0,2,0,0,0,1,2,0,0,6,.133,.133,.133,.267,2,1,0,0,0,0,0,2003,Short-Season A,STL
Jose Virgil#,22,66,277,242,30,56,12,6,3,36,11,1,25,47,.231,.314,.368,.682,89,4,6,0,4,0,0,2003,Short-Season A,STL
