Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Jimmy Alvarez#,26,19,61,53,7,8,2,0,0,5,2,2,8,16,.151,.262,.189,.451,10,1,0,0,0,0,0,2004,AA,BOS
Jeff Bailey,25,91,359,299,57,88,23,3,13,58,2,0,46,80,.294,.404,.522,.926,156,7,11,0,3,0,1,2004,AA,BOS
Stefan Bailie,24,37,154,139,23,43,15,0,8,28,0,0,10,34,.309,.364,.590,.954,82,1,3,0,2,0,0,2004,AA,BOS
Mike Campo*,27,54,208,172,32,40,12,1,6,20,6,2,25,39,.233,.353,.419,.771,72,3,8,1,2,0,0,2004,AA,BOS
Clint Chauncey,23,29,108,98,11,19,6,0,1,8,0,0,7,36,.194,.259,.286,.545,28,1,2,0,1,0,0,2004,AA,BOS
Alberto Concepcion,23,4,14,14,0,3,1,0,0,1,0,1,0,2,.214,.214,.286,.500,4,0,0,0,0,0,0,2004,AA,BOS
Sheldon Fulse#,22,102,412,355,58,87,15,7,9,39,29,11,50,104,.245,.339,.403,.742,143,7,1,5,1,0,0,2004,AA,BOS
John Hattig#,24,75,319,264,53,78,21,1,12,35,3,3,47,68,.295,.411,.519,.930,137,8,6,0,2,3,1,2004,AA,BOS
Justin Headley*,28,17,71,60,9,14,3,1,0,2,0,0,10,10,.233,.352,.317,.669,19,0,1,0,0,0,0,2004,AA,BOS
Eric Johnson,26,44,154,136,12,34,10,2,3,20,4,3,14,40,.250,.327,.419,.746,57,6,2,1,1,0,0,2004,AA,BOS
Dustin Kelly,21,4,15,15,1,4,1,0,0,3,0,0,0,4,.267,.267,.333,.600,5,0,0,0,0,0,0,2004,AA,BOS
Joe Kilburg*,28,95,352,303,37,79,17,2,3,38,8,4,38,71,.261,.351,.360,.710,109,2,4,7,0,1,0,2004,AA,BOS
Mike Lockwood*,27,74,341,296,46,83,21,2,9,39,2,4,34,46,.280,.360,.456,.816,135,4,4,5,2,0,0,2004,AA,BOS
George Lombard*,28,16,72,63,11,24,3,3,2,11,7,0,7,8,.381,.444,.619,1.063,39,0,1,0,1,0,1,2004,AA,BOS
Mike Lopez-Cao*,28,21,71,55,9,14,3,0,3,11,0,0,13,16,.255,.380,.473,.853,26,2,0,0,3,0,0,2004,AA,BOS
Edgar Martinez,22,53,154,141,9,23,3,0,1,10,0,0,3,20,.163,.207,.206,.412,29,3,5,4,1,0,0,2004,AA,BOS
Sean McGowan,27,69,298,275,31,72,13,0,3,32,0,2,20,46,.262,.312,.342,.654,94,8,1,0,2,0,0,2004,AA,BOS
Jesus Medrano,25,57,245,227,27,57,11,4,3,19,12,6,12,48,.251,.292,.374,.667,85,3,2,2,2,0,0,2004,AA,BOS
John Nathans,25,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,2004,AA,BOS
Raul Nieves#,25,99,357,311,37,69,9,1,4,19,5,4,28,54,.222,.291,.296,.587,92,11,3,13,2,0,0,2004,AA,BOS
Mike O'Keefe*,26,133,541,472,50,117,21,4,19,68,2,4,63,99,.248,.340,.430,.770,203,8,4,0,2,0,0,2004,AA,BOS
Kenny Perez#,22,109,437,400,47,112,31,5,5,61,12,4,23,59,.280,.323,.420,.743,168,9,4,6,4,2,0,2004,AA,BOS
Hanley Ramirez,20,32,139,129,26,40,7,2,5,15,12,3,10,26,.310,.360,.512,.871,66,0,0,0,0,0,1,2004,AA,BOS
Brett Roneberg*,25,124,542,474,67,132,30,3,17,77,9,3,59,74,.278,.360,.462,.822,219,21,4,1,4,5,0,2004,AA,BOS
Gary Schneidmiller,24,8,37,30,4,7,2,0,0,6,1,0,4,10,.233,.306,.300,.606,9,1,0,1,2,0,0,2004,AA,BOS
