Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Rick Ankiel*,24,2,4,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,1
Josh Axelson,25,34,33,26,3,5,1,0,0,5,0,0,3,7,.192,.276,.231,.507,6,1,0,4,0,0,0
Greg Bauer,26,10,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0
Buddy Blair*,22,3,3,3,0,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,1,0,0,0,0,0,0
Papo Bolivar,25,126,510,451,71,133,25,2,15,60,51,17,55,86,.295,.373,.459,.832,207,5,2,0,2,3,0
Shaun Boyd,22,54,172,158,16,30,5,1,0,12,9,5,13,40,.190,.256,.234,.490,37,5,1,0,0,1,0
Carmen Cali*,25,38,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,1
Wilson Ciprian,21,15,1,1,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0
Javier Colina,25,85,335,313,52,83,14,4,9,48,5,3,17,49,.265,.302,.422,.724,132,5,1,1,3,1,0
Jeremy Cook,26,29,40,36,1,3,0,0,0,0,0,0,0,17,.083,.108,.083,.191,3,0,1,3,0,0,0
Brad Cresse,25,49,188,164,25,48,12,0,9,27,0,0,20,41,.293,.372,.530,.903,87,0,2,0,2,2,0
Jeremy Cummings,27,17,30,26,0,5,1,0,0,2,0,0,1,12,.192,.222,.231,.453,6,0,0,3,0,0,0
Chris Duncan*,23,120,455,387,57,112,23,0,16,65,8,4,64,94,.289,.393,.473,.866,183,6,3,0,1,8,1
Chad Ehrnsberger,26,47,151,129,14,28,7,1,6,17,0,1,18,29,.217,.320,.426,.746,55,0,2,1,1,1,0
Chris Eickhorst,24,15,50,42,7,11,3,0,1,8,0,0,8,15,.262,.380,.405,.785,17,0,0,0,0,3,0
Corey Erickson,27,100,335,293,38,53,17,1,13,45,4,0,31,82,.181,.266,.379,.645,111,3,5,1,5,3,0
Nate Espy,26,114,325,277,45,76,15,4,11,38,5,2,39,50,.274,.375,.477,.852,132,3,7,0,2,1,0
Kevin Estrada#,23,2,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0
Reid Gorecki,23,7,27,25,1,8,3,0,0,1,1,0,2,3,.320,.370,.440,.810,11,0,0,0,0,0,1
Jon Hamilton*,26,114,349,316,37,76,15,1,6,32,16,5,28,73,.241,.301,.351,.652,111,3,0,3,2,2,0
Dee Haynes,26,31,116,103,8,25,2,0,3,14,0,0,8,18,.243,.328,.350,.677,36,1,5,0,0,0,0
Milko Jaramillo#,24,69,209,184,22,41,3,0,5,29,1,1,20,37,.223,.298,.321,.618,59,1,0,4,1,1,0
Gabe Johnson,24,127,507,450,64,120,27,0,18,66,7,1,43,118,.267,.334,.447,.781,201,6,6,1,7,1,0
Tyler Johnson#,23,53,1,0,0,0,0,0,0,0,0,0,1,0,,1.000,,,0,0,0,0,0,0,1
Josh Kinney,25,50,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,1
Randy Leek*,27,17,26,21,2,5,1,0,0,0,1,0,2,6,.238,.304,.286,.590,6,0,0,3,0,0,0
Luis Martinez*,24,16,28,24,0,1,0,0,0,1,0,0,4,17,.042,.179,.042,.220,1,0,0,0,0,0,1
Mike McCoy,23,3,6,6,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,0,0,0,1
Todd Moser*,27,11,17,15,2,4,0,0,0,3,0,0,1,5,.267,.313,.267,.579,4,0,0,1,0,0,0
Dan Moylan*,25,104,371,316,39,91,16,0,2,38,1,1,48,54,.288,.389,.358,.747,113,2,5,1,1,3,0
Chris Narveson*,22,24,47,42,6,8,2,0,0,1,0,0,5,18,.190,.277,.238,.515,10,0,0,0,0,0,1
John Nelson,25,63,242,206,41,62,16,3,8,29,6,2,31,56,.301,.396,.524,.920,108,0,2,2,1,0,1
Matt Parker,25,25,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0
Anthony Reyes,22,12,23,19,2,4,0,0,2,5,0,0,1,9,.211,.286,.526,.812,10,0,1,2,0,0,1
Evan Rust,26,22,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0
Skip Schumaker*,24,138,583,516,78,163,29,6,4,43,19,14,60,61,.316,.389,.419,.807,216,7,2,4,1,3,1
Nick Stocks,25,31,4,4,1,1,0,0,1,2,0,0,0,1,.250,.250,1.000,1.250,4,0,0,0,0,0,0
Brad Thompson,22,13,24,19,1,3,0,0,0,2,0,0,2,6,.158,.238,.158,.396,3,0,0,3,0,0,1
Mike Wodnicki,24,12,5,5,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,0,0,0,0
