Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Oscar Angulo,20,26,88,83,10,23,2,1,1,11,6,4,2,13,.277,.307,.361,.668,30,1,2,0,1,0,0
Francis Arias,20,14,29,23,7,4,1,0,0,1,2,0,4,8,.174,.345,.217,.562,5,0,2,0,0,0,0
Angel Ayala*,17,31,116,106,10,27,9,0,0,13,2,3,9,31,.255,.310,.340,.650,36,2,0,0,1,1,0
Jhonathan Blanc,19,37,121,114,8,30,3,0,4,14,5,5,5,35,.263,.300,.395,.695,45,1,1,1,0,0,0
Stephen Chapman*,18,49,210,192,33,44,7,7,4,18,4,3,17,50,.229,.290,.401,.692,77,1,0,0,1,0,0
Nestor Corredor,20,28,79,76,3,21,7,1,1,7,0,1,3,11,.276,.304,.434,.738,33,2,0,0,0,1,0
Fredy De La Cruz,18,48,197,178,22,48,15,3,0,23,4,2,13,44,.270,.325,.388,.713,69,5,3,0,3,0,0
Anderson De La Rosa,19,24,63,61,5,12,3,1,0,3,3,1,2,21,.197,.222,.279,.501,17,0,0,0,0,0,0
Carlos Gallardo*,21,41,154,134,18,39,7,1,0,14,1,1,12,19,.291,.377,.358,.735,48,6,7,0,1,1,0
Hernan Iribarren*,20,46,211,189,40,83,6,9,4,36,15,7,19,23,.439,.490,.630,1.120,119,2,0,3,0,2,1
Dave Krynzel*,22,5,20,16,8,8,1,1,0,0,2,0,3,2,.500,.600,.688,1.288,11,0,1,0,0,0,1
Lenny Leclercq,18,45,186,162,24,41,6,1,1,8,9,4,19,61,.253,.341,.321,.662,52,2,3,1,1,0,0
Johnny Lopez,19,4,12,9,0,3,1,0,0,1,0,0,0,3,.333,.333,.444,.778,4,0,0,3,0,0,0
Bryan Opdyke*,19,40,147,114,16,20,3,1,0,9,5,5,25,39,.175,.345,.219,.564,25,0,5,2,1,1,0
Freddy Parejo,19,55,241,222,31,61,15,3,3,40,12,7,12,25,.275,.320,.410,.729,91,8,4,0,3,0,0
Joel Rivera,18,27,87,68,12,12,1,2,0,4,2,2,15,26,.176,.337,.250,.587,17,2,2,1,1,0,0
Angel Salome,18,20,85,81,7,19,7,0,0,8,2,0,4,14,.235,.271,.321,.592,26,6,0,0,0,1,1
Franklin Tua,19,15,27,26,2,5,0,0,0,3,1,0,1,8,.192,.222,.192,.415,5,1,0,0,0,0,0
Osvaldo Vicioso#,17,30,106,95,14,18,4,2,0,6,4,3,10,35,.189,.267,.274,.540,26,1,0,1,0,0,0
