Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Yosvany Almario-Cabrera,24,41,150,133,23,46,9,4,2,17,7,2,16,24,.346,.413,.519,.932,69,3,0,0,1,0,0
Anderson Amador,19,46,173,161,26,34,5,1,6,17,2,2,8,60,.211,.254,.366,.621,59,3,2,0,2,0,0
Tim Battle,18,12,56,50,11,16,3,3,1,4,5,2,4,15,.320,.364,.560,.924,28,0,0,1,1,0,0
Justin Christian,24,3,11,7,1,4,3,0,0,4,0,0,4,0,.571,.727,1.000,1.727,7,0,0,0,0,0,1
Reegie Corona#,17,36,99,92,12,24,5,0,0,4,8,2,5,13,.261,.299,.315,.614,29,1,0,2,0,0,0
Raul Dominguez*,22,45,130,113,15,31,2,0,1,12,1,0,14,20,.274,.362,.319,.680,36,5,2,0,1,0,0
Yovar Dueñas,32,4,12,11,2,2,0,0,0,1,0,0,1,0,.182,.250,.182,.432,2,0,0,0,0,0,0
Hector Gonzalez#,19,34,106,93,15,27,4,0,0,12,2,2,11,18,.290,.377,.333,.711,31,2,2,0,0,0,0
Nate Griffin,22,31,78,73,7,18,3,0,0,9,0,0,3,15,.247,.295,.288,.583,21,4,2,0,0,0,0
Rudy Guillen,20,4,14,14,1,6,0,0,0,1,0,0,0,0,.429,.429,.429,.857,6,1,0,0,0,0,0
Jason Guy*,22,1,4,2,0,0,0,0,0,0,0,0,0,1,.000,.500,.000,.500,0,0,2,0,0,0,0
Ryan Haag*,22,9,26,20,3,5,1,0,0,1,2,0,5,6,.250,.423,.300,.723,6,1,1,0,0,0,0
Estee Harris*,19,4,15,15,1,1,0,0,1,2,0,0,0,6,.067,.067,.267,.333,4,1,0,0,0,0,0
Mario Holmann#,20,20,81,66,12,17,1,1,1,7,10,4,13,17,.258,.370,.348,.719,23,0,0,0,2,1,0
Carlos Levy#,20,20,50,48,4,11,0,0,2,8,2,0,1,25,.229,.260,.354,.614,17,0,1,0,0,0,0
Deivi Mendez,21,8,32,31,3,5,2,0,0,3,0,1,1,4,.161,.188,.226,.413,7,2,0,0,0,0,0
Jose Perez*,18,36,119,99,8,20,2,0,0,12,12,3,16,28,.202,.316,.222,.538,22,3,1,2,1,0,0
Nathan Phillips#,18,47,175,157,15,38,5,0,0,14,1,6,15,47,.242,.320,.274,.594,43,3,3,0,0,0,0
William Plaza,21,20,50,41,3,14,2,0,0,6,0,1,8,6,.341,.460,.390,.850,16,0,1,0,0,0,0
Jon Poterson#,18,56,225,198,24,40,7,1,7,30,1,0,22,60,.202,.280,.354,.634,70,2,1,0,4,2,0
Irwil Rojas*,19,30,100,91,7,23,4,1,0,13,1,0,4,7,.253,.303,.319,.622,29,3,3,1,1,0,0
Luis Romero#,20,36,120,101,14,19,1,0,1,8,0,0,12,21,.188,.308,.228,.536,23,2,6,0,1,0,0
Evan Tierce*,21,40,162,147,26,53,11,1,1,14,13,4,14,16,.361,.420,.469,.889,69,2,1,0,0,0,0
Marcos Vechionacci#,17,36,143,131,24,44,9,1,4,22,5,3,12,19,.336,.392,.511,.903,67,2,0,0,0,0,0
Nick Walsh*,24,1,4,3,0,0,0,0,0,0,0,0,1,0,.000,.250,.000,.250,0,0,0,0,0,0,0
