Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Quincy Ascencion,21,72,299,269,37,68,12,4,2,31,12,7,19,27,.253,.307,.349,.657,94,1,4,3,4,0,0,2004,Short-Season A,BAL
Brian Bock,22,12,29,28,3,11,5,0,0,7,0,0,0,4,.393,.379,.571,.951,16,0,0,0,1,0,0,2004,Short-Season A,BAL
Chad Boudon,23,2,5,4,0,1,0,0,0,1,0,0,0,1,.250,.400,.250,.650,1,0,1,0,0,0,0,2004,Short-Season A,BAL
Evan Brannon,22,29,56,51,3,9,2,0,0,2,0,0,4,9,.176,.236,.216,.452,11,0,0,1,0,0,0,2004,Short-Season A,BAL
Ronald Braun,22,12,19,18,1,4,2,0,0,2,0,0,1,6,.222,.263,.333,.596,6,0,0,0,0,0,0,2004,Short-Season A,BAL
Lance Burkhart,29,2,7,6,2,4,1,1,1,2,0,0,1,0,.667,.714,1.667,2.381,10,0,0,0,0,0,0,2004,Short-Season A,BAL
Morgan Clendenin*,22,46,136,131,11,25,6,1,5,22,1,1,1,35,.191,.207,.366,.574,48,0,2,1,1,0,0,2004,Short-Season A,BAL
Mike Costello,23,46,143,125,14,27,7,2,1,10,3,1,15,47,.216,.310,.328,.638,41,0,2,1,0,0,0,2004,Short-Season A,BAL
Rafael Diaz,23,46,163,157,11,38,6,0,0,11,2,5,5,25,.242,.265,.280,.546,44,0,0,1,0,0,0,2004,Short-Season A,BAL
Jake Duncan*,22,31,85,70,9,19,5,2,3,15,0,1,12,13,.271,.373,.529,.902,37,1,0,2,1,2,0,2004,Short-Season A,BAL
Jeff Fiorentino*,21,14,57,46,9,16,7,1,2,12,3,1,9,4,.348,.474,.674,1.148,31,0,2,0,0,3,1,2004,Short-Season A,BAL
Francisco Guerrero,21,1,2,1,0,0,0,0,0,0,0,0,0,0,.000,.500,.000,.500,0,0,1,0,0,0,0,2004,Short-Season A,BAL
Blake Hanan#,21,66,189,169,23,42,11,1,0,10,7,6,13,31,.249,.314,.325,.639,55,0,3,4,0,0,0,2004,Short-Season A,BAL
Gene Kingsale#,27,3,10,10,1,4,0,1,0,0,2,0,0,3,.400,.400,.600,1.000,6,0,0,0,0,0,1,2004,Short-Season A,BAL
James Lofton#,30,4,17,13,1,4,0,0,0,2,0,0,3,2,.308,.471,.308,.778,4,0,1,0,0,0,1,2004,Short-Season A,BAL
Rob Marconi,21,35,133,114,21,37,9,2,2,14,8,1,17,34,.325,.406,.491,.897,56,1,0,0,2,0,0,2004,Short-Season A,BAL
Octavio Martinez,24,9,26,23,2,8,2,0,0,2,0,1,2,2,.348,.423,.435,.858,10,0,1,0,0,0,0,2004,Short-Season A,BAL
Carlos Mendez,30,16,56,55,6,16,3,1,1,2,1,0,1,7,.291,.304,.436,.740,24,1,0,0,0,0,1,2004,Short-Season A,BAL
Andrew Moffitt,22,20,78,64,11,14,4,1,2,11,0,0,11,16,.219,.325,.406,.731,26,2,0,1,2,0,0,2004,Short-Season A,BAL
Elvis Morel,23,11,52,48,7,11,1,0,0,6,6,1,3,5,.229,.288,.250,.538,12,0,1,0,0,0,0,2004,Short-Season A,BAL
Arturo Rivas,20,55,200,184,18,48,8,0,3,22,4,4,15,51,.261,.315,.353,.668,65,3,0,0,1,2,0,2004,Short-Season A,BAL
Levi Robinson,24,68,297,253,42,65,11,1,0,16,18,4,23,49,.257,.340,.308,.649,78,3,10,9,2,0,0,2004,Short-Season A,BAL
Whit Robinson-Pierce,22,7,25,23,2,4,0,0,0,0,0,1,1,8,.174,.240,.174,.414,4,0,1,0,0,0,0,2004,Short-Season A,BAL
Corey Shafer*,21,44,154,149,11,29,4,0,2,15,0,0,5,33,.195,.221,.262,.483,39,1,0,0,0,1,0,2004,Short-Season A,BAL
C.J. Smith,22,56,213,188,23,43,14,2,1,16,3,0,20,45,.229,.300,.340,.641,64,1,1,0,4,1,0,2004,Short-Season A,BAL
Chris Smith*,24,9,23,19,5,7,0,1,2,3,0,0,4,5,.368,.478,.789,1.268,15,0,0,0,0,1,0,2004,Short-Season A,BAL
Eric Sultemeier,22,64,263,234,29,53,7,4,1,21,8,4,20,48,.226,.293,.303,.597,71,3,3,4,2,0,0,2004,Short-Season A,BAL
Cody Wargo,22,33,93,78,5,14,4,0,0,4,2,0,12,27,.179,.286,.231,.516,18,1,0,2,1,0,0,2004,Short-Season A,BAL
