Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Rafael Arroyo,22,28,113,91,15,20,3,0,5,11,0,2,14,25,.220,.360,.418,.778,38,2,6,2,0,0,0,2005,A,NYM
Matt Bacon*,24,15,35,30,4,6,2,0,0,5,0,0,3,8,.200,.286,.267,.552,8,1,1,0,1,0,0,2005,A,NYM
Wilson Batista#,24,68,298,265,41,63,11,3,7,28,13,14,24,46,.238,.301,.381,.683,101,5,1,6,2,0,0,2005,A,NYM
Dante Brinkley,23,61,265,214,48,78,17,4,10,41,20,13,38,57,.364,.477,.621,1.099,133,2,10,1,2,0,0,2005,A,NYM
Kyle Brown,23,27,110,91,17,20,3,1,2,16,6,2,8,29,.220,.299,.341,.640,31,0,4,3,4,0,0,2005,A,NYM
James Burt,24,63,230,192,35,49,13,1,4,16,4,5,26,47,.255,.361,.396,.757,76,7,7,3,2,0,0,2005,A,NYM
Mike Carp*,19,89,375,313,49,78,12,1,19,63,2,2,35,96,.249,.358,.476,.834,149,2,21,1,5,3,1,2005,A,NYM
Corey Coles*,23,68,281,264,27,81,16,0,4,33,11,5,12,40,.307,.342,.413,.755,109,4,2,3,0,0,0,2005,A,NYM
Ambiorix Concepcion,23,130,563,521,68,131,29,5,15,61,35,15,22,136,.251,.289,.413,.702,215,9,9,3,8,0,0,2005,A,NYM
Jose Coronado#,19,18,81,71,4,16,2,1,0,4,1,4,7,17,.225,.295,.282,.577,20,1,0,3,0,0,0,2005,A,NYM
Ryan Coultas,23,89,335,304,43,88,22,4,6,36,11,6,20,57,.289,.338,.447,.786,136,4,4,4,3,0,0,2005,A,NYM
Tyler Davidson,24,23,84,78,12,16,4,0,2,13,1,0,5,27,.205,.262,.333,.595,26,1,1,0,0,0,0,2005,A,NYM
Matt Fisher,23,45,165,141,24,35,6,2,2,14,2,3,17,26,.248,.325,.362,.687,51,3,0,5,2,0,0,2005,A,NYM
Jesus Flores,20,82,337,319,34,69,18,0,7,42,2,2,12,90,.216,.250,.339,.589,108,6,3,1,2,0,1,2005,A,NYM
Armand Gaerlan,22,50,201,170,28,44,7,2,1,14,13,3,21,39,.259,.347,.341,.688,58,4,3,5,2,0,0,2005,A,NYM
Jesus Gamero,21,16,61,55,8,9,2,0,0,2,0,1,4,9,.164,.246,.200,.446,11,2,2,0,0,0,0,2005,A,NYM
Carlos Gomez,19,120,539,487,75,134,13,6,8,48,64,24,32,88,.275,.331,.376,.707,183,6,9,10,1,0,1,2005,A,NYM
Aaron Hathaway,22,39,150,139,18,36,8,0,1,13,0,2,8,32,.259,.302,.338,.640,47,4,1,1,1,0,0,2005,A,NYM
Joseph Mihalics,22,17,55,45,3,12,3,0,0,8,0,1,4,5,.267,.333,.333,.667,15,0,1,4,1,0,0,2005,A,NYM
Tony Piazza,25,5,21,20,1,3,1,0,0,1,1,0,1,9,.150,.190,.200,.390,4,0,0,0,0,0,0,2005,A,NYM
Grant Psomas,22,99,421,350,66,105,27,2,19,54,6,4,62,79,.300,.403,.551,.955,193,8,2,2,5,5,0,2005,A,NYM
Yury Santana,22,8,23,22,4,4,1,0,0,0,0,0,1,10,.182,.217,.227,.445,5,0,0,0,0,0,0,2005,A,NYM
Russ Triplett,24,43,165,136,20,36,9,2,3,18,2,4,18,26,.265,.366,.426,.793,58,5,5,4,2,0,0,2005,A,NYM
Derran Watts,25,65,251,221,31,63,17,1,4,40,6,5,24,55,.285,.364,.425,.789,94,4,4,1,1,0,0,2005,A,NYM
Joshua Wyrick*,23,23,91,81,17,24,6,0,1,7,3,2,6,16,.296,.348,.407,.756,33,1,1,2,1,0,0,2005,A,NYM
