Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Luis Apodaca,22,7,28,28,4,6,1,0,0,1,0,0,0,6,.214,.214,.250,.464,7,1,0,0,0,0,0,2005,A,WSN
Edgardo Baez,19,125,509,447,62,110,21,6,11,64,11,4,55,128,.246,.329,.394,.722,176,13,2,1,4,1,0,2005,A,WSN
Roger Bernadina*,21,122,505,417,64,97,15,3,12,54,35,8,75,92,.233,.356,.369,.725,154,9,7,2,4,0,1,2005,A,WSN
Seth Bynum,24,50,218,186,32,56,13,3,5,29,6,1,29,40,.301,.394,.484,.878,90,3,1,0,2,0,0,2005,A,WSN
Ofilio Castro,21,113,456,403,43,105,24,1,5,43,6,3,47,91,.261,.337,.362,.699,146,6,1,2,3,0,0,2005,A,WSN
Jose Contreras#,20,13,46,39,5,7,1,0,0,1,3,0,6,14,.179,.283,.205,.488,8,0,0,0,1,0,0,2005,A,WSN
Ian Desmond,19,73,320,296,37,73,10,2,4,23,20,6,13,60,.247,.291,.334,.626,99,5,6,4,1,0,1,2005,A,WSN
Brad Ditter*,24,96,382,335,38,87,14,3,1,28,11,4,33,53,.260,.332,.328,.661,110,12,7,0,7,1,0,2005,A,WSN
Reggie Fitzpatrick*,22,90,335,307,40,77,13,0,6,35,23,9,18,66,.251,.308,.352,.660,108,4,8,1,1,0,0,2005,A,WSN
Agustin German,19,1,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,0,2005,A,WSN
Devin Ivany,22,113,446,409,52,107,27,1,13,54,7,7,25,65,.262,.315,.428,.742,175,10,8,1,3,0,0,2005,A,WSN
Franklyn Jimenez,23,27,86,78,7,10,0,1,1,5,0,0,6,24,.128,.188,.192,.381,15,0,0,1,1,0,0,2005,A,WSN
Rich Lane*,25,10,40,36,5,14,4,1,1,8,0,1,4,5,.389,.450,.639,1.089,23,1,0,0,0,0,0,2005,A,WSN
Marvin Lowrance*,20,57,235,212,27,61,15,1,4,35,2,1,16,50,.288,.353,.425,.778,90,2,6,0,1,0,0,2005,A,WSN
Luke Montz,21,100,403,343,66,77,24,1,19,68,1,1,50,95,.224,.324,.466,.791,160,6,3,2,5,0,1,2005,A,WSN
Steve Mortimer*,24,101,388,328,47,80,19,2,10,41,7,2,46,135,.244,.348,.405,.753,133,4,9,0,5,1,0,2005,A,WSN
Eduardo Nunez,19,1,4,4,0,2,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,2,0,0,0,0,0,0,2005,A,WSN
John Poppert,23,15,43,38,2,4,1,0,0,0,0,0,3,11,.105,.209,.132,.341,5,1,2,0,0,0,0,2005,A,WSN
Robert Sandora*,23,2,4,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,2005,A,WSN
Douglas Vroman,24,70,253,209,38,53,11,2,7,34,9,4,39,64,.254,.369,.426,.795,89,6,1,1,3,0,0,2005,A,WSN
Trey Webb,23,102,422,379,59,103,22,2,9,45,22,8,36,62,.272,.338,.412,.750,156,9,3,2,2,0,0,2005,A,WSN
Ryan Zimmerman,20,4,17,17,5,8,2,1,2,6,0,1,0,3,.471,.471,1.059,1.529,18,0,0,0,0,0,1,2005,A,WSN
