Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Blake Allen,23,16,1,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,1,0,0,0
Josh Anderson*,22,127,573,524,67,148,16,9,1,26,50,19,29,80,.282,.329,.353,.682,185,5,8,10,2,2,1
Jeff Bagwell,37,3,12,9,1,2,0,0,0,1,0,0,3,3,.222,.417,.222,.639,2,1,0,0,0,0,1
Philip Barzilla*,26,41,8,8,0,0,0,0,0,1,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,1
Peter Bauer*,26,11,4,2,1,0,0,0,0,0,0,0,2,1,.000,.500,.000,.500,0,0,0,0,0,0,0
Jason Clements#,27,15,44,43,5,13,3,1,0,7,0,0,1,7,.302,.318,.419,.737,18,0,0,0,0,0,0
Brooks Conrad#,25,22,94,77,13,18,6,1,2,11,8,0,16,15,.234,.372,.416,.788,32,1,1,0,0,1,1
Alex Eckelman,30,26,92,84,6,23,3,0,1,6,0,1,4,9,.274,.326,.345,.671,29,0,3,0,1,0,0
John Fagan,25,68,202,173,18,44,4,1,3,15,4,0,22,50,.254,.361,.341,.702,59,1,7,0,0,1,0
Danny Fatheree,26,1,2,0,0,0,0,0,0,0,0,0,0,0,,1.000,,,0,0,1,1,0,0,0
Hector Gimenez#,22,121,498,454,47,124,19,1,12,58,2,3,32,88,.273,.322,.399,.720,181,8,2,7,3,2,1
Jason Hirsh,23,29,11,10,2,1,0,0,0,1,0,0,1,7,.100,.182,.100,.282,1,0,0,0,0,0,1
Kevin Hodge,28,14,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0
Charlton Jimerson,25,115,467,425,67,110,24,3,16,44,27,10,29,145,.259,.317,.442,.759,188,0,8,3,2,4,1
Brooks Kieschnick*,33,5,5,3,1,2,0,0,0,2,0,0,1,0,.667,.600,.667,1.267,2,0,0,0,1,0,1
Scott MacRae,30,16,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,1
Monte Mansfield,24,43,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0
Tim McClaskey#,29,27,8,7,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,1,0,0,0
Mark McLemore*,24,15,5,3,0,0,0,0,0,0,0,0,1,2,.000,.250,.000,.250,0,0,0,1,0,0,1
Jamie Merchant,24,24,2,2,0,1,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,1,0,0,0,0,0,0
Ray Navarrete,27,52,208,194,23,45,12,0,5,16,1,3,7,30,.232,.275,.371,.646,72,5,5,1,1,0,0
Fernando Nieve,22,14,7,7,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,0,0,0,1
Dax Norris,33,106,387,355,28,79,16,0,13,50,0,1,27,42,.223,.274,.377,.651,134,13,0,0,5,1,0
Pat Peavey,25,12,38,31,0,2,0,0,0,1,0,0,3,8,.065,.194,.065,.259,2,1,2,2,0,0,0
Jailen Peguero,24,50,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,1
J.R. Phillips*,35,43,180,156,20,46,5,0,8,20,2,2,21,42,.295,.372,.481,.853,75,2,0,0,3,3,1
Humberto Quintero,25,4,12,11,0,2,1,0,0,1,0,0,1,2,.182,.250,.273,.523,3,2,0,0,0,1,1
Eric Riggs#,28,129,524,452,40,118,27,3,7,57,5,7,52,77,.261,.337,.381,.718,172,11,4,8,8,2,0
Fernando Rijo,27,34,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0
Wade Robinson*,24,69,252,219,19,53,4,0,1,16,8,10,20,51,.242,.302,.274,.576,60,4,0,10,3,0,0
Carlos Rodriguez,28,88,329,318,30,78,12,1,9,42,3,4,8,71,.245,.267,.374,.642,119,9,2,0,1,0,0
Mike Rodriguez*,24,116,456,392,51,110,16,9,5,50,25,7,47,50,.281,.359,.406,.764,159,4,4,7,6,3,0
Wandy Rodriguez#,26,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,1
Mark Saccomanno,25,134,546,514,66,143,36,1,12,51,5,3,27,108,.278,.319,.422,.741,217,11,4,0,1,1,1
Chris Sampson,27,32,11,10,1,1,0,0,0,0,0,0,0,4,.100,.100,.100,.200,1,0,0,1,0,0,1
Tommy Whiteman,25,41,173,152,13,38,9,0,1,15,3,4,18,40,.250,.333,.329,.662,50,4,1,2,0,0,0
Gavin Wright,26,4,12,10,1,2,1,0,0,0,0,0,1,1,.200,.273,.300,.573,3,0,0,1,0,0,0
Junior Zamora,29,45,134,126,10,25,7,0,0,4,0,0,5,31,.198,.246,.254,.500,32,6,3,0,0,0,0
