Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Mike Adams,26,26,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,1,2005,AAA,MIL
Chris Barnwell,26,100,288,261,30,64,14,1,3,20,5,3,18,46,.245,.299,.341,.640,89,6,3,4,2,1,1,2005,AAA,MIL
Jeff Bennett,25,49,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,1,2005,AAA,MIL
Pat Borders,42,26,102,98,8,24,2,0,3,14,1,2,3,18,.245,.265,.357,.622,35,6,0,0,1,0,1,2005,AAA,MIL
Russell Branyan*,29,6,20,17,4,5,4,0,1,3,0,0,3,8,.294,.400,.706,1.106,12,0,0,0,0,0,1,2005,AAA,MIL
Jose Capellan,24,36,18,16,3,4,0,0,0,1,0,0,1,4,.250,.294,.250,.544,4,0,0,1,0,0,1,2005,AAA,MIL
Jeff Cirillo,35,9,33,29,2,7,1,0,0,6,0,1,0,5,.241,.250,.276,.526,8,1,1,1,2,0,1,2005,AAA,MIL
Nelson Cruz,24,60,246,208,33,56,13,0,11,27,9,4,30,62,.269,.382,.490,.872,102,4,8,0,0,2,1,2005,AAA,MIL
Kane Davis,30,45,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,1,2005,AAA,MIL
Trent Durrington,29,92,371,313,61,94,15,2,5,31,30,12,41,63,.300,.389,.409,.798,128,5,5,11,1,1,1,2005,AAA,MIL
Matt Erickson*,29,16,24,18,2,7,1,0,0,2,0,0,3,2,.389,.522,.444,.966,8,0,2,1,0,0,1,2005,AAA,MIL
Brett Evert*,24,13,5,5,0,2,1,0,0,1,0,0,0,1,.400,.400,.600,1.000,3,1,0,0,0,0,0,2005,AAA,MIL
Prince Fielder*,21,103,441,378,68,110,21,0,28,86,8,5,54,93,.291,.388,.569,.957,215,12,7,0,2,4,1,2005,AAA,MIL
Gary Glover,28,17,22,19,0,5,0,0,0,2,0,0,0,6,.263,.300,.263,.563,5,0,1,2,0,0,1,2005,AAA,MIL
Corey Hart,23,113,489,429,85,132,29,9,17,69,31,7,48,88,.308,.377,.536,.913,230,11,3,3,6,1,1,2005,AAA,MIL
Corey Hart#,29,53,113,95,9,17,5,0,1,5,1,1,17,20,.179,.304,.263,.567,25,2,0,1,0,2,0,2005,AAA,MIL
Rick Helling,34,21,35,26,2,3,1,0,0,1,0,0,4,10,.115,.226,.154,.380,4,0,0,4,1,0,1,2005,AAA,MIL
Ben Hendrickson,24,28,40,29,1,4,0,0,0,1,0,0,2,9,.138,.194,.138,.331,4,1,0,9,0,0,1,2005,AAA,MIL
Jeff Housman*,23,28,31,28,1,4,0,0,1,3,1,0,3,15,.143,.226,.250,.476,7,0,0,0,0,0,0,2005,AAA,MIL
Ryan Knox,28,99,344,301,31,70,12,0,5,26,20,8,23,70,.233,.298,.322,.620,97,2,7,8,5,1,0,2005,AAA,MIL
Dave Krynzel*,23,115,511,450,71,115,25,7,11,51,24,8,43,138,.256,.324,.416,.740,187,3,5,8,5,2,1,2005,AAA,MIL
Justin Lehr,27,27,21,18,4,7,1,0,1,7,0,0,2,8,.389,.450,.611,1.061,11,0,0,1,0,0,1,2005,AAA,MIL
Mike Meyers,27,33,14,14,2,4,0,0,0,0,0,0,0,3,.286,.286,.286,.571,4,0,0,0,0,0,0,2005,AAA,MIL
Warren Morris*,31,64,256,230,39,61,7,2,7,27,9,2,22,32,.265,.327,.404,.731,93,4,0,2,2,1,1,2005,AAA,MIL
Julio Mosquera,33,64,253,240,32,62,18,0,4,30,4,1,10,34,.258,.290,.383,.673,92,11,1,1,1,0,1,2005,AAA,MIL
Brad Nelson*,22,81,331,281,50,71,16,2,7,39,4,5,45,74,.253,.359,.399,.757,112,5,2,2,1,4,1,2005,AAA,MIL
Wes Obermueller,28,9,10,9,1,2,1,1,0,2,0,0,0,3,.222,.222,.556,.778,5,0,0,1,0,0,1,2005,AAA,MIL
Kevin Orie,32,60,217,180,32,62,18,0,12,49,4,1,31,20,.344,.442,.644,1.087,116,4,3,0,3,0,1,2005,AAA,MIL
Chad Paronto,29,27,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,1,2005,AAA,MIL
