Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Wilson Batista#,24,61,277,248,33,68,7,4,5,22,12,13,20,37,.274,.327,.395,.722,98,5,2,2,5,2,0
Shawn Bowman,20,87,355,326,44,72,15,1,17,53,4,1,22,110,.221,.282,.429,.712,140,8,6,1,0,1,0
Dante Brinkley,23,54,228,192,36,51,5,2,5,24,9,6,24,64,.266,.367,.391,.758,75,3,8,2,2,3,0
Miguel Cairo,31,1,4,4,0,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,1,0,0,0,0,0,1
Mike Cameron,32,4,15,10,3,3,2,0,0,0,0,0,3,3,.300,.533,.500,1.033,5,0,2,0,0,0,1
Zac Clements,25,7,24,23,4,4,1,0,0,5,0,0,1,8,.174,.208,.217,.426,5,2,0,0,0,0,0
Tyler Davidson,24,39,143,124,14,20,3,0,2,8,1,1,12,46,.161,.261,.234,.494,29,2,5,1,1,1,0
Emmanuel Garcia*,19,2,9,9,1,2,1,0,0,0,0,0,0,2,.222,.222,.333,.556,3,0,0,0,0,0,0
Yunir Garcia,22,59,211,170,27,29,5,2,4,18,5,0,29,70,.171,.321,.294,.615,50,6,9,2,1,0,0
Brett Harper*,23,62,264,239,35,67,11,1,20,60,0,1,21,64,.280,.337,.586,.923,140,5,1,0,3,3,0
Ryan Harvey,25,16,60,55,4,17,3,0,0,10,2,1,3,8,.309,.367,.364,.730,20,0,2,0,0,0,0
Aaron Hathaway,22,38,156,135,22,42,8,0,0,15,3,2,16,33,.311,.379,.370,.749,50,4,0,3,2,0,0
Jamar Hill,22,125,514,456,64,115,23,3,15,64,13,9,47,151,.252,.326,.414,.741,189,6,4,5,2,3,0
Brahiam Maldonado,19,6,21,16,4,5,1,0,0,3,0,0,2,6,.313,.421,.375,.796,6,0,1,2,0,0,0
Jonathan Malo,21,5,16,14,1,2,1,0,0,2,1,0,2,4,.143,.250,.214,.464,3,0,0,0,0,0,0
Joan Martinez#,21,2,5,4,1,1,0,0,0,1,0,0,1,2,.250,.400,.250,.650,1,0,0,0,0,0,0
Sean McCraw*,19,1,3,2,1,1,0,0,0,0,0,0,1,1,.500,.667,.500,1.167,1,0,0,0,0,0,0
Doug Mientkiewicz*,31,8,34,27,3,7,4,0,0,2,0,0,7,7,.259,.412,.407,.819,11,0,0,0,0,4,1
Lastings Milledge,20,62,269,232,48,70,15,0,4,22,18,13,19,41,.302,.385,.418,.803,97,5,13,4,1,1,1
Tony Piazza,25,33,102,93,12,21,4,0,1,4,2,0,8,24,.226,.287,.301,.588,28,3,0,1,0,0,0
Grant Psomas,22,34,135,118,15,36,10,0,1,15,1,1,15,29,.305,.383,.415,.799,49,4,0,2,0,0,0
Corey Ragsdale,22,68,312,273,51,71,16,8,10,38,8,7,33,94,.260,.347,.487,.834,133,0,4,1,1,0,0
Kevin Rios,23,94,351,332,33,84,18,1,5,35,2,4,11,82,.253,.283,.358,.641,119,7,4,1,3,0,0
Benito Santiago,40,3,10,9,1,3,1,0,0,1,0,0,1,0,.333,.400,.444,.844,4,2,0,0,0,0,1
Jon Slack*,23,77,303,275,33,71,15,1,3,24,14,5,24,52,.258,.317,.353,.669,97,2,0,3,1,0,0
Caleb Stewart,23,17,70,56,12,16,6,0,3,7,3,1,7,13,.286,.388,.554,.942,31,0,3,3,1,0,0
Alhaji Turay,22,42,161,145,15,28,7,0,4,13,4,6,7,54,.193,.250,.324,.574,47,2,4,5,0,0,0
Derran Watts,25,28,115,97,14,26,4,2,0,14,3,4,11,19,.268,.366,.351,.717,34,1,4,3,0,0,0
Blake Whealy,25,88,333,292,29,62,13,0,10,36,3,4,28,96,.212,.294,.360,.654,105,9,7,3,3,0,0
Andy Wilson,24,127,540,464,81,132,25,3,28,89,8,4,68,88,.284,.370,.532,.903,247,5,0,0,8,10,0
Brandon Wilson,22,2,3,3,0,2,0,0,0,0,0,0,0,0,.667,.667,.667,1.333,2,0,0,0,0,0,0
