Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Danny Ardoin,30,80,248,210,28,48,10,0,6,22,1,1,20,69,.229,.320,.362,.681,76,8,9,7,2,2,1
Todd Helton*,31,144,626,509,92,163,45,2,20,79,3,0,106,80,.320,.445,.534,.979,272,14,9,1,1,22,1
Aaron Miles#,28,99,347,324,37,91,12,3,2,28,4,2,8,38,.281,.306,.355,.661,115,6,4,10,1,1,1
Clint Barmes,26,81,377,350,55,101,19,1,10,46,6,4,16,36,.289,.330,.434,.764,152,4,6,4,1,1,1
Garrett Atkins,25,138,573,519,62,149,31,1,13,89,0,2,45,72,.287,.347,.426,.773,221,18,5,0,4,1,1
Matt Holliday,25,125,526,479,68,147,24,7,19,87,14,3,36,79,.307,.361,.505,.866,242,11,7,0,4,1,1
Cory Sullivan*,25,139,424,378,64,111,15,4,4,30,12,3,28,83,.294,.343,.386,.729,146,6,3,10,5,0,1
Brad Hawpe*,26,101,351,305,38,80,10,3,9,47,2,2,43,70,.262,.350,.403,.754,123,5,0,0,3,3,1
Luis Gonzalez,26,128,442,404,51,118,25,0,9,44,3,4,20,63,.292,.333,.421,.753,170,7,6,8,3,0,1
Preston Wilson,30,71,296,267,39,69,15,1,15,47,3,2,25,77,.258,.322,.491,.813,131,8,1,1,2,0,1
Dustan Mohr,29,98,293,266,34,57,10,3,17,38,1,2,23,94,.214,.280,.466,.746,124,3,2,0,2,2,1
JD Closser#,25,92,272,237,31,52,12,2,7,27,1,0,32,48,.219,.314,.376,.689,89,9,1,1,1,1,1
Desi Relaford#,31,73,238,210,24,47,13,2,1,16,3,3,22,42,.224,.308,.319,.627,67,1,4,1,1,2,1
Omar Quintanilla*,23,39,143,128,16,28,1,1,0,7,2,1,9,15,.219,.270,.242,.512,31,3,0,6,0,0,1
Todd Greene,34,38,134,126,10,32,4,0,7,23,0,0,7,21,.254,.299,.452,.751,57,5,1,0,0,0,1
Jorge Piedra*,26,61,124,112,19,35,8,1,6,16,2,1,10,15,.313,.371,.563,.933,63,2,1,0,1,0,1
Ryan Shealy,25,36,104,91,14,30,7,0,2,16,1,0,13,22,.330,.413,.473,.886,43,6,0,0,0,0,1
Eddy Garabito#,28,42,102,88,15,27,5,0,1,8,3,2,8,12,.307,.384,.398,.782,35,2,3,3,0,0,1
Larry Bigbie*,27,23,70,66,5,14,1,1,0,2,2,0,3,18,.212,.257,.258,.515,17,0,1,0,0,0,1
Eric Byrnes,29,15,60,53,2,10,2,0,0,5,2,0,7,11,.189,.283,.226,.510,12,1,0,0,0,0,1
Jeff Baker,24,12,43,38,6,8,4,0,1,4,0,0,5,12,.211,.302,.395,.697,15,1,0,0,0,0,1
Michael Restovich,26,14,34,31,5,9,2,0,1,3,0,0,3,5,.290,.353,.452,.805,14,2,0,0,0,0,1
Choo Freeman,25,18,22,22,6,6,1,1,0,0,0,0,0,5,.273,.273,.409,.682,9,0,0,0,0,0,1
Anderson Machado#,24,4,13,10,1,0,0,0,0,2,0,0,2,5,.000,.154,.000,.154,0,0,0,0,1,0,1
Ryan Spilborghs,25,1,4,4,0,2,0,0,0,1,0,0,0,1,.500,.500,.500,1.000,2,0,0,0,0,0,1
Tim Olson,26,3,3,2,0,0,0,0,0,0,0,0,1,2,.000,.333,.000,.333,0,0,0,0,0,0,1
Alfredo Amezaga#,27,2,3,3,1,1,0,0,0,0,0,0,0,0,.333,.333,.333,.667,1,0,0,0,0,0,1
