Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Ricky Bambino,22,16,42,39,5,7,2,0,0,6,0,0,0,9,.179,.195,.231,.426,9,0,1,1,1,0,0,2005,Rookie,LAA
Josh Davies,19,44,165,157,19,46,11,0,2,23,5,6,6,30,.293,.321,.401,.722,63,5,1,0,1,0,0,2005,Rookie,LAA
Madison Edwards*,21,27,97,81,13,23,4,2,3,17,2,4,12,26,.284,.381,.494,.875,40,1,2,0,2,0,0,2005,Rookie,LAA
Cody Fuller,22,19,80,62,14,13,3,3,0,6,5,3,12,12,.210,.375,.355,.730,22,0,5,0,1,0,0,2005,Rookie,LAA
Tom Gregorio,28,4,13,12,1,2,0,0,0,1,0,0,0,3,.167,.231,.167,.397,2,0,1,0,0,0,1,2005,Rookie,LAA
Grant Harper,19,32,121,113,8,27,5,1,1,6,0,1,5,31,.239,.289,.327,.617,37,3,3,0,0,0,0,2005,Rookie,LAA
Larry Infante*,20,36,138,119,17,27,4,1,3,13,5,3,16,22,.227,.324,.353,.676,42,2,1,2,0,0,0,2005,Rookie,LAA
Tyler Johnson,19,47,184,166,23,44,10,1,3,23,9,3,13,64,.265,.326,.392,.718,65,4,3,0,2,0,0,2005,Rookie,LAA
Josh Leblanc*,23,2,9,9,1,1,1,0,0,2,1,0,0,4,.111,.111,.222,.333,2,1,0,0,0,0,0,2005,Rookie,LAA
Martin Maldonado,18,27,91,86,6,22,2,0,0,10,0,0,2,9,.256,.278,.279,.557,24,3,1,1,1,0,1,2005,Rookie,LAA
Dave Matranga,28,3,10,10,0,0,0,0,0,0,0,0,0,6,.000,.000,.000,.000,0,0,0,0,0,0,1,2005,Rookie,LAA
Dallas McPherson*,24,3,9,9,1,2,1,1,0,2,0,0,0,5,.222,.222,.556,.778,5,0,0,0,0,0,1,2005,Rookie,LAA
Lou Merloni,34,6,17,15,3,5,1,0,0,2,0,0,2,2,.333,.412,.400,.812,6,0,0,0,0,0,1,2005,Rookie,LAA
Jeremy Moore*,18,34,124,110,15,25,3,1,0,11,12,6,11,46,.227,.303,.273,.576,30,3,1,2,0,0,1,2005,Rookie,LAA
Ryan Mount*,18,29,123,102,15,22,7,1,1,17,4,1,17,31,.216,.325,.333,.659,34,2,1,0,3,0,0,2005,Rookie,LAA
Abel Nieves,19,23,81,66,17,18,3,0,0,7,3,0,13,19,.273,.407,.318,.726,21,2,2,0,0,0,0,2005,Rookie,LAA
P.J. Phillips,18,49,195,182,25,53,6,6,1,24,13,5,9,53,.291,.328,.407,.735,74,0,2,0,2,0,0,2005,Rookie,LAA
Ryan Pressley#,18,23,66,60,5,8,0,0,1,6,1,0,6,28,.133,.212,.183,.395,11,0,0,0,0,0,0,2005,Rookie,LAA
Dave Pruitt,23,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,1,0,0,0,0,0,2005,Rookie,LAA
Robb Quinlan,28,4,15,12,3,3,2,0,0,3,1,0,2,3,.250,.333,.417,.750,5,0,0,0,1,0,1,2005,Rookie,LAA
Luis Rivera,18,42,149,132,25,37,9,4,0,15,8,2,16,43,.280,.362,.409,.772,54,3,1,0,0,0,0,2005,Rookie,LAA
Matt Ryan*,19,45,182,165,26,43,12,2,3,22,3,0,17,46,.261,.330,.412,.742,68,2,0,0,0,0,0,2005,Rookie,LAA
Darrell Sales,19,31,120,103,15,29,9,2,1,11,2,1,14,31,.282,.375,.437,.812,45,2,2,0,1,0,0,2005,Rookie,LAA
Johan Silva*,21,10,38,36,2,8,3,1,0,2,1,0,1,8,.222,.263,.361,.624,13,1,1,0,0,0,0,2005,Rookie,LAA
