Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
James Barksdale*,21,50,167,158,18,33,2,0,0,9,8,5,6,32,.209,.235,.222,.456,35,2,0,1,2,0,0,2006,Short-Season A,PIT
Justin Byler,20,12,45,38,5,7,1,0,0,7,1,0,6,10,.184,.311,.211,.522,8,0,1,0,0,0,0,2006,Short-Season A,PIT
Matthew Clarkson*,22,17,62,56,4,6,1,0,0,5,1,0,5,20,.107,.177,.125,.302,7,2,0,0,1,0,0,2006,Short-Season A,PIT
Jose De Los Santos,21,3,3,3,0,0,0,0,0,0,0,1,0,2,.000,.000,.000,.000,0,0,0,0,0,0,0,2006,Short-Season A,PIT
Miles Durham,23,58,203,189,8,38,7,3,2,15,4,4,7,49,.201,.239,.302,.540,57,2,3,2,2,1,0,2006,Short-Season A,PIT
Shelby Ford#,21,7,29,25,3,10,3,0,0,2,1,0,3,3,.400,.483,.520,1.003,13,0,1,0,0,0,0,2006,Short-Season A,PIT
Angel Gonzalez*,20,65,280,259,31,71,12,1,0,11,15,10,14,43,.274,.313,.328,.641,85,5,1,5,1,0,0,2006,Short-Season A,PIT
Joe Hicks,22,13,41,38,2,7,1,0,0,2,3,2,3,13,.184,.244,.211,.454,8,1,0,0,0,0,0,2006,Short-Season A,PIT
A.J. Johnson,22,11,41,37,4,6,0,0,0,2,0,1,4,9,.162,.244,.162,.406,6,0,0,0,0,0,0,2006,Short-Season A,PIT
Jared Keel,21,39,159,140,19,35,10,1,3,11,2,3,15,30,.250,.321,.400,.721,56,0,1,0,3,2,0,2006,Short-Season A,PIT
Albert Laboy,19,47,192,173,19,43,1,2,0,13,10,3,13,25,.249,.295,.277,.572,48,3,0,2,4,0,0,2006,Short-Season A,PIT
David Munoz#,21,8,20,18,2,3,1,0,0,2,0,1,2,5,.167,.250,.222,.472,4,0,0,0,0,0,0,2006,Short-Season A,PIT
Jim Negrych*,21,42,166,146,12,39,7,2,2,17,1,1,13,19,.267,.327,.384,.711,56,2,2,1,4,1,0,2006,Short-Season A,PIT
John Peabody,20,9,24,21,3,4,1,0,0,1,1,0,3,7,.190,.292,.238,.530,5,0,0,0,0,0,0,2006,Short-Season A,PIT
Alexander Peralta,21,50,200,181,19,43,7,3,1,19,2,0,13,32,.238,.285,.326,.611,59,6,1,0,5,0,0,2006,Short-Season A,PIT
Smelin Perez#,20,10,36,30,3,4,1,0,0,1,1,1,4,6,.133,.257,.167,.424,5,0,1,1,0,0,0,2006,Short-Season A,PIT
Greg Picart#,20,35,131,123,12,28,7,1,0,8,1,6,3,24,.228,.248,.301,.549,37,1,1,2,2,0,0,2006,Short-Season A,PIT
Francis Poni,22,31,106,91,11,25,6,0,2,7,2,1,9,28,.275,.362,.407,.768,37,3,4,1,1,1,0,2006,Short-Season A,PIT
Alex Presley*,20,61,244,223,26,58,7,8,3,23,3,3,17,55,.260,.313,.404,.716,90,1,1,1,2,2,1,2006,Short-Season A,PIT
Daniel Rios*,20,41,158,143,14,33,5,1,1,13,0,1,11,34,.231,.285,.301,.586,43,1,1,0,3,1,0,2006,Short-Season A,PIT
Kent Sakamoto,22,47,178,162,15,37,12,1,3,23,0,1,10,48,.228,.281,.370,.651,60,2,3,0,3,0,0,2006,Short-Season A,PIT
Ryan Searage,23,17,55,54,2,6,1,0,0,3,0,1,1,22,.111,.127,.130,.257,7,0,0,0,0,0,0,2006,Short-Season A,PIT
Gregory Smith*,22,12,37,33,4,4,1,0,0,1,1,0,3,7,.121,.216,.152,.368,5,0,1,0,0,0,0,2006,Short-Season A,PIT
Kris Watts*,21,39,136,120,7,24,3,0,0,11,0,1,12,26,.200,.281,.225,.506,27,1,2,1,1,0,0,2006,Short-Season A,PIT
