Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Cody Collet,22,4,7,7,1,3,1,0,0,0,0,0,0,2,.429,.429,.571,1.000,4,1,0,0,0,0,0
Mike Collins,22,119,463,429,43,104,18,3,5,45,5,4,12,70,.242,.286,.333,.619,143,13,15,5,2,0,0
Brad Coon*,24,58,258,226,37,68,8,4,1,17,25,12,23,36,.301,.372,.385,.756,87,2,3,5,1,1,0
Tim Duff,26,46,176,158,9,31,5,0,2,13,3,3,14,45,.196,.270,.266,.536,42,4,2,2,0,0,0
Cody Fuller,24,106,385,330,37,73,10,3,2,28,20,8,31,89,.221,.300,.288,.588,95,6,8,12,4,0,0
Ben Johnson#,25,34,138,120,19,32,9,0,5,18,1,1,9,22,.267,.350,.467,.817,56,3,7,1,1,2,0
Ryan Leahy,25,56,197,173,13,36,4,0,0,7,0,3,14,23,.208,.283,.231,.514,40,2,4,6,0,0,0
Adam Morrissey,26,134,599,486,85,128,27,2,9,50,12,7,92,131,.263,.396,.383,.778,186,11,15,5,1,1,0
Corey Myers,27,50,203,174,18,44,6,0,3,29,3,3,23,27,.253,.337,.339,.676,59,7,1,1,4,1,0
Matt Pali*,26,96,357,322,28,78,10,1,7,35,5,6,23,61,.242,.307,.345,.652,111,4,8,2,2,1,0
Aaron Peel,24,83,329,310,34,79,20,2,7,38,2,0,6,43,.255,.284,.400,.684,124,8,8,2,3,0,0
Greg Porter*,26,73,297,272,30,80,15,3,4,45,13,6,16,53,.294,.343,.415,.759,113,5,6,0,3,3,0
Curtis Pride*,38,44,185,159,18,38,8,1,3,23,5,4,23,48,.239,.335,.358,.694,57,5,1,0,2,0,1
Sean Rodriguez,22,136,587,508,84,129,31,2,17,73,15,8,54,132,.254,.345,.423,.769,215,5,19,2,4,0,1
Freddy Sandoval#,24,127,563,472,84,144,32,6,11,72,21,11,67,78,.305,.392,.468,.860,221,12,5,12,7,3,1
Coby Smith,26,63,264,224,37,62,12,1,2,17,21,7,32,27,.277,.369,.366,.735,82,3,2,4,2,0,0
Bobby Wilson,24,50,204,181,24,49,9,0,6,27,5,3,22,26,.271,.348,.420,.768,76,5,0,0,1,1,1
Flint Wipke,24,5,19,16,4,5,0,0,0,1,1,0,3,2,.313,.421,.313,.734,5,1,0,0,0,0,0
