Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Federico Baez,25,16,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0
Cory Bailey,36,44,11,8,0,1,0,0,0,0,0,0,1,4,.125,.222,.125,.347,1,0,0,2,0,0,1
Henry Blanco,35,3,10,10,2,2,0,0,0,1,0,0,0,3,.200,.200,.200,.400,2,0,0,0,0,0,1
Ronny Cedeno,24,75,327,287,52,103,15,3,10,37,6,4,30,46,.359,.422,.537,.958,154,9,2,7,1,3,1
Rocky Cherry,27,43,4,3,0,0,0,0,0,0,0,0,1,3,.000,.250,.000,.250,0,0,0,0,0,0,1
Buck Coats*,25,123,508,455,81,138,21,3,11,59,18,2,44,74,.303,.363,.435,.798,198,10,2,1,6,3,1
Jorge Cortes*,26,8,9,6,3,2,1,0,0,1,0,0,3,0,.333,.556,.500,1.056,3,1,0,0,0,0,0
Neal Cotts*,27,24,5,5,0,1,0,0,0,1,0,0,0,2,.200,.200,.200,.400,1,0,0,0,0,0,1
Matt Craig#,26,31,121,110,16,30,7,1,4,25,0,0,10,29,.273,.331,.464,.794,51,3,0,0,1,0,0
Mike Fontenot*,27,55,231,211,46,71,17,4,6,34,3,1,16,32,.336,.384,.540,.925,114,10,1,2,1,2,1
Jake Fox,24,25,108,99,18,28,7,0,6,19,2,0,5,23,.283,.343,.535,.878,53,2,4,0,0,0,1
Sam Fuld*,25,14,63,52,13,14,4,1,1,2,2,0,9,5,.269,.397,.442,.839,23,1,2,0,0,0,1
Sean Gallagher,21,8,8,6,0,0,0,0,0,0,0,0,0,4,.000,.000,.000,.000,0,1,0,2,0,0,1
Alberto Garcia,24,3,9,8,2,4,1,0,0,2,0,0,1,1,.500,.556,.625,1.181,5,0,0,0,0,0,0
Angel Guzman,25,3,3,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,1,0,1,0,0,1
Bo Hart,30,19,52,48,3,9,2,0,0,0,2,0,2,14,.188,.220,.229,.449,11,1,0,2,0,0,1
Kevin Hart,24,11,20,18,3,8,0,0,0,5,0,0,2,7,.444,.500,.444,.944,8,0,0,0,0,0,1
Jim Henderson*,24,8,2,2,0,1,0,0,0,0,0,0,0,1,.500,.500,.500,1.000,1,0,0,0,0,0,1
Koyie Hill#,28,47,162,149,22,48,16,0,2,24,1,1,11,23,.322,.364,.470,.834,70,5,0,0,2,1,1
Micah Hoffpauir*,27,82,342,310,56,99,24,0,16,73,2,1,24,34,.319,.365,.552,.917,171,3,2,0,6,2,1
Ben Howard,28,55,4,3,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,1,0,0,1
Geoff Jones*,27,11,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0
Mike Kinkade,34,33,137,120,26,37,6,1,7,27,2,0,9,14,.308,.387,.550,.937,66,5,7,0,1,1,1
Josh Kroeger*,24,51,198,175,27,46,7,0,10,31,0,1,21,38,.263,.338,.474,.813,83,4,0,0,2,1,1
Albenis Machado#,28,19,38,30,6,3,0,0,0,3,0,1,7,8,.100,.263,.100,.363,3,0,0,0,1,0,0
Mike Mahoney,34,19,47,45,4,11,1,0,0,3,0,0,1,7,.244,.277,.267,.543,12,8,1,0,0,0,1
