Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Russ Adams*,26,113,484,431,62,113,23,2,11,54,3,3,41,57,.262,.333,.401,.734,173,9,5,6,1,0,1,2007,AAA,TOR
Kevin Barker*,31,130,553,470,68,122,22,1,18,76,2,0,74,119,.260,.358,.426,.784,200,15,2,0,7,4,1,2007,AAA,TOR
Brian Bormaster,25,1,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,2007,AAA,TOR
Howie Clark*,33,22,87,81,8,22,3,0,3,15,1,0,6,6,.272,.322,.420,.742,34,2,0,0,0,0,1,2007,AAA,TOR
David Corrente,23,12,35,31,8,10,2,0,3,7,0,0,2,9,.323,.382,.677,1.060,21,2,1,1,0,0,0,2007,AAA,TOR
Carlo Cota,26,1,4,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,2007,AAA,TOR
Robinzon Diaz,23,19,69,65,4,22,3,0,1,10,0,0,1,6,.338,.358,.431,.789,28,2,1,2,0,0,1,2007,AAA,TOR
Jeff Duncan*,28,43,168,141,23,30,1,0,0,6,6,2,21,33,.213,.317,.220,.537,31,0,1,4,1,0,1,2007,AAA,TOR
Sal Fasano,35,47,163,145,18,38,4,0,8,14,1,0,6,33,.262,.337,.455,.793,66,2,11,0,1,0,1,2007,AAA,TOR
John-Ford Griffin*,27,133,551,484,69,122,28,4,26,83,4,0,59,144,.252,.330,.488,.818,236,11,1,0,7,1,1,2007,AAA,TOR
Brad Hassey,27,30,93,85,10,15,1,0,0,3,0,0,6,13,.176,.231,.188,.419,16,1,0,2,0,0,0,2007,AAA,TOR
John Hattig#,27,100,391,347,38,93,18,1,11,52,0,2,39,107,.268,.341,.421,.762,146,9,1,1,3,1,1,2007,AAA,TOR
Reed Johnson,30,2,9,8,1,3,0,0,0,1,0,0,0,1,.375,.444,.375,.819,3,0,1,0,0,0,1,2007,AAA,TOR
Erik Kratz,27,35,124,112,10,24,2,0,5,19,0,1,8,28,.214,.273,.366,.639,41,2,1,3,0,0,1,2007,AAA,TOR
Adam Lind*,23,46,190,174,20,52,8,2,6,28,0,0,14,42,.299,.353,.471,.824,82,2,1,0,1,3,1,2007,AAA,TOR
Hector Luna,27,18,79,67,15,23,7,1,2,8,0,0,9,14,.343,.443,.567,1.010,38,0,3,0,0,0,1,2007,AAA,TOR
Wayne Lydon#,26,126,558,493,80,125,21,5,5,39,26,8,50,102,.254,.322,.347,.669,171,5,1,12,2,2,0,2007,AAA,TOR
Chad Mottola,35,106,444,405,71,108,24,3,17,56,6,1,33,78,.267,.324,.467,.791,189,9,3,0,3,2,1,2007,AAA,TOR
Ray Olmedo#,26,97,373,328,32,95,12,1,1,26,7,5,28,53,.290,.345,.341,.687,112,9,1,14,2,0,1,2007,AAA,TOR
Al Quintana,24,5,17,16,3,6,2,0,0,2,0,0,0,2,.375,.375,.500,.875,8,0,0,1,0,0,0,2007,AAA,TOR
Ryan Roberts,26,100,399,337,46,84,16,1,12,47,1,2,55,85,.249,.355,.409,.765,138,13,2,2,3,0,1,2007,AAA,TOR
Sergio Santos,23,13,50,47,4,9,2,0,0,4,2,0,1,10,.191,.204,.234,.438,11,1,0,1,1,0,1,2007,AAA,TOR
John Schneider,27,17,52,48,4,5,2,0,1,2,0,0,4,18,.104,.173,.208,.381,10,2,0,0,0,0,0,2007,AAA,TOR
Curtis Thigpen,24,50,202,179,20,51,10,0,3,20,1,0,17,23,.285,.348,.391,.739,70,5,2,1,3,2,1,2007,AAA,TOR
Mike Vento,29,84,330,295,38,77,21,0,7,41,0,0,25,66,.261,.327,.403,.731,119,10,6,0,4,0,1,2007,AAA,TOR
Gregg Zaun#,36,3,12,11,1,1,0,0,0,0,0,0,1,2,.091,.167,.091,.258,1,2,0,0,0,0,1,2007,AAA,TOR
