Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
P.J. Antoniato,23,41,142,132,18,34,6,0,0,15,0,0,4,9,.258,.290,.303,.593,40,5,2,4,0,0,0
Welinson Baez,22,63,253,231,25,55,13,2,6,30,1,4,19,86,.238,.296,.390,.686,90,3,1,0,2,3,0
Jake Blalock,23,42,165,140,22,37,10,0,6,26,0,0,21,30,.264,.352,.464,.816,65,3,0,0,4,0,0
Shaun Boyd,25,10,44,39,4,9,2,0,1,4,1,0,5,5,.231,.318,.359,.677,14,0,0,0,0,0,0
Domonic Brown*,19,3,11,9,2,4,1,0,1,7,0,0,2,0,.444,.545,.889,1.434,8,0,0,0,0,0,1
Ryan Budde,27,3,10,10,1,2,1,0,0,0,0,0,0,3,.200,.200,.300,.500,3,0,0,0,0,0,1
Brian Burgamy#,26,68,308,260,43,68,14,3,10,38,7,5,44,52,.262,.365,.454,.819,118,6,0,1,3,1,0
Chris Coste,34,3,10,10,3,4,1,0,0,1,0,0,0,1,.400,.400,.500,.900,5,0,0,0,0,0,1
Jason Donald,22,83,336,293,48,88,22,5,8,41,3,2,35,70,.300,.386,.491,.878,144,8,6,2,0,0,1
Michael Garciaparra,24,3,15,11,3,2,1,0,0,2,0,0,3,2,.182,.400,.273,.673,3,1,1,0,0,0,0
Greg Golson,21,99,449,418,66,119,27,3,12,52,25,8,21,124,.285,.322,.450,.772,188,4,4,2,4,2,1
Orlando Guevara,23,17,45,37,2,5,2,0,0,6,0,0,5,10,.135,.238,.189,.427,7,1,0,3,0,0,0
Victor Hall*,26,18,74,67,8,16,1,2,0,2,3,0,5,19,.239,.292,.313,.605,21,0,0,2,0,0,0
Brad Harman,21,122,499,448,63,126,26,5,13,62,1,1,40,105,.281,.341,.449,.790,201,4,3,4,4,0,1
Clay Harris,24,103,412,364,43,93,23,0,10,64,0,0,40,61,.255,.333,.401,.734,146,15,4,1,3,0,0
Fidel Hernandez,21,27,93,89,4,22,2,0,0,8,1,2,1,6,.247,.256,.270,.525,24,2,0,3,0,0,0
Kevin Howard*,26,15,53,46,6,8,0,0,0,2,1,1,6,6,.174,.283,.174,.457,8,1,1,0,0,0,0
Nic Jackson*,27,20,83,77,13,21,6,1,0,6,6,3,5,12,.273,.325,.377,.702,29,1,1,0,0,0,0
Tim Kennelly,20,5,7,6,0,1,0,0,0,1,0,0,1,0,.167,.286,.167,.452,1,0,0,0,0,0,0
Hector Made,22,42,160,146,21,36,8,0,0,6,2,2,13,28,.247,.313,.301,.614,44,2,1,0,0,0,0
Lou Marson,21,111,457,393,68,113,24,1,7,63,3,1,52,80,.288,.373,.407,.780,160,10,5,1,6,2,1
Jay Miller,23,5,20,18,4,5,1,0,0,2,0,0,1,4,.278,.350,.333,.683,6,1,1,0,0,0,0
Jaime Morales,23,1,4,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,1,0,0,0
Javon Moran,24,3,15,13,3,2,0,0,0,0,1,0,2,6,.154,.267,.154,.421,2,0,0,0,0,0,0
Arlon Quiroz,20,2,3,3,1,2,1,0,0,1,0,0,0,1,.667,.667,1.000,1.667,3,0,0,0,0,0,0
Jesus Sanchez,19,1,1,1,0,1,0,0,0,0,0,0,0,0,1.000,1.000,1.000,2.000,1,0,0,0,0,0,0
Pete Shier,26,25,95,91,9,18,2,0,3,9,0,2,2,18,.198,.223,.319,.542,29,2,1,1,0,0,0
Jeremy Slayden*,24,118,500,432,71,124,24,4,14,73,7,1,60,96,.287,.376,.458,.834,198,8,4,0,4,3,0
Michael Spidale,25,58,264,240,29,66,9,4,0,26,12,4,16,30,.275,.327,.346,.673,83,3,4,1,3,0,0
John Suomi*,26,20,75,62,12,16,5,0,2,7,0,0,12,6,.258,.387,.435,.822,27,1,1,0,0,0,0
Matt Thayer,25,82,332,284,53,79,10,1,1,30,10,4,38,57,.278,.373,.331,.704,94,6,6,2,2,0,0
John Urick*,25,77,308,262,35,63,14,1,10,55,0,1,35,78,.240,.330,.416,.746,109,5,3,2,6,3,0
Jayson Werth,28,4,15,13,3,1,0,0,0,0,0,0,2,4,.077,.200,.077,.277,1,1,0,0,0,0,1
Cory Willey*,26,38,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0
