Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Chris Anderson,21,22,65,49,10,14,3,0,2,7,0,1,14,17,.286,.438,.469,.907,23,1,0,1,1,0,0
Eliazar Carmona,21,51,133,120,23,29,5,1,0,7,4,1,6,27,.242,.281,.300,.581,36,7,1,5,1,0,0
Adam Coe,19,58,241,218,25,56,16,0,3,24,4,0,17,51,.257,.314,.372,.685,81,9,2,2,2,0,0
Dennis Dixon*,22,4,11,10,1,1,0,0,0,1,0,0,1,4,.100,.182,.100,.282,1,1,0,0,0,0,0
Javier Dominguez#,21,42,120,110,19,21,3,1,3,11,1,1,5,28,.191,.244,.318,.562,35,1,3,1,1,0,0
Michael Fisher#,22,33,144,126,22,41,11,1,2,27,0,3,15,27,.325,.396,.476,.872,60,4,1,0,2,1,0
Steven Garcia,20,21,53,48,6,12,3,0,1,8,0,1,2,21,.250,.275,.375,.650,18,1,0,2,1,0,0
Randy Gress,22,18,41,37,4,8,4,0,0,2,1,0,4,9,.216,.293,.324,.617,12,1,0,0,0,0,0
Jason Heyward*,17,4,17,16,3,5,1,0,0,1,0,0,1,5,.313,.353,.375,.728,6,1,0,0,0,0,1
Brandon Hicks,21,18,74,58,14,13,3,1,3,13,1,2,12,18,.224,.370,.466,.835,27,1,2,1,1,0,1
Benji Johnson,20,32,115,103,13,29,2,0,1,12,3,2,9,22,.282,.351,.330,.681,34,3,2,1,0,0,0
Cody Johnson*,18,63,270,243,51,74,18,5,17,57,7,0,26,72,.305,.374,.630,1.004,153,1,1,0,0,0,0
Travis Jones,21,13,59,48,9,13,2,0,2,7,1,1,6,9,.271,.373,.438,.810,21,1,3,0,2,0,0
C.J. Lee,22,60,216,188,34,46,10,1,3,23,2,3,16,49,.245,.322,.356,.679,67,4,6,5,1,0,0
Chad Lundahl,22,31,123,112,13,33,6,0,0,12,0,0,10,13,.295,.350,.348,.698,39,1,0,0,1,0,0
Ernesto Mejia,21,29,123,109,17,37,8,2,5,24,6,0,6,24,.339,.390,.587,.977,64,3,5,0,3,0,0
Cole Miles#,20,60,269,234,40,78,6,4,2,27,11,4,23,28,.333,.398,.419,.817,98,2,4,5,3,0,0
Brandon Monk,20,8,17,16,0,1,0,0,0,1,0,0,0,5,.063,.059,.063,.121,1,1,0,0,1,0,0
Joshua Morris,22,55,224,202,31,57,18,1,4,35,2,2,10,51,.282,.350,.441,.790,89,2,11,1,0,0,0
Adam Parliament,21,25,50,45,7,11,3,0,0,8,0,1,4,10,.244,.320,.311,.631,14,0,1,0,0,0,0
Stephen Shults,20,59,217,192,34,52,19,0,6,25,2,3,16,67,.271,.350,.464,.814,89,3,8,0,1,0,0
Jeff Stevens,23,25,70,59,10,24,5,0,1,13,0,0,4,10,.407,.500,.542,1.042,32,1,7,0,0,0,0
