Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Carlos Arrieche,22,32,142,119,22,37,6,3,0,25,7,3,19,15,.311,.415,.412,.827,49,2,3,0,1,0,0,2007,Rookie,OAK
Ben Barrone,22,25,98,86,12,21,6,0,3,18,1,1,7,22,.244,.327,.419,.745,36,1,4,0,1,0,0,2007,Rookie,OAK
Angel Corporan,21,1,4,3,0,0,0,0,0,0,0,1,1,0,.000,.250,.000,.250,0,0,0,0,0,0,0,2007,Rookie,OAK
Leonardo Gil,19,39,157,140,22,36,5,4,0,20,5,2,14,39,.257,.333,.350,.683,49,3,2,1,0,0,0,2007,Rookie,OAK
Franklin Hernandez,20,21,70,63,8,14,4,0,1,7,1,0,2,22,.222,.279,.333,.613,21,0,3,2,0,0,0,2007,Rookie,OAK
Herbert Hudson,21,31,134,117,14,27,3,1,0,12,5,4,12,30,.231,.313,.274,.586,32,1,2,3,0,0,0,2007,Rookie,OAK
Javier James,22,29,108,91,9,17,1,2,2,17,1,2,14,31,.187,.306,.308,.613,28,3,2,0,1,0,0,2007,Rookie,OAK
Adam Klein*,23,45,216,152,51,40,5,2,0,11,33,7,58,37,.263,.477,.322,.799,49,1,5,0,1,0,0,2007,Rookie,OAK
Mike Lissman,22,36,157,129,24,38,14,2,3,26,1,2,17,18,.295,.397,.504,.901,65,6,7,1,3,0,0,2007,Rookie,OAK
Marcos Luis,21,44,185,168,25,50,14,1,1,31,3,1,9,22,.298,.344,.411,.755,69,4,4,2,2,0,0,2007,Rookie,OAK
Carlos Morales,21,29,122,103,13,26,5,1,2,17,1,1,16,23,.252,.358,.379,.737,39,2,1,2,0,0,0,2007,Rookie,OAK
Jed Morris*,27,2,6,5,1,1,0,1,0,0,0,0,1,3,.200,.333,.600,.933,3,0,0,0,0,0,0,2007,Rookie,OAK
Juan Nunez,19,21,85,69,7,13,1,1,0,5,0,3,15,22,.188,.333,.232,.565,16,3,0,1,0,0,0,2007,Rookie,OAK
Gabe Ortiz,21,23,75,68,7,10,3,1,1,6,2,0,6,23,.147,.216,.265,.481,18,7,0,1,0,0,0,2007,Rookie,OAK
Danny Putnam*,24,6,21,19,2,6,0,0,1,1,0,0,2,3,.316,.381,.474,.855,9,0,0,0,0,0,1,2007,Rookie,OAK
Raymond Rodriguez,17,14,50,45,6,8,2,0,1,4,0,0,4,22,.178,.240,.289,.529,13,0,0,0,1,0,0,2007,Rookie,OAK
Yunior Rodriguez,20,37,135,124,16,27,8,0,0,13,1,2,7,24,.218,.263,.282,.545,35,1,1,2,1,0,0,2007,Rookie,OAK
Angel Sierra#,18,25,88,70,12,13,2,1,0,5,4,4,16,29,.186,.345,.243,.588,17,1,1,1,0,0,0,2007,Rookie,OAK
Francisco Tirado#,19,21,83,74,14,25,3,0,0,9,2,2,5,8,.338,.370,.378,.749,28,1,0,2,2,1,0,2007,Rookie,OAK
Daniel Wentzell*,22,39,174,146,15,37,3,1,1,13,4,1,21,35,.253,.356,.308,.665,45,2,4,0,3,0,0,2007,Rookie,OAK
Jareck West,22,25,104,87,22,19,3,0,1,10,12,0,14,26,.218,.346,.287,.634,25,0,3,0,0,0,0,2007,Rookie,OAK
