Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Alex Avila*,21,58,244,213,21,65,14,0,1,22,0,1,27,41,.305,.383,.385,.768,82,8,1,1,2,0,1,2008,A,DET
Ron Bourquin*,23,118,485,409,49,96,22,1,3,46,6,6,66,93,.235,.339,.315,.654,129,15,2,1,7,1,0,2008,A,DET
Joe Bowen*,20,22,86,74,4,13,2,0,0,6,0,0,12,27,.176,.291,.203,.493,15,0,0,0,0,0,0,2008,A,DET
Chris Carlson,24,94,398,358,37,99,17,3,10,49,1,1,29,71,.277,.334,.425,.759,152,14,5,0,6,0,0,2008,A,DET
Adrian Casanova,25,29,104,88,6,17,1,0,1,9,1,1,10,30,.193,.282,.239,.520,21,1,2,1,3,1,0,2008,A,DET
Audy Ciriaco,21,107,444,417,47,100,12,5,7,50,12,6,16,68,.240,.269,.343,.612,143,19,2,5,4,1,0,2008,A,DET
Andy Dirks*,22,3,11,10,0,1,0,0,0,2,0,0,1,2,.100,.182,.100,.282,1,0,0,0,0,0,1,2008,A,DET
Brandon Douglas,22,9,41,39,5,17,3,0,1,8,0,0,1,2,.436,.463,.590,1.053,23,1,1,0,0,0,0,2008,A,DET
Angel Flores,21,26,99,89,5,16,1,0,0,8,0,0,8,18,.180,.242,.191,.433,17,2,0,0,2,0,0,2008,A,DET
Curtis Granderson*,27,3,12,11,1,4,0,2,0,1,0,0,1,2,.364,.417,.727,1.144,8,0,0,0,0,0,1,2008,A,DET
Joaquin Guzman#,21,4,12,11,2,2,0,0,0,1,0,0,1,2,.182,.250,.182,.432,2,2,0,0,0,0,0,2008,A,DET
Justin Henry*,23,120,532,475,74,140,24,2,1,46,27,7,44,36,.295,.356,.360,.716,171,14,3,7,3,2,0,2008,A,DET
Kody Kaiser#,23,110,446,392,55,102,24,6,11,57,30,6,45,114,.260,.342,.436,.779,171,9,4,5,0,2,0,2008,A,DET
Mark McBratney*,23,24,96,86,9,16,4,2,0,5,0,3,8,24,.186,.260,.279,.539,24,0,1,0,1,0,0,2008,A,DET
Cory Middleton,22,76,279,247,33,48,9,0,6,25,2,1,24,61,.194,.280,.304,.583,75,2,6,0,2,1,0,2008,A,DET
Jordan Newton,22,95,397,363,48,97,21,10,7,48,8,2,20,97,.267,.310,.438,.748,159,3,5,4,5,0,0,2008,A,DET
Magglio Ordonez,34,1,4,4,1,1,0,0,0,0,0,0,0,0,.250,.250,.250,.500,1,0,0,0,0,0,1,2008,A,DET
Hayden Parrott,20,16,57,55,2,11,0,1,1,6,0,1,2,16,.200,.228,.291,.519,16,1,0,0,0,0,0,2008,A,DET
Kyle Peter*,22,103,465,396,64,104,11,1,0,34,42,12,57,80,.263,.359,.295,.654,117,6,5,2,5,0,0,2008,A,DET
Keith Stein*,22,13,51,43,3,4,0,0,1,6,0,0,6,12,.093,.216,.163,.378,7,1,1,0,1,0,0,2008,A,DET
Roger Tomas#,22,58,237,210,28,65,1,2,1,20,6,4,17,32,.310,.362,.348,.710,73,6,2,5,3,0,0,2008,A,DET
Joseph Tucker,24,96,413,367,46,105,17,1,3,42,5,8,22,48,.286,.341,.362,.704,133,13,13,3,8,0,0,2008,A,DET
Casper Wells,23,50,211,179,30,43,7,0,10,26,17,5,22,39,.240,.351,.447,.798,80,2,9,0,1,0,1,2008,A,DET
Chris White#,20,23,79,74,11,21,8,0,2,5,5,0,5,13,.284,.329,.473,.802,35,0,0,0,0,0,0,2008,A,DET
