Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Cory Aldridge*,29,49,195,167,23,45,6,1,10,40,2,4,25,37,.269,.361,.497,.858,83,2,0,1,2,2,1
Cody Clark,26,40,112,103,9,19,3,0,4,14,1,1,5,19,.184,.234,.330,.564,34,1,2,1,1,0,1
Adam Donachie,24,91,308,264,30,56,8,0,5,29,1,1,37,71,.212,.310,.299,.609,79,4,1,5,1,0,0
Jose Duarte,23,133,585,528,68,132,19,2,10,47,28,8,50,91,.250,.313,.350,.663,185,8,0,3,4,0,0
Irving Falu#,25,101,405,362,57,109,11,2,5,42,11,9,38,31,.301,.367,.384,.751,139,7,0,4,1,0,1
Kila Ka'aihue*,24,91,376,287,64,90,11,0,26,79,3,2,80,41,.314,.463,.624,1.086,179,3,4,0,5,7,1
Mario Lisson,24,130,531,476,57,107,23,3,14,65,31,6,33,105,.225,.284,.374,.658,178,17,9,7,6,1,0
Ed Lucas,26,79,303,270,38,82,10,4,4,30,14,7,29,47,.304,.372,.415,.787,112,4,1,2,1,0,1
Marc Maddox,24,127,518,453,69,128,30,0,4,30,15,12,48,73,.283,.363,.375,.738,170,14,10,5,2,0,0
Brian McFall,24,106,404,348,42,84,16,2,18,61,7,6,39,103,.241,.329,.454,.783,158,6,9,3,5,0,0
Juan Richardson,29,133,559,494,90,146,36,2,16,82,2,5,54,93,.296,.370,.474,.844,234,17,7,0,4,2,0
Angel Sanchez,24,63,277,241,28,63,7,2,1,23,4,4,28,40,.261,.338,.320,.658,77,5,1,5,2,0,1
Ovandy Suero#,26,98,363,328,39,83,12,5,2,24,42,16,19,61,.253,.302,.338,.641,111,8,5,9,2,0,0
Kiel Thibault,24,31,109,100,7,16,6,0,0,9,5,0,5,23,.160,.196,.220,.416,22,3,0,2,2,0,0
Geraldo Valentin,25,70,275,256,19,64,10,1,3,19,1,4,10,25,.250,.277,.332,.609,85,12,1,4,4,1,0
