Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Jeff Bailey,29,109,494,418,88,126,28,3,25,75,5,2,62,90,.301,.405,.562,.967,235,8,12,0,2,1,1,2008,AAA,BOS
Dusty Brown,26,84,350,297,39,86,14,2,12,55,0,0,40,81,.290,.377,.471,.849,140,7,6,0,7,1,1,2008,AAA,BOS
Chris Carter*,25,121,522,470,65,141,25,2,24,81,0,0,41,84,.300,.356,.515,.871,242,10,4,0,7,6,1,2008,AAA,BOS
Sean Casey*,33,2,7,6,3,3,1,0,0,0,0,0,1,1,.500,.571,.667,1.238,4,0,0,0,0,0,1,2008,AAA,BOS
Alex Cora*,32,3,11,11,2,3,0,0,0,0,0,0,0,2,.273,.273,.273,.545,3,1,0,0,0,0,1,2008,AAA,BOS
Jeff Corsaletti*,25,44,172,151,23,35,11,2,2,13,1,1,18,35,.232,.320,.371,.691,56,2,2,0,1,0,0,2008,AAA,BOS
Sean Danielson#,25,83,280,252,30,62,8,3,1,21,19,3,23,75,.246,.312,.313,.625,79,3,1,4,0,0,0,2008,AAA,BOS
Keith Ginter,32,123,520,444,49,111,21,0,7,54,5,1,55,91,.250,.347,.345,.691,153,13,14,1,6,2,1,2008,AAA,BOS
Tony Granadillo,23,1,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0,2008,AAA,BOS
Bobby Kielty#,31,28,112,92,9,21,4,1,3,18,0,0,17,26,.228,.348,.391,.740,36,2,1,0,2,1,1,2008,AAA,BOS
George Kottaras*,25,107,462,395,63,96,18,0,22,65,0,0,64,110,.243,.348,.456,.804,180,6,1,0,2,3,1,2008,AAA,BOS
Jason Lane,31,13,62,53,10,11,4,0,2,9,0,0,8,14,.208,.306,.396,.703,21,1,0,0,1,1,1,2008,AAA,BOS
Mike Lowell,34,3,14,13,0,3,0,0,0,3,0,0,0,1,.231,.214,.231,.445,3,0,0,0,1,0,1,2008,AAA,BOS
Jed Lowrie#,24,53,234,198,35,53,14,2,5,32,1,0,31,43,.268,.359,.434,.793,86,5,0,0,5,2,1,2008,AAA,BOS
Sandy Madera,27,35,131,113,18,33,8,0,6,25,0,0,14,25,.292,.374,.522,.896,59,5,2,0,2,0,0,2008,AAA,BOS
Brandon Moss*,24,43,182,163,29,46,8,4,8,30,2,0,16,47,.282,.346,.528,.874,86,1,1,0,2,0,1,2008,AAA,BOS
Jeff Natale,25,25,100,82,12,23,2,1,3,11,0,0,11,11,.280,.410,.439,.849,36,1,7,0,0,0,0,2008,AAA,BOS
David Ortiz*,32,3,12,9,4,3,0,0,3,5,0,0,3,2,.333,.500,1.333,1.833,12,0,0,0,0,0,1,2008,AAA,BOS
Bryan Pritz,26,28,98,91,11,24,8,0,0,10,0,1,7,17,.264,.316,.352,.668,32,1,0,0,0,0,0,2008,AAA,BOS
David Ross,31,6,29,28,4,7,1,0,1,3,0,0,1,7,.250,.276,.393,.669,11,1,0,0,0,0,1,2008,AAA,BOS
Chad Spann,24,56,200,184,21,34,5,0,3,20,1,1,12,53,.185,.236,.261,.497,48,6,1,1,2,0,0,2008,AAA,BOS
Joe Thurston*,28,126,575,507,84,160,28,5,11,64,19,11,35,75,.316,.367,.456,.823,231,8,11,14,8,1,1,2008,AAA,BOS
Jonathan Van Every*,28,119,442,380,84,100,15,3,26,70,6,1,54,157,.263,.360,.524,.884,199,4,4,3,1,1,1,2008,AAA,BOS
Gil Velazquez,28,101,386,350,54,91,17,4,10,46,3,3,22,73,.260,.310,.417,.727,146,13,5,5,4,0,1,2008,AAA,BOS
Josh Wilson,27,27,122,112,16,25,6,0,2,10,2,0,5,23,.223,.287,.330,.617,37,4,5,0,0,0,1,2008,AAA,BOS
