Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Brock Bond#,22,45,183,155,26,46,6,0,0,19,9,3,20,31,.297,.394,.335,.730,52,6,5,3,0,0,0
Brad Boyer*,24,75,313,264,42,92,12,5,7,45,15,5,36,53,.348,.436,.511,.948,135,5,6,6,1,1,0
Dayton Buller,27,9,39,34,9,9,3,0,1,5,2,1,3,12,.265,.342,.441,.783,15,0,1,1,0,0,0
Juan Ciriaco,24,41,99,87,5,15,2,0,0,7,1,1,7,17,.172,.229,.195,.425,17,3,0,3,2,0,0
Andy D'Alessio*,23,121,494,459,56,120,33,1,15,78,5,4,32,133,.261,.309,.436,.745,200,4,0,2,1,2,0
Travis Denker,22,5,22,18,3,4,0,0,1,4,0,0,3,2,.222,.364,.389,.753,7,1,1,0,0,0,1
Matt Downs,24,109,489,437,74,133,30,1,17,75,24,13,34,57,.304,.357,.494,.851,216,9,5,7,6,0,1
Dom Duggan,23,46,93,85,20,21,9,0,0,12,5,2,4,27,.247,.293,.353,.646,30,1,2,1,1,0,0
Bobby Felmy*,24,126,532,481,62,136,25,3,6,58,18,7,35,79,.283,.340,.385,.724,185,8,8,5,3,1,0
Darren Ford,22,38,155,128,21,28,4,1,0,7,14,1,23,42,.219,.346,.266,.612,34,1,2,2,0,1,1
Tyler Graham,24,84,342,303,51,80,10,2,2,29,47,14,21,54,.264,.324,.330,.654,100,5,7,9,2,0,1
Tyler LaTorre*,25,45,121,99,9,25,3,0,2,8,1,2,19,29,.253,.373,.343,.716,34,1,0,3,0,0,0
Mike McBryde,23,125,480,420,73,124,10,6,5,46,31,10,37,84,.295,.368,.383,.751,161,7,12,10,1,1,0
Mike Mooney,25,51,194,173,30,47,15,1,10,25,11,3,14,48,.272,.342,.543,.885,94,3,5,1,1,0,0
Daniel Ortmeier#,27,8,35,29,1,4,0,0,1,1,1,0,5,15,.138,.286,.241,.527,7,0,1,0,0,0,1
Brett Pill,23,131,508,458,73,122,32,0,9,65,5,2,33,85,.266,.321,.395,.716,181,13,8,0,9,1,1
Ryan Rohlinger,24,73,322,277,45,79,16,0,7,46,5,1,34,50,.285,.368,.419,.786,116,6,5,1,5,0,1
Pablo Sandoval#,21,68,301,273,61,98,25,2,12,59,2,1,23,39,.359,.412,.597,1.009,163,1,3,0,2,2,1
Elio Sarmiento#,22,26,77,68,7,17,4,0,1,7,0,0,4,13,.250,.316,.353,.669,24,1,3,1,1,0,0
Sharlon Schoop,21,125,450,398,54,98,18,1,7,52,7,3,35,88,.246,.305,.349,.655,139,13,2,8,7,0,0
Jesse Shriner,23,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,0
Omar Vizquel#,41,3,10,8,3,3,0,0,0,1,0,0,2,0,.375,.500,.375,.875,3,0,0,0,0,0,1
Jackson Williams,22,50,178,156,11,36,5,0,3,16,2,3,15,40,.231,.309,.321,.629,50,2,3,3,1,0,1
