Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Chris Snyder,27,115,404,334,47,79,22,1,16,64,0,0,56,101,.237,.348,.452,.800,151,7,4,5,5,5,1
Chad Tracy*,28,88,292,273,25,73,16,0,8,39,0,0,16,49,.267,.308,.414,.722,113,5,1,0,2,2,1
Orlando Hudson#,30,107,455,407,54,124,29,3,8,41,4,1,40,62,.305,.367,.450,.817,183,18,2,3,3,2,1
Stephen Drew*,25,152,663,611,91,178,44,11,21,67,3,3,41,109,.291,.333,.502,.836,307,5,1,3,7,6,1
Mark Reynolds,24,152,613,539,87,129,28,3,28,97,11,2,64,204,.239,.320,.458,.779,247,10,3,1,6,0,1
Conor Jackson,26,144,612,540,87,162,31,6,12,75,10,2,59,61,.300,.376,.446,.823,241,14,9,1,3,3,1
Chris Young,24,160,699,625,85,155,42,7,22,85,14,5,62,165,.248,.315,.443,.758,277,10,1,6,5,2,1
Justin Upton,20,108,417,356,52,89,19,6,15,42,1,4,54,121,.250,.353,.463,.816,165,3,4,0,3,6,1
Augie Ojeda#,33,105,272,231,27,56,9,2,0,17,0,0,26,24,.242,.343,.299,.642,69,6,10,4,1,2,1
Eric Byrnes,32,52,224,206,28,43,13,1,6,23,4,4,16,36,.209,.272,.369,.641,76,5,2,0,0,0,1
Miguel Montero*,24,70,207,184,24,47,16,1,5,18,0,0,19,49,.255,.330,.435,.765,80,1,2,1,1,3,1
Chris Burke,28,86,199,165,20,32,5,1,2,12,5,0,27,33,.194,.310,.273,.582,45,2,2,2,3,8,1
Adam Dunn*,28,44,187,144,21,35,9,0,8,26,1,0,42,44,.243,.417,.472,.889,68,3,1,0,0,7,1
Jeff Salazar*,27,90,152,128,17,27,5,3,2,12,0,2,21,41,.211,.331,.344,.675,44,2,2,1,0,1,1
Alex Romero*,24,78,142,135,13,31,8,2,1,12,4,0,3,20,.230,.250,.341,.591,46,3,1,2,1,0,1
Tony Clark#,36,38,77,63,7,13,2,0,2,13,0,0,12,23,.206,.338,.333,.671,21,6,1,0,1,1,1
David Eckstein,33,18,73,64,5,14,3,0,1,4,0,0,7,5,.219,.301,.313,.614,20,1,1,0,1,0,1
Robby Hammock,31,18,48,42,4,8,1,0,0,2,0,0,5,9,.190,.292,.214,.506,9,0,1,0,0,1,1
Jamie D'Antona,26,18,19,17,2,3,0,0,0,1,0,0,2,4,.176,.263,.176,.440,3,0,0,0,0,0,1
Emilio Bonifacio#,23,8,12,12,3,2,1,0,0,2,1,0,0,5,.167,.167,.250,.417,3,0,0,0,0,0,1
Josh Whitesell*,26,7,9,7,1,2,0,0,1,1,0,0,1,2,.286,.444,.714,1.159,5,0,1,0,0,0,1
