Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Jonathan Arias,20,35,132,113,15,27,2,2,2,16,1,0,11,31,.239,.313,.345,.658,39,2,3,1,4,0,0,2008,Rookie,SEA
Fred Bello,20,7,22,21,1,6,0,0,0,2,0,1,0,6,.286,.286,.286,.571,6,1,0,1,0,0,0,2008,Rookie,SEA
Deybis Benitez,21,36,136,121,25,34,10,0,3,17,0,0,10,26,.281,.341,.438,.779,53,2,2,1,2,0,0,2008,Rookie,SEA
Dwight Britton,20,57,219,198,37,50,10,3,6,25,7,7,12,69,.253,.312,.424,.736,84,1,6,1,2,0,0,2008,Rookie,SEA
Jermaine Brock*,21,6,17,15,0,2,1,0,0,2,1,1,1,2,.133,.188,.200,.388,3,0,0,1,0,0,0,2008,Rookie,SEA
Juan Fuentes,22,59,241,208,28,70,18,1,2,40,0,1,28,30,.337,.407,.462,.868,96,7,0,0,5,0,0,2008,Rookie,SEA
Kylee Hash#,20,4,9,9,0,2,0,0,0,1,0,0,0,0,.222,.222,.222,.444,2,0,0,0,0,0,0,2008,Rookie,SEA
Tommy Johnson,22,36,129,119,15,41,8,0,1,12,0,0,6,23,.345,.381,.437,.818,52,5,1,3,0,0,0,2008,Rookie,SEA
Mario Martinez,18,64,270,251,43,80,15,3,5,32,2,2,10,47,.319,.344,.462,.807,116,9,3,0,6,0,0,2008,Rookie,SEA
Gabriel Noriega,17,41,159,151,11,36,4,2,0,18,6,1,6,43,.238,.266,.291,.557,44,0,0,1,1,0,0,2008,Rookie,SEA
Anthony Phillips,18,14,66,56,7,11,1,0,0,4,4,2,7,13,.196,.292,.214,.507,12,0,1,1,1,0,0,2008,Rookie,SEA
Jose Rivero,18,63,260,223,38,56,5,3,5,33,6,2,22,67,.251,.336,.368,.704,82,9,9,1,5,0,0,2008,Rookie,SEA
Kalian Sams,21,32,122,108,16,22,3,1,10,20,1,1,11,47,.204,.295,.528,.823,57,2,3,0,0,0,0,2008,Rookie,SEA
Kris Sanchez*,24,45,154,134,26,45,12,0,11,36,1,0,19,33,.336,.422,.672,1.094,90,4,1,0,0,1,0,2008,Rookie,SEA
Jake Shaffer*,20,31,103,93,18,23,4,1,1,7,10,3,9,19,.247,.314,.344,.658,32,3,0,1,0,0,0,2008,Rookie,SEA
George Soto,22,42,155,142,15,28,3,0,0,6,1,2,10,37,.197,.260,.218,.478,31,2,2,1,0,0,0,2008,Rookie,SEA
Blake Trinkler,20,42,154,131,18,27,6,1,2,14,0,2,18,50,.206,.320,.313,.633,41,3,4,1,0,1,0,2008,Rookie,SEA
Guy Welsh,23,45,156,128,20,38,8,0,3,17,0,2,24,25,.297,.410,.430,.840,55,6,2,0,2,0,0,2008,Rookie,SEA
