Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
J.D. Alfaro,21,27,108,101,9,17,2,0,1,2,3,1,5,21,.168,.206,.218,.423,22,2,0,1,1,0,0,2009,A,KCR
Jose Bonilla,20,100,387,351,43,76,12,3,5,36,6,4,29,92,.217,.281,.311,.591,109,4,3,2,2,0,0,2009,A,KCR
Jarrod Dyson*,24,17,75,67,14,23,2,1,0,5,9,4,5,14,.343,.397,.403,.800,27,0,1,2,0,0,1,2009,A,KCR
Chase Fontaine*,23,27,109,100,13,29,7,1,2,13,0,3,7,22,.290,.339,.440,.779,44,1,1,0,1,0,0,2009,A,KCR
Nick Francis,23,113,447,415,59,114,24,4,16,66,13,6,28,122,.275,.320,.467,.787,194,6,1,0,3,1,0,2009,A,KCR
Angel Franco#,19,16,57,49,5,9,2,0,0,7,1,1,5,5,.184,.259,.224,.484,11,0,0,3,0,0,0,2009,A,KCR
Fernando Garcia#,20,96,372,296,50,77,12,5,1,22,29,15,61,56,.260,.392,.345,.737,102,1,4,10,1,1,0,2009,A,KCR
Juan Graterol,20,29,98,87,10,27,4,0,0,10,2,0,6,12,.310,.354,.356,.710,31,2,1,2,2,0,1,2009,A,KCR
Shawn Griffin*,22,53,203,186,19,53,13,1,3,26,1,6,14,52,.285,.335,.414,.749,77,2,1,0,2,0,0,2009,A,KCR
Eric Hosmer*,19,79,327,280,31,71,17,2,5,49,3,2,44,68,.254,.352,.382,.734,107,10,0,0,3,3,1,2009,A,KCR
Antonio Jimenez,22,58,204,197,20,43,9,4,1,22,5,3,2,49,.218,.230,.320,.550,63,7,2,0,3,0,0,2009,A,KCR
Marc Maddox,25,15,65,51,8,7,1,0,0,1,2,1,10,8,.137,.297,.157,.454,8,0,2,1,1,0,0,2009,A,KCR
Kyle Martin,24,37,153,134,18,25,6,1,1,13,3,0,11,28,.187,.261,.269,.530,36,3,4,0,4,0,0,2009,A,KCR
Sean McCauley,20,51,185,167,16,37,8,1,1,14,2,0,14,29,.222,.284,.299,.584,50,5,1,2,1,1,0,2009,A,KCR
Yeldrys Molina,20,34,110,95,8,18,4,2,0,12,2,0,10,22,.189,.269,.274,.542,26,3,1,2,2,0,0,2009,A,KCR
Jason Morales,23,20,75,70,12,21,6,2,1,12,2,1,3,13,.300,.338,.486,.824,34,1,1,1,0,0,0,2009,A,KCR
Patrick Norris#,23,116,430,393,54,96,3,4,0,22,45,9,31,80,.244,.304,.272,.576,107,1,3,2,1,0,0,2009,A,KCR
Adrian Ortiz*,22,43,187,176,21,43,8,2,0,19,10,2,6,21,.244,.268,.313,.580,55,1,0,4,1,0,0,2009,A,KCR
Alwin Perez*,22,8,19,18,0,3,0,0,0,1,0,0,0,10,.167,.167,.167,.333,3,0,0,1,0,0,0,2009,A,KCR
Salvador Perez,19,36,137,127,10,24,6,0,0,7,0,1,6,15,.189,.230,.236,.466,30,3,1,2,1,0,1,2009,A,KCR
Hilton Richardson*,20,8,28,26,2,4,2,0,0,2,2,0,1,10,.154,.185,.231,.416,6,0,0,1,0,0,0,2009,A,KCR
Juan Rivera#,22,35,124,118,11,27,2,2,1,9,7,4,5,26,.229,.258,.305,.563,36,2,0,0,1,1,0,2009,A,KCR
Jason Taylor,21,57,230,202,29,55,14,2,2,27,17,10,26,31,.272,.357,.391,.748,79,1,1,0,1,3,0,2009,A,KCR
Wilson Tucker,24,27,84,78,10,11,3,0,2,9,1,0,5,22,.141,.190,.256,.447,20,1,0,0,1,0,0,2009,A,KCR
Nick Van Stratten,24,69,291,255,50,81,20,5,1,38,15,6,28,32,.318,.393,.447,.840,114,2,5,1,2,0,0,2009,A,KCR
David Wood*,24,111,445,411,55,111,26,3,8,62,7,4,29,70,.270,.318,.406,.724,167,5,1,1,3,0,0,2009,A,KCR
Ryan Wood,22,33,114,97,19,23,5,1,2,12,1,0,13,20,.237,.327,.371,.699,36,1,1,1,2,0,0,2009,A,KCR
