Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Matt Arburr,23,29,98,89,10,14,2,0,5,9,0,0,8,44,.157,.235,.348,.583,31,3,1,0,0,0,0,2009,Adv A,STL
Domnit Bolivar,20,73,274,256,19,58,12,1,1,19,4,2,13,76,.227,.267,.293,.560,75,4,1,4,0,0,0,2009,Adv A,STL
Andrew Brown,24,4,14,11,1,2,1,1,0,2,0,0,2,4,.182,.357,.455,.812,5,1,1,0,0,0,1,2009,Adv A,STL
Matt Carpenter*,23,32,128,114,13,25,6,1,2,9,1,0,10,24,.219,.286,.342,.628,39,3,1,2,1,0,1,2009,Adv A,STL
Alex Castellanos,22,21,56,53,5,10,1,1,1,2,0,2,2,19,.189,.232,.302,.534,16,2,1,0,0,0,1,2009,Adv A,STL
Adron Chambers*,22,122,517,448,66,127,17,16,1,46,21,12,47,96,.283,.370,.400,.770,179,7,16,4,2,0,1,2009,Adv A,STL
Jermaine Curtis,21,90,369,314,36,62,7,0,1,24,7,4,34,52,.197,.301,.229,.531,72,6,14,4,3,0,1,2009,Adv A,STL
Charlie Cutler*,22,44,181,146,25,40,10,2,1,15,2,0,25,22,.274,.406,.390,.796,57,7,8,1,1,0,0,2009,Adv A,STL
Luis De La Cruz,20,4,13,13,0,2,1,0,0,0,0,0,0,4,.154,.154,.231,.385,3,0,0,0,0,0,0,2009,Adv A,STL
Nick Derba,23,30,114,91,13,18,4,0,1,2,1,1,20,31,.198,.354,.275,.629,25,0,2,1,0,0,0,2009,Adv A,STL
Jose Garcia,21,74,270,244,36,63,10,1,1,17,14,6,15,30,.258,.300,.320,.620,78,4,1,7,3,0,0,2009,Adv A,STL
Troy Glaus,32,6,26,25,2,5,1,0,0,4,0,0,1,6,.200,.231,.240,.471,6,1,0,0,0,0,1,2009,Adv A,STL
Charles Kingrey*,24,14,50,47,5,6,2,0,0,1,0,0,2,18,.128,.180,.170,.350,8,0,1,0,0,0,0,2009,Adv A,STL
Pete Kozma,21,18,84,73,8,23,5,0,0,8,1,0,8,16,.315,.381,.384,.765,28,0,1,0,2,0,1,2009,Adv A,STL
Aaron Luna,22,54,228,186,29,47,11,4,8,34,3,2,22,41,.253,.374,.484,.858,90,7,16,1,3,0,0,2009,Adv A,STL
Oliver Marmol,22,74,223,186,22,38,10,1,2,13,5,3,18,55,.204,.321,.301,.622,56,4,15,2,2,0,0,2009,Adv A,STL
Osvaldo Morales,21,24,82,75,5,16,5,0,0,8,0,0,5,30,.213,.256,.280,.536,21,1,0,0,2,0,0,2009,Adv A,STL
Kevin Moscatel,18,4,9,9,0,1,0,0,0,1,0,0,0,1,.111,.111,.111,.222,1,0,0,0,0,0,0,2009,Adv A,STL
Blake Murphy,24,45,156,136,12,22,7,1,2,9,1,0,16,41,.162,.255,.272,.527,37,1,1,3,0,0,0,2009,Adv A,STL
Shane Peterson*,21,76,319,285,32,85,11,4,6,39,10,1,21,52,.298,.367,.428,.795,122,5,11,0,2,4,1,2009,Adv A,STL
Tommy Pham,21,114,380,336,47,78,15,5,8,44,18,6,36,102,.232,.313,.378,.691,127,6,4,3,1,1,1,2009,Adv A,STL
Francisco Rivera*,20,99,364,338,27,85,18,3,3,38,2,1,20,52,.251,.297,.349,.646,118,7,3,0,3,2,0,2009,Adv A,STL
Colt Sedbrook,23,67,275,224,29,50,7,2,2,19,10,3,29,48,.223,.352,.299,.651,67,8,16,5,1,0,0,2009,Adv A,STL
Curt Smith,22,94,399,371,44,106,15,3,10,56,1,3,15,67,.286,.319,.423,.742,157,19,6,1,6,1,0,2009,Adv A,STL
Chris Swauger*,22,87,312,289,35,79,19,4,7,41,4,2,14,45,.273,.318,.439,.758,127,7,6,1,2,2,0,2009,Adv A,STL
Paul Vasquez,24,44,156,150,11,38,6,1,3,17,1,2,3,29,.253,.277,.367,.644,55,6,2,1,0,0,0,2009,Adv A,STL
