Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Brian McCann*,25,138,551,488,63,137,35,1,21,94,4,1,49,83,.281,.349,.486,.834,237,17,5,3,6,3,1,2009,MLB,ATL
Casey Kotchman*,26,87,336,298,28,84,20,0,6,41,0,0,32,28,.282,.354,.409,.764,122,7,3,0,3,6,1,2009,MLB,ATL
Kelly Johnson*,27,106,346,303,47,68,20,3,8,29,7,2,32,54,.224,.303,.389,.692,118,4,3,6,2,1,1,2009,MLB,ATL
Yunel Escobar,26,141,604,528,89,158,26,2,14,76,5,4,57,62,.299,.377,.436,.812,230,21,10,7,2,3,1,2009,MLB,ATL
Chipper Jones#,37,143,596,488,80,129,23,2,18,71,4,1,101,89,.264,.388,.430,.818,210,14,1,0,6,18,1,2009,MLB,ATL
Garret Anderson*,37,135,534,496,52,133,27,0,13,61,1,0,27,73,.268,.303,.401,.705,199,11,2,0,9,2,1,2009,MLB,ATL
Nate McLouth*,27,84,396,339,59,87,20,1,11,36,12,6,47,70,.257,.354,.419,.773,142,6,5,3,2,1,1,2009,MLB,ATL
Jeff Francoeur,25,82,324,304,32,76,12,2,5,35,5,1,12,46,.250,.282,.352,.634,107,10,3,1,4,2,1,2009,MLB,ATL
Martin Prado,25,128,503,450,64,138,38,0,11,49,1,3,36,59,.307,.358,.464,.822,209,17,2,11,4,1,1,2009,MLB,ATL
Matt Diaz,31,125,425,371,56,116,18,4,13,58,12,5,35,90,.313,.390,.488,.878,181,14,13,5,1,2,1,2009,MLB,ATL
Adam LaRoche*,29,57,242,212,30,69,11,1,12,40,0,0,28,59,.325,.401,.557,.957,118,1,0,0,2,6,1,2009,MLB,ATL
Omar Infante,27,70,229,203,24,62,9,1,2,27,2,0,19,28,.305,.361,.389,.750,79,5,1,2,4,0,1,2009,MLB,ATL
Jordan Schafer*,22,50,195,167,18,34,8,0,2,8,2,1,27,63,.204,.313,.287,.600,48,2,0,0,1,3,1,2009,MLB,ATL
David Ross,32,54,151,128,18,35,9,0,7,20,0,0,21,39,.273,.380,.508,.888,65,1,1,1,0,0,1,2009,MLB,ATL
Ryan Church*,30,44,144,127,20,33,12,0,2,18,0,0,16,22,.260,.347,.402,.749,51,4,1,0,0,2,1,2009,MLB,ATL
Greg Norton#,36,95,97,76,3,11,2,0,0,7,0,0,20,20,.145,.330,.171,.501,13,1,1,0,0,0,1,2009,MLB,ATL
Diory Hernandez,25,33,93,85,6,12,3,0,1,6,0,1,6,22,.141,.198,.212,.410,18,4,0,2,0,3,1,2009,MLB,ATL
Brooks Conrad#,29,30,58,54,7,11,1,2,2,8,0,0,3,14,.204,.259,.407,.666,22,1,1,0,0,1,1,2009,MLB,ATL
Gregor Blanco*,25,24,48,43,5,8,0,1,0,1,2,0,4,9,.186,.255,.233,.488,10,1,0,1,0,0,1,2009,MLB,ATL
Reid Gorecki,28,31,27,25,6,5,0,0,0,3,1,0,1,12,.200,.222,.200,.422,5,0,0,0,1,0,1,2009,MLB,ATL
Bárbaro Cañizares,29,5,21,21,1,4,1,0,0,0,0,0,0,6,.190,.190,.238,.429,5,0,0,0,0,0,1,2009,MLB,ATL
Brandon Jones*,25,5,17,13,2,4,0,0,0,1,0,0,4,3,.308,.471,.308,.778,4,0,0,0,0,0,1,2009,MLB,ATL
Clint Sammons,26,6,12,11,1,2,0,0,0,0,0,0,1,3,.182,.250,.182,.432,2,0,0,0,0,0,1,2009,MLB,ATL
Brian Barton,27,1,0,0,0,0,0,0,0,0,0,1,0,0,,,,,0,0,0,0,0,0,1,2009,MLB,ATL
