Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Yadier Molina,26,140,544,481,45,141,23,1,6,54,9,3,50,39,.293,.366,.383,.749,184,27,6,6,1,2,1,2009,MLB,STL
Albert Pujols,29,160,700,568,124,186,45,1,47,135,16,4,115,64,.327,.443,.658,1.101,374,23,9,0,8,44,1,2009,MLB,STL
Skip Schumaker*,29,153,586,532,85,161,34,1,4,35,2,2,52,69,.303,.364,.393,.757,209,4,0,1,1,2,1,2009,MLB,STL
Brendan Ryan,27,129,429,390,55,114,19,7,3,37,14,7,24,56,.292,.340,.400,.740,156,9,6,6,3,3,1,2009,MLB,STL
Mark DeRosa,34,68,262,237,31,54,10,1,10,28,2,1,18,58,.228,.291,.405,.696,96,5,4,1,2,0,1,2009,MLB,STL
Matt Holliday,29,63,270,235,42,83,16,2,13,55,2,4,26,43,.353,.419,.604,1.023,142,5,4,0,5,5,1,2009,MLB,STL
Colby Rasmus*,22,147,520,474,72,119,22,2,16,52,3,1,36,95,.251,.307,.407,.714,193,5,3,5,2,3,1,2009,MLB,STL
Ryan Ludwick,30,139,542,486,63,129,20,1,22,97,4,2,41,106,.265,.329,.447,.775,217,5,7,1,4,3,1,2009,MLB,STL
Rick Ankiel*,29,122,404,372,50,86,21,2,11,38,4,3,26,99,.231,.285,.387,.672,144,5,3,0,3,4,1,2009,MLB,STL
Joe Thurston*,29,124,307,267,27,60,17,4,1,25,4,2,33,56,.225,.316,.330,.645,88,9,3,3,1,5,1,2009,MLB,STL
Chris Duncan*,28,87,304,260,25,59,15,2,5,32,0,1,41,67,.227,.329,.358,.687,93,6,0,0,3,1,1,2009,MLB,STL
Khalil Greene,29,77,193,170,21,34,7,0,6,24,2,1,15,35,.200,.272,.347,.619,59,5,3,2,3,1,1,2009,MLB,STL
Julio Lugo,33,51,170,148,24,41,9,4,2,13,6,0,17,27,.277,.351,.432,.784,64,3,1,2,2,0,1,2009,MLB,STL
Tyler Greene,25,48,116,108,9,24,5,0,2,7,3,0,4,32,.222,.270,.324,.594,35,2,3,1,0,0,1,2009,MLB,STL
Brian Barden,28,52,114,103,13,24,3,0,4,10,0,0,6,21,.233,.286,.379,.664,39,3,2,2,1,0,1,2009,MLB,STL
Jason LaRue,35,51,112,104,10,25,3,0,2,6,1,0,3,22,.240,.288,.327,.615,34,3,4,1,0,0,1,2009,MLB,STL
Nick Stavinoha,27,39,91,87,6,20,7,0,2,17,1,0,2,15,.230,.242,.379,.621,33,2,0,0,2,0,1,2009,MLB,STL
David Freese,26,17,34,31,3,10,2,0,1,7,0,0,2,7,.323,.353,.484,.837,15,1,0,0,1,0,1,2009,MLB,STL
Troy Glaus,32,14,32,29,2,5,2,0,0,2,0,0,3,8,.172,.250,.241,.491,7,1,0,0,0,0,1,2009,MLB,STL
Shane Robinson,24,11,26,25,1,6,1,0,0,1,1,0,0,2,.240,.231,.280,.511,7,1,0,0,1,0,1,2009,MLB,STL
Jarrett Hoffpauir,26,8,16,12,1,3,2,0,0,2,0,0,4,2,.250,.438,.417,.854,5,1,0,0,0,0,1,2009,MLB,STL
Matt Pagnozzi,26,6,5,3,1,0,0,0,0,0,0,0,1,0,.000,.250,.000,.250,0,0,0,1,0,0,1,2009,MLB,STL
