Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Tony Brown*,21,1,4,3,1,2,0,1,0,1,0,0,1,1,.667,.750,1.333,2.083,4,0,0,0,0,0,0
Shane Carlson,22,8,32,27,2,6,2,0,0,3,0,0,5,4,.222,.344,.296,.640,8,2,0,0,0,0,0
Petr Cech*,21,6,10,9,1,3,0,0,0,1,0,0,1,4,.333,.400,.333,.733,3,0,0,0,0,0,0
Sean Conner*,21,64,261,241,26,57,18,2,6,31,1,1,15,66,.237,.290,.402,.692,97,1,3,2,0,0,0
Efrain Contreras,22,46,178,153,30,46,7,2,2,14,6,1,20,39,.301,.395,.412,.807,63,3,4,1,0,0,0
John Dao,23,19,60,53,6,10,1,0,0,0,2,0,4,8,.189,.271,.208,.479,11,4,2,1,0,0,0
Mark Fleury*,21,39,149,131,20,26,8,2,4,17,0,1,15,27,.198,.284,.382,.665,50,4,1,1,1,0,0
Josh Garton*,21,37,140,127,17,26,12,0,2,7,1,1,9,45,.205,.271,.346,.618,44,4,3,0,1,0,0
Didi Gregorius*,19,50,225,204,28,64,10,1,1,16,8,6,12,27,.314,.363,.387,.750,79,6,5,2,2,1,1
Yen Wen Kuo*,20,48,207,185,19,49,10,1,1,22,2,0,17,41,.265,.324,.346,.669,64,5,0,3,2,0,0
Derrick Lowery*,21,1,4,3,0,1,0,0,0,0,0,0,1,1,.333,.500,.333,.833,1,0,0,0,0,0,0
Trey Manz*,21,15,54,49,6,15,1,0,3,7,0,1,3,17,.306,.333,.510,.844,25,0,0,0,2,0,0
Chris McMurray,22,26,95,85,8,20,5,2,3,11,0,0,7,23,.235,.316,.447,.763,38,2,3,0,0,0,0
Tommy Nurre,22,33,128,116,14,26,5,0,5,13,0,0,6,21,.224,.291,.397,.688,46,5,5,1,0,0,0
Alex Oliveras*,20,28,132,122,17,33,5,1,1,16,7,1,10,27,.270,.326,.352,.678,43,0,0,0,0,0,0
Frank Pfister,22,63,236,220,21,57,11,1,1,24,3,3,10,25,.259,.292,.332,.624,73,5,1,3,2,0,0
Mauricio Pimentel#,20,33,107,92,10,18,2,0,0,7,4,2,10,22,.196,.286,.217,.503,20,0,2,2,1,1,0
Chris Richburg,23,46,185,157,17,43,10,0,3,20,2,1,22,42,.274,.380,.395,.775,62,5,5,1,0,0,0
Cristobal Rodriguez,19,33,122,116,12,22,6,0,2,15,1,1,5,33,.190,.221,.293,.514,34,3,0,0,1,0,0
Yorman Rodriguez,16,46,193,183,21,40,10,2,3,17,5,2,9,61,.219,.259,.344,.603,63,5,1,0,0,0,1
Humberto Sosa,23,21,89,78,11,28,9,1,2,13,2,0,10,12,.359,.427,.577,1.004,45,3,0,0,1,0,0
Tyler Stovall,23,44,174,160,22,39,7,0,1,13,3,1,10,35,.244,.305,.306,.611,49,4,4,0,0,0,0
Will Stramp,23,17,55,50,6,11,2,0,0,1,3,0,5,23,.220,.291,.260,.551,13,0,0,0,0,0,0
