Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Shawn Bowman,25,106,455,411,66,108,25,0,22,69,2,2,37,96,.263,.330,.484,.814,199,16,5,0,2,1,0
John Buck,29,3,12,11,2,3,0,0,2,6,0,0,1,3,.273,.333,.818,1.152,9,0,0,0,0,0,1
Adam Calderone*,26,69,296,267,38,71,20,2,9,42,6,6,16,64,.266,.311,.457,.768,122,2,5,0,8,0,0
David Cooper*,23,132,553,498,59,128,30,1,20,78,0,0,52,74,.257,.327,.442,.769,220,9,1,0,2,1,1
Callix Crabbe#,27,81,329,285,45,64,16,1,4,27,19,6,31,57,.225,.310,.330,.639,94,5,5,6,2,0,1
Jonathan Diaz,25,99,385,312,48,72,20,1,0,33,4,2,53,48,.231,.355,.301,.657,94,7,9,8,3,0,1
Oliver Dominguez#,21,2,2,2,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,0
Brad Emaus,24,38,170,136,21,37,7,0,5,26,5,0,31,19,.272,.402,.434,.836,59,4,0,1,2,2,1
Adeiny Hechavarria,21,61,273,253,36,69,11,1,3,34,6,3,12,40,.273,.305,.360,.665,91,9,2,1,5,0,1
Jonathan Jaspe#,25,61,223,206,19,49,13,1,3,17,1,0,12,33,.238,.285,.354,.639,73,6,2,2,1,0,0
Brian Jeroloman*,25,81,319,245,37,64,16,0,7,33,0,1,69,91,.261,.429,.412,.842,101,2,4,0,1,0,0
Matt Liuzza,26,37,139,120,11,30,8,0,4,11,0,2,18,34,.250,.353,.417,.769,50,6,1,0,0,0,0
Adam Loewen*,26,129,537,459,70,113,31,3,13,70,17,6,66,142,.246,.351,.412,.763,189,10,9,1,2,1,1
Darin Mastroianni,24,132,617,525,101,158,25,7,4,46,46,10,77,96,.301,.390,.398,.788,209,10,3,7,5,0,1
Manny Mayorson,27,54,220,196,30,62,12,0,0,23,8,0,19,14,.316,.373,.378,.751,74,6,0,3,2,2,0
Ricardo Nanita*,29,6,22,21,2,5,3,0,0,3,0,0,0,3,.238,.227,.381,.608,8,1,0,0,1,0,0
Danny Perales*,25,21,85,75,16,21,4,1,5,9,2,0,4,15,.280,.337,.560,.897,42,3,3,2,1,0,0
Al Quintana,27,16,55,50,5,10,4,0,1,9,0,0,3,16,.200,.255,.340,.595,17,1,1,0,1,0,0
Concepcion Rodriguez,23,6,26,25,0,6,0,0,0,5,1,0,0,6,.240,.231,.240,.471,6,0,0,0,1,0,0
Luis Sanchez,23,38,112,98,8,18,3,0,0,10,1,0,8,25,.184,.245,.214,.460,21,4,1,2,3,0,0
Travis Snider*,22,20,85,81,14,24,5,0,5,17,3,1,2,21,.296,.306,.543,.849,44,3,0,0,2,0,1
Eric Thames*,23,130,573,496,95,143,25,6,27,104,8,5,50,121,.288,.370,.526,.896,261,10,18,2,7,2,1
