Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Matt Davidson,19,21,84,71,6,12,1,0,2,11,0,0,12,25,.169,.298,.268,.565,19,2,1,0,0,1,1,2010,Adv A,ARI
Chris Davis,23,20,68,53,5,11,1,0,0,1,0,1,14,14,.208,.373,.226,.600,12,2,0,1,0,0,0,2010,Adv A,ARI
Alberto Diaz,21,45,158,147,9,30,6,1,0,8,1,0,4,44,.204,.239,.259,.497,38,6,3,3,1,1,0,2010,Adv A,ARI
Victor Estevez,21,20,76,72,2,14,3,0,0,5,0,1,3,16,.194,.237,.236,.473,17,1,1,0,0,1,0,2010,Adv A,ARI
Josh Ford,27,123,489,436,72,119,29,0,19,77,2,0,36,106,.273,.342,.470,.812,205,14,12,0,5,1,0,2010,Adv A,ARI
Niko Gallego,21,39,148,122,18,29,3,2,1,14,4,2,15,28,.238,.343,.320,.662,39,1,5,5,1,0,0,2010,Adv A,ARI
Paul Goldschmidt,22,138,599,525,102,165,42,3,35,108,5,1,57,161,.314,.384,.606,.990,318,9,8,0,9,0,1,2010,Adv A,ARI
Kyle Greene*,24,121,486,416,49,106,26,1,10,57,1,1,60,131,.255,.356,.394,.750,164,5,7,0,3,3,0,2010,Adv A,ARI
Brent Greer,22,107,451,396,43,85,17,1,3,30,6,5,36,110,.215,.298,.285,.583,113,18,12,4,3,0,0,2010,Adv A,ARI
Alex Herrnberger#,23,2,4,4,0,1,0,0,0,1,0,0,0,0,.250,.250,.250,.500,1,0,0,0,0,0,0,2010,Adv A,ARI
Dan Kaczrowski,23,98,421,374,56,100,17,1,3,36,15,3,34,49,.267,.329,.342,.672,128,5,2,8,3,1,0,2010,Adv A,ARI
Marc Krauss*,22,138,596,530,107,160,27,4,25,87,1,3,57,141,.302,.371,.509,.880,270,11,4,0,5,0,1,2010,Adv A,ARI
Justin Mace*,24,38,2,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,2010,Adv A,ARI
Alfredo Marte,21,130,565,516,76,134,26,3,9,61,9,5,34,107,.260,.314,.374,.688,193,14,8,4,3,1,1,2010,Adv A,ARI
Gerson Montilla,20,56,196,170,20,42,9,0,1,16,3,0,13,50,.247,.317,.318,.635,54,2,5,7,1,0,0,2010,Adv A,ARI
Brett Moorhouse,23,21,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,0,2010,Adv A,ARI
Rey Navarro#,20,19,89,79,9,19,2,1,1,7,2,2,8,18,.241,.307,.329,.636,26,1,0,1,1,0,1,2010,Adv A,ARI
Rossmel Perez*,20,98,384,343,42,89,12,0,5,43,1,4,33,47,.259,.324,.338,.662,116,15,2,1,5,1,0,2010,Adv A,ARI
Tim Sherlock*,23,15,39,35,2,4,1,0,0,0,1,0,4,21,.114,.205,.143,.348,5,0,0,0,0,0,0,2010,Adv A,ARI
Ryan Wheeler*,21,113,506,465,62,132,25,2,9,57,3,1,35,98,.284,.340,.404,.744,188,15,5,0,1,2,1,2010,Adv A,ARI
Byron Wiley*,23,10,43,36,9,10,0,0,1,7,2,1,7,11,.278,.395,.361,.756,13,1,0,0,0,0,0,2010,Adv A,ARI
