Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Matt Wieters#,24,130,502,446,37,111,22,1,11,55,0,1,47,94,.249,.319,.377,.695,168,13,2,0,7,7,1
Ty Wigginton,32,154,649,581,63,144,29,1,22,76,0,1,50,116,.248,.312,.415,.727,241,23,8,1,9,3,1
Brian Roberts#,32,59,261,230,28,64,14,0,4,15,12,2,26,40,.278,.354,.391,.745,90,2,2,1,2,1,1
Cesar Izturis#,30,150,513,473,42,109,13,1,1,28,11,5,25,53,.230,.277,.268,.545,127,11,6,7,2,1,1
Miguel Tejada,36,97,428,401,40,108,16,0,7,39,0,0,15,39,.269,.308,.362,.670,145,13,9,0,3,3,1
Felix Pie*,25,82,308,288,39,79,15,5,5,31,5,2,13,52,.274,.305,.413,.718,119,10,1,3,3,0,1
Adam Jones,24,149,621,581,76,165,25,5,19,69,7,7,23,119,.284,.325,.442,.767,257,17,13,2,2,1,1
Nick Markakis*,26,160,709,629,79,187,45,3,12,60,7,2,73,93,.297,.370,.436,.805,274,18,2,0,5,9,1
Luke Scott*,32,131,517,447,70,127,29,1,27,72,2,0,59,98,.284,.368,.535,.902,239,9,4,0,7,4,1
Corey Patterson*,30,90,341,308,43,83,16,1,8,32,21,4,20,75,.269,.315,.406,.721,125,3,1,10,1,2,1
Julio Lugo,34,93,264,241,26,60,4,2,0,20,5,7,15,50,.249,.298,.282,.581,68,6,2,6,0,0,1
Josh Bell#,23,53,161,159,15,34,5,0,3,12,0,1,2,53,.214,.224,.302,.525,48,4,0,0,0,0,1
Garrett Atkins,30,44,152,140,5,30,7,0,1,9,0,0,12,30,.214,.276,.286,.562,40,7,0,0,0,0,1
Nolan Reimold,26,39,131,116,9,24,5,0,3,14,0,0,12,26,.207,.282,.328,.610,38,6,1,0,2,0,1
Craig Tatum,27,43,126,114,11,32,4,0,0,9,1,0,12,21,.281,.349,.316,.665,36,5,0,0,0,0,1
Jake Fox,27,38,105,100,10,22,5,1,5,10,0,0,3,23,.220,.257,.440,.697,44,1,2,0,0,0,1
Scott Moore*,26,41,96,86,8,18,2,0,3,10,3,0,8,19,.209,.274,.337,.611,29,0,0,1,1,1,1
Robert Andino,26,16,66,61,6,18,4,0,2,6,1,1,3,13,.295,.333,.459,.792,28,3,1,0,1,0,1
Luis Montanez,28,26,58,57,2,8,0,0,0,3,1,0,1,9,.140,.155,.140,.296,8,3,0,0,0,0,1
Rhyne Hughes*,26,14,51,47,3,10,2,0,0,4,0,0,4,19,.213,.275,.255,.530,12,0,0,0,0,0,1
Brandon Snyder,23,10,20,20,1,6,2,0,0,3,0,1,0,3,.300,.300,.400,.700,8,0,0,0,0,0,1
Justin Turner,25,5,9,9,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,0,0,0,0,0,0,1
