Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Ryan Doumit#,29,124,456,406,42,102,22,1,13,45,1,0,41,87,.251,.331,.406,.738,165,18,8,0,1,4,1,2010,MLB,PIT
Garrett Jones*,29,158,654,592,64,146,34,1,21,86,7,3,53,123,.247,.306,.414,.720,245,18,1,0,8,2,1,2010,MLB,PIT
Neil Walker#,24,110,469,426,57,126,29,3,12,66,2,3,34,83,.296,.349,.462,.811,197,4,3,2,4,1,1,2010,MLB,PIT
Ronny Cedeno,27,139,502,468,42,120,29,3,8,38,12,3,23,106,.256,.293,.382,.675,179,10,2,7,2,4,1,2010,MLB,PIT
Pedro Alvarez*,23,95,386,347,42,89,21,1,16,64,0,0,37,119,.256,.326,.461,.788,160,8,0,0,2,1,1,2010,MLB,PIT
Jose Tabata,21,102,441,405,61,121,21,4,4,35,19,7,28,57,.299,.346,.400,.746,162,7,2,5,1,0,1,2010,MLB,PIT
Andrew McCutchen,23,154,653,570,94,163,35,5,16,56,33,10,70,89,.286,.365,.449,.814,256,6,5,1,7,1,1,2010,MLB,PIT
Lastings Milledge,25,113,412,379,38,105,21,3,4,34,5,3,28,62,.277,.332,.380,.712,144,7,3,2,0,3,1,2010,MLB,PIT
Andy LaRoche,26,102,271,247,26,51,8,0,4,16,1,1,19,43,.206,.268,.287,.555,71,7,2,2,1,0,1,2010,MLB,PIT
Delwyn Young#,28,110,207,191,22,45,11,1,7,28,1,0,13,52,.236,.286,.414,.700,79,5,1,1,1,0,1,2010,MLB,PIT
Akinori Iwamura*,31,54,193,165,18,30,6,1,2,9,3,1,26,31,.182,.292,.267,.558,44,4,0,1,1,0,1,2010,MLB,PIT
Ryan Church*,31,69,183,170,16,31,11,1,3,18,1,0,12,46,.182,.240,.312,.552,53,3,1,0,0,0,1,2010,MLB,PIT
Bobby Crosby,30,61,175,156,9,35,8,0,1,11,0,2,16,33,.224,.301,.295,.595,46,1,1,2,0,2,1,2010,MLB,PIT
Jeff Clement*,26,54,154,144,11,29,3,0,7,12,0,0,6,37,.201,.237,.368,.605,53,2,1,1,1,3,1,2010,MLB,PIT
Chris Snyder,29,40,142,124,12,21,1,0,5,16,0,0,16,33,.169,.268,.298,.566,37,6,1,0,1,4,1,2010,MLB,PIT
Jason Jaramillo#,27,33,97,87,2,13,2,0,1,6,0,0,8,14,.149,.227,.207,.434,18,7,1,0,1,1,1,2010,MLB,PIT
John Bowker*,26,26,77,69,7,16,5,0,2,13,0,1,8,10,.232,.312,.391,.703,27,3,0,0,0,1,1,2010,MLB,PIT
Steve Pearce,27,15,38,29,4,8,2,1,0,5,0,0,7,6,.276,.395,.414,.809,12,0,0,0,2,0,1,2010,MLB,PIT
Argenis Diaz,23,22,36,33,0,8,1,0,0,2,0,1,3,10,.242,.306,.273,.578,9,1,0,0,0,1,1,2010,MLB,PIT
Erik Kratz,30,9,36,34,2,4,0,0,0,1,0,0,2,9,.118,.167,.118,.284,4,0,0,0,0,0,1,2010,MLB,PIT
Brandon Moss*,26,17,27,26,2,4,1,0,0,2,0,0,1,6,.154,.185,.192,.377,5,1,0,0,0,0,1,2010,MLB,PIT
Alex Presley*,24,19,25,23,2,6,1,0,0,0,1,1,1,8,.261,.292,.304,.596,7,0,0,1,0,0,1,2010,MLB,PIT
John Raynor,26,11,11,10,1,2,0,0,0,0,0,0,1,3,.200,.273,.200,.473,2,0,0,0,0,0,1,2010,MLB,PIT
Pedro Ciriaco,24,8,6,6,3,3,1,1,0,1,0,0,0,3,.500,.500,1.000,1.500,6,0,0,0,0,0,1,2010,MLB,PIT
