Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
Jordan Abruzzo#,25,11,46,43,4,12,3,0,2,11,0,0,1,5,.279,.304,.488,.793,21,1,1,0,1,0,0,2010,Rookie,NYM
Rod Barajas,34,1,4,4,1,1,0,0,1,3,0,0,0,1,.250,.250,1.000,1.250,4,0,0,0,0,0,1,2010,Rookie,NYM
Dylan Brown,22,45,164,139,17,24,2,2,4,9,3,2,16,55,.173,.290,.302,.592,42,2,7,2,0,0,0,2010,Rookie,NYM
Eric Campbell,23,3,11,11,1,3,1,0,0,1,1,0,0,1,.273,.273,.364,.636,4,1,0,0,0,0,1,2010,Rookie,NYM
Julio Concepcion,20,50,191,174,21,49,10,5,4,28,2,2,7,34,.282,.326,.466,.792,81,6,6,1,3,0,0,2010,Rookie,NYM
Yucary De La Cruz,19,40,154,138,16,29,2,0,2,9,5,4,10,28,.210,.260,.268,.528,37,1,0,4,2,0,0,2010,Rookie,NYM
Jeyckol De Leon,19,17,60,54,8,11,0,0,1,6,0,0,1,12,.204,.241,.259,.501,14,2,2,2,1,0,0,2010,Rookie,NYM
Matt den Dekker*,22,5,21,18,2,5,2,0,0,5,0,0,2,5,.278,.350,.389,.739,7,1,0,1,0,0,1,2010,Rookie,NYM
Josh Dunn,19,11,40,36,4,9,1,0,0,5,0,0,2,12,.250,.325,.278,.603,10,0,2,0,0,0,0,2010,Rookie,NYM
Blake Forsythe,20,3,11,10,0,2,0,0,0,0,0,0,1,2,.200,.273,.200,.473,2,0,0,0,0,0,0,2010,Rookie,NYM
Jeff Glenn,18,24,85,78,7,18,4,0,1,4,1,0,6,19,.231,.294,.321,.615,25,0,1,0,0,0,0,2010,Rookie,NYM
Gilbert Gomez,18,45,174,157,25,36,11,2,1,15,7,2,9,31,.229,.289,.344,.633,54,2,5,1,2,0,0,2010,Rookie,NYM
Brian Harrison,21,8,30,27,3,8,3,1,1,3,0,0,2,5,.296,.367,.593,.959,16,1,1,0,0,0,0,2010,Rookie,NYM
Mike Hessman,32,1,4,4,1,2,0,0,0,0,0,0,0,0,.500,.500,.500,1.000,2,0,0,0,0,0,1,2010,Rookie,NYM
Zach Lutz,24,5,20,19,2,6,1,0,1,4,0,0,1,4,.316,.350,.526,.876,10,0,0,0,0,0,1,2010,Rookie,NYM
Cam Maron*,19,20,59,48,8,15,1,1,1,7,0,0,7,8,.313,.411,.438,.848,21,3,1,3,0,0,0,2010,Rookie,NYM
Luke Montz,26,5,20,17,2,5,0,0,1,2,1,0,3,3,.294,.400,.471,.871,8,0,0,0,0,0,1,2010,Rookie,NYM
Nestor Moreno#,22,22,81,70,8,22,5,1,0,9,1,1,11,10,.314,.407,.414,.822,29,2,0,0,0,0,0,2010,Rookie,NYM
Francisco Pena,20,10,39,32,4,10,1,0,0,2,0,0,6,6,.313,.436,.344,.780,11,0,1,0,0,0,1,2010,Rookie,NYM
Jason Pridie*,26,4,14,11,3,4,1,0,0,0,0,0,3,5,.364,.500,.455,.955,5,0,0,0,0,0,1,2010,Rookie,NYM
Tillman Pugh,21,23,82,61,11,14,4,1,0,5,6,3,15,16,.230,.397,.328,.725,20,0,2,4,0,0,0,2010,Rookie,NYM
Alexander Sanchez,19,47,191,175,23,47,16,1,2,23,2,0,6,23,.269,.319,.406,.725,71,8,8,0,2,0,0,2010,Rookie,NYM
Randoll Santana,19,44,176,155,23,39,6,2,0,13,14,5,10,29,.252,.331,.316,.648,49,2,9,1,1,0,0,2010,Rookie,NYM
Robbie Shields,22,23,94,82,11,20,5,0,1,7,3,1,11,10,.244,.330,.341,.671,28,4,0,0,1,1,0,2010,Rookie,NYM
Breiner Soto,20,10,24,21,8,7,0,0,0,0,1,1,2,8,.333,.417,.333,.750,7,0,1,0,0,0,0,2010,Rookie,NYM
Donnie Tabb,19,23,78,69,13,15,3,1,0,6,2,1,5,12,.217,.295,.290,.585,20,0,3,0,1,0,0,2010,Rookie,NYM
Miguel Tejada,19,32,102,87,11,20,8,0,2,9,1,0,7,35,.230,.302,.391,.693,34,0,2,6,0,0,0,2010,Rookie,NYM
Marinus Vernooij,21,26,78,70,11,15,4,0,0,9,1,1,7,21,.214,.295,.271,.566,19,1,1,0,0,0,0,2010,Rookie,NYM
