Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB,Year,Level,Org
David Freitas,21,62,261,218,32,67,19,0,4,40,2,0,34,47,.307,.408,.450,.857,98,5,5,1,3,0,1,2010,Short-Season A,WSN
Rick Hughes,20,3,11,7,1,0,0,0,0,1,0,0,4,1,.000,.364,.000,.364,0,1,0,0,0,0,0,2010,Short-Season A,WSN
Hendry Jimenez#,20,51,206,179,20,39,7,2,0,9,5,4,16,30,.218,.291,.279,.571,50,1,3,7,1,0,0,2010,Short-Season A,WSN
Marcus Jones,23,16,68,60,5,13,4,0,2,10,0,0,5,20,.217,.288,.383,.671,23,2,1,2,0,0,0,2010,Short-Season A,WSN
Blake Kelso,21,61,274,236,29,73,10,1,1,21,10,2,20,21,.309,.362,.373,.734,88,6,1,14,3,1,0,2010,Short-Season A,WSN
Kevin Keyes,21,39,160,126,13,22,4,0,3,23,1,2,24,36,.175,.321,.278,.599,35,5,5,1,4,0,0,2010,Short-Season A,WSN
Stephen King,22,22,103,91,15,22,6,0,2,11,0,0,9,29,.242,.314,.374,.687,34,1,1,1,1,0,0,2010,Short-Season A,WSN
Ronnie Labrie,23,67,280,223,33,58,11,5,3,35,6,3,44,71,.260,.394,.395,.788,88,2,7,3,3,0,0,2010,Short-Season A,WSN
Cole Leonida,21,31,120,103,13,15,4,0,0,3,0,0,11,34,.146,.241,.184,.426,19,3,2,4,0,1,0,2010,Short-Season A,WSN
Jason Martinson,21,70,306,253,38,61,8,6,2,36,4,2,38,74,.241,.346,.344,.690,87,3,3,11,1,1,0,2010,Short-Season A,WSN
Justin Miller,21,50,155,130,26,30,8,2,2,18,2,1,13,33,.231,.346,.369,.716,48,4,10,2,0,0,0,2010,Short-Season A,WSN
Russell Moldenhauer*,22,38,162,138,30,37,8,0,8,32,2,0,22,28,.268,.377,.500,.877,69,4,2,0,0,0,0,2010,Short-Season A,WSN
Wade Moore*,22,63,258,209,36,60,7,3,3,29,17,2,37,47,.287,.394,.392,.787,82,3,2,7,3,0,0,2010,Short-Season A,WSN
Chad Mozingo*,21,60,278,229,42,58,7,3,0,17,7,5,38,36,.253,.359,.310,.669,71,2,2,5,4,1,0,2010,Short-Season A,WSN
Wilfri Pena,23,16,47,42,6,10,4,0,1,9,0,0,4,14,.238,.304,.405,.709,17,1,0,1,0,0,0,2010,Short-Season A,WSN
Connor Rowe,21,39,140,129,13,26,5,2,3,16,1,2,6,44,.202,.243,.341,.584,44,3,1,4,0,0,0,2010,Short-Season A,WSN
Jack Walker,23,20,78,57,13,6,0,0,0,5,1,0,15,26,.105,.320,.105,.425,6,2,3,3,0,0,0,2010,Short-Season A,WSN
