Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Jorge Agudelo,22,12,50,41,4,8,1,0,0,2,2,0,5,11,.195,.306,.220,.526,9,1,2,1,1,0,0
Robert Anston*,23,56,215,181,25,44,11,2,0,16,11,8,31,34,.243,.363,.326,.689,59,2,3,0,0,0,0
Steven Baron,20,57,219,198,17,39,13,0,4,20,6,3,17,49,.197,.266,.323,.589,64,5,2,1,1,0,1
Jabari Blash,21,42,162,124,13,27,5,1,3,13,5,2,38,43,.218,.401,.347,.748,43,3,0,0,0,1,1
Matt Browning,23,55,217,192,21,44,9,0,2,19,4,3,16,29,.229,.307,.307,.614,59,6,6,2,1,0,0
Matthew Cerione*,23,20,85,75,6,15,1,0,0,5,3,1,7,28,.200,.282,.213,.496,16,2,2,0,1,0,0
Jetsy Extrano,22,21,80,68,8,12,2,2,1,2,2,0,7,19,.176,.291,.309,.600,21,0,4,1,0,0,0
Shaver Hansen#,23,31,133,123,14,27,3,1,1,12,4,2,7,26,.220,.258,.285,.542,35,1,0,1,2,0,0
John Hicks,21,38,148,139,21,43,9,2,2,26,2,3,5,17,.309,.331,.446,.777,62,3,1,0,3,0,1
Marcus Littlewood#,19,27,106,95,7,15,0,1,1,6,0,1,10,23,.158,.236,.211,.446,20,2,0,0,1,1,0
Billy Marcoe,24,1,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,0
Mike McGee,22,60,267,237,44,67,16,3,4,29,5,2,23,40,.283,.351,.426,.777,101,7,3,2,2,0,0
Brad Miller*,21,14,59,53,9,22,4,1,0,7,1,0,4,9,.415,.458,.528,.986,28,1,1,0,1,0,1
Julio Morban*,19,80,336,301,44,77,12,7,4,28,10,5,26,99,.256,.315,.382,.697,115,4,1,6,2,0,0
Ramon Morla,21,28,113,106,7,18,3,3,0,7,5,2,4,28,.170,.196,.255,.451,27,3,0,1,2,0,0
Tim Morris*,23,96,381,337,44,85,12,4,5,42,21,6,34,87,.252,.331,.356,.687,120,5,7,0,3,1,0
Anthony Phillips,21,100,368,316,36,63,9,0,4,25,23,11,28,77,.199,.280,.266,.545,84,1,8,14,2,0,0
Carlos Ramirez#,22,81,319,260,32,60,6,0,5,25,9,2,39,50,.231,.337,.312,.648,81,3,4,13,3,0,0
Kevin Rivers*,22,87,324,281,40,70,12,1,10,40,7,2,34,82,.249,.332,.406,.738,114,2,3,2,4,0,0
Stefen Romero,22,116,478,429,62,120,22,4,16,65,16,9,32,69,.280,.342,.462,.803,198,7,11,1,5,2,1
Kalian Sams,24,93,357,321,47,76,13,3,18,56,25,4,29,102,.237,.301,.464,.765,149,6,2,1,4,2,0
Jake Schlander,22,17,61,54,3,7,2,0,1,7,0,0,7,16,.130,.230,.222,.452,12,1,0,0,0,0,0
Carlton Tanabe,19,48,161,146,13,32,8,1,0,14,1,1,7,46,.219,.272,.288,.560,42,3,4,3,1,0,0
Mickey Wiswall*,22,130,546,509,49,122,19,1,10,57,4,4,25,104,.240,.281,.340,.621,173,16,6,2,4,0,0
