Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Mayo Acosta,23,60,232,202,18,41,13,0,3,24,1,1,23,44,.203,.285,.312,.597,63,7,1,4,2,0,0
Dustin Biell*,22,83,302,268,31,54,8,3,1,21,7,7,24,100,.201,.279,.265,.544,71,3,5,5,0,0,0
Tyler Bortnick,23,132,588,474,96,145,34,7,4,70,43,4,79,67,.306,.428,.432,.860,205,7,25,6,4,2,0
Gabe Cohen,23,4,13,13,1,2,1,0,0,1,0,0,0,2,.154,.154,.231,.385,3,1,0,0,0,0,0
Reid Fronk*,24,44,170,140,9,27,7,0,0,13,2,2,23,50,.193,.310,.243,.552,34,1,2,2,3,1,0
Matt Hall,24,94,355,312,39,74,17,1,4,35,11,4,30,73,.237,.313,.337,.649,105,5,6,3,4,2,0
Jake Jefferies*,23,59,222,204,18,48,12,1,2,29,1,1,12,24,.235,.281,.333,.614,68,4,2,1,3,1,0
Hak-Ju Lee*,20,97,454,400,82,127,16,11,4,23,28,14,42,72,.318,.389,.443,.832,177,3,5,7,0,3,0
Jose Lobaton#,26,6,20,18,0,8,4,0,0,2,0,0,2,5,.444,.500,.667,1.167,12,0,0,0,0,0,1
Omar Luna,24,48,181,169,19,46,10,1,0,12,6,3,7,24,.272,.317,.343,.660,58,5,4,1,0,0,0
Lucas Montero#,26,12,42,39,4,3,0,1,0,0,2,0,1,9,.077,.122,.128,.250,5,2,1,1,0,0,0
Ty Morrison*,20,67,293,265,36,70,8,2,0,18,19,7,11,67,.264,.306,.309,.615,82,1,5,12,0,1,0
Christopher Murrill*,23,45,180,165,19,46,5,0,0,9,10,3,10,44,.279,.326,.309,.635,51,1,2,2,1,0,0
Brett Nommensen*,24,87,378,305,51,89,17,4,4,45,20,5,44,52,.292,.404,.413,.817,126,9,18,4,7,3,0
Anthony Scelfo*,24,112,444,399,39,101,17,3,3,44,15,4,37,92,.253,.320,.333,.653,133,11,3,3,2,2,0
Greg Sexton,26,72,321,281,48,88,22,2,3,59,1,1,29,38,.313,.382,.438,.820,123,9,5,2,4,0,0
Mike Sheridan*,23,127,539,497,52,121,38,3,3,72,5,3,19,72,.243,.273,.350,.624,174,15,6,5,12,3,0
Mark Thomas,23,116,477,422,45,100,25,1,13,64,6,3,36,94,.237,.299,.393,.693,166,11,5,6,8,4,0
Alejandro Torres,22,11,30,27,2,5,1,0,0,3,0,0,2,11,.185,.233,.222,.456,6,0,0,0,1,0,0
Riccio Torrez,21,8,33,31,2,6,1,0,1,6,0,0,1,2,.194,.242,.323,.565,10,1,1,0,0,0,0
David Wendt,24,5,17,17,0,3,1,0,0,1,0,0,0,7,.176,.176,.235,.412,4,0,0,0,0,0,0
