Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,MLB
Juaner Aguasvivas,21,48,198,178,26,56,9,3,10,37,3,0,12,47,.315,.364,.567,.931,101,4,4,0,4,1,0
Tyler Collins*,21,1,5,3,2,1,1,0,0,1,0,0,2,0,.333,.600,.667,1.267,2,0,0,0,0,0,1
Edgar Corcino#,19,51,200,174,23,35,9,0,5,15,3,2,20,51,.201,.296,.339,.636,59,0,4,1,1,0,0
Luis Cortez,19,28,116,102,19,28,9,1,1,6,7,2,7,21,.275,.339,.412,.751,42,2,3,4,0,0,0
Carlos De Los Santos#,20,46,175,167,16,32,6,3,0,11,4,1,3,36,.192,.214,.263,.477,44,4,2,2,1,0,0
Brandon Eckerle,22,45,201,166,34,59,5,0,0,12,18,4,28,16,.355,.460,.386,.845,64,0,4,3,0,0,0
Tyler Gibson*,18,4,14,14,0,2,0,0,0,0,0,0,0,9,.143,.143,.143,.286,2,0,0,0,0,0,0
Brett Harrison,19,6,24,21,1,5,0,0,0,1,0,0,2,4,.238,.292,.238,.530,5,2,0,0,1,1,0
Derrick Hudgins,20,32,115,108,9,20,1,0,0,8,5,1,5,29,.185,.226,.194,.421,21,1,1,0,1,0,0
Clay Jones,23,3,12,11,0,2,0,0,0,1,0,0,1,1,.182,.250,.182,.432,2,0,0,0,0,0,0
Brandon Loy,21,5,19,15,3,5,1,0,0,3,0,0,4,2,.333,.474,.400,.874,6,0,0,0,0,0,0
Chretien Matz,21,22,71,66,6,16,2,0,0,2,1,1,2,18,.242,.286,.273,.558,18,1,2,1,0,0,0
Zach Maxfield,23,28,101,81,11,22,5,0,4,15,1,2,13,19,.272,.410,.481,.891,39,2,6,1,0,0,0
James McCann,21,5,16,14,1,5,1,0,1,6,0,0,1,1,.357,.438,.643,1.080,9,1,1,0,0,0,1
Alexander Moreno,21,9,32,28,4,6,2,1,0,1,2,0,3,7,.214,.290,.357,.647,10,0,0,1,0,0,0
Gabriel Purroy,19,28,92,79,12,21,5,0,2,14,1,0,9,11,.266,.352,.405,.757,32,1,2,1,1,0,0
Adolfo Reina,21,28,97,90,10,19,4,0,5,13,1,0,6,19,.211,.258,.422,.680,38,1,0,0,1,0,0
Ismael Salgado,18,38,115,111,14,16,4,0,0,6,2,1,1,20,.144,.167,.180,.347,20,1,2,1,0,0,0
Omir Santos,30,2,3,2,0,0,0,0,0,0,0,0,0,1,.000,.333,.000,.333,0,0,1,0,0,0,1
Patrick Smith*,19,54,226,207,17,48,8,1,6,26,5,4,13,47,.232,.279,.367,.646,76,4,1,4,1,0,0
Ryan Soares,23,6,18,17,2,2,1,0,1,2,0,0,1,6,.118,.167,.353,.520,6,0,0,0,0,0,0
Eugenio Suarez,19,12,50,44,11,15,7,0,2,9,2,0,3,4,.341,.408,.636,1.045,28,1,2,1,0,0,1
Wes Thigpen,22,31,102,92,13,23,4,0,2,7,0,0,6,7,.250,.303,.359,.662,33,4,1,3,0,0,0
Danry Vasquez*,17,54,224,206,25,56,8,1,2,30,3,2,7,34,.272,.306,.350,.655,72,4,4,5,2,0,0
Aaron Westlake*,22,5,20,18,2,3,1,0,1,4,0,0,2,6,.167,.250,.389,.639,7,0,0,0,0,0,0
